session_id,utterance_id,role,content,timestamp
syymynq,0,background,[unclear],00:00:00
syymynq,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
syymynq,2,student,"Yes, I think so.",00:00:16
syymynq,3,tutor,Can you talk me through how you got that answer?,00:00:24
syymynq,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
syymynq,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
syymynq,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
syymynq,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
syymynq,8,student,Maybe I should compare them as decimals first.,00:01:04
syymynq,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
syymynq,10,student,12.,00:01:20
syymynq,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
syymynq,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
syymynq,13,tutor,Uh-huh. And what would you do next?,00:01:44
syymynq,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
syymynq,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
syymynq,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
syymynq,17,tutor,What do you notice about these two numbers?,00:02:16
syymynq,18,student,Is it 4?,00:02:24
syymynq,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
syymynq,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
syymynq,21,tutor,Can you talk me through how you got that answer?,00:02:48
syymynq,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
syymynq,23,tutor,Can you talk me through how you got that answer?,00:03:04
syymynq,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
syymynq,25,tutor,Can you talk me through how you got that answer?,00:03:20
syymynq,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
syymynq,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
syymynq,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
syymynq,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
syymynq,30,student,300?,00:04:00
syymynq,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
syymynq,32,student,Maybe I should compare them as decimals first.,00:04:16
syymynq,33,tutor,What do you notice about these two numbers?,00:04:24
syymynq,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
syymynq,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
syymynq,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
syymynq,37,tutor,Uh-huh. And what would you do next?,00:04:56
syymynq,38,student,Half?,00:05:04
syymynq,39,tutor,Uh-huh. And what would you do next?,00:05:12
syymynq,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
syymynq,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
syymynq,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
syymynq,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
syymynq,44,student,Yes,00:05:52
syymynq,45,tutor,What do you notice about these two numbers?,00:06:00
syymynq,46,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:08
syymynq,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
syymynq,48,student,Maybe I should compare them as decimals first.,00:06:24
syymynq,49,tutor,Can you talk me through how you got that answer?,00:06:32
syymynq,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
syymynq,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
syymynq,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
syymynq,53,tutor,Can you talk me through how you got that answer?,00:07:04
syymynq,54,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:12
syymynq,55,tutor,Can you talk me through how you got that answer?,00:07:20
syymynq,56,student,I think we need to make the bottom numbers the same before we add.,00:07:28
syymynq,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
syymynq,58,student,Maybe I should compare them as decimals first.,00:07:44
syymynq,59,tutor,What do you notice about these two numbers?,00:07:52
syymynq,60,student,75.,00:08:00
syymynq,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
syymynq,62,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:16
syymynq,63,tutor,What do you notice about these two numbers?,00:08:24
syymynq,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
syymynq,65,tutor,Remember what we said about the denominator. What happens here?,00:08:40
syymynq,66,student,I'm not sure. Is it because 10 has one zero?,00:08:48
syymynq,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
syymynq,68,student,Maybe I should compare them as decimals first.,00:09:04
syymynq,69,tutor,Remember what we said about the denominator. What happens here?,00:09:12
syymynq,70,student,"I would divide it by 100, so the answer is 3.45.",00:09:20
syymynq,71,tutor,Can you talk me through how you got that answer?,00:09:28
syymynq,72,student,I'm not sure. Is it because 10 has one zero?,00:09:36
syymynq,73,tutor,"Good thinking. Now, is that answer reasonable?",00:09:44
syymynq,74,student,300?,00:09:52
syymynq,75,tutor,Uh-huh. And what would you do next?,00:10:00
syymynq,76,student,Half?,00:10:08
syymynq,77,tutor,Let's try a similar one. What is 30 times 4?,00:10:16
syymynq,78,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:24
syymynq,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
syymynq,80,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:40
syymynq,81,tutor,Uh-huh. And what would you do next?,00:10:48
syymynq,82,student,I think we need to make the bottom numbers the same before we add.,00:10:56
syymynq,83,tutor,Let's try a similar one. What is 30 times 4?,00:11:04
syymynq,84,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:12
syymynq,85,tutor,What do you notice about these two numbers?,00:11:20
syymynq,86,student,300?,00:11:28
syymynq,87,tutor,What do you notice about these two numbers?,00:11:36
syymynq,88,student,Maybe I should compare them as decimals first.,00:11:44
syymynq,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
syymynq,90,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:00
syymynq,91,tutor,Remember what we said about the denominator. What happens here?,00:12:08
syymynq,92,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:16
syymynq,93,tutor,Can you talk me through how you got that answer?,00:12:24
syymynq,94,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:32
syymynq,95,tutor,Remember what we said about the denominator. What happens here?,00:12:40
syymynq,96,student,I'm not sure. Is it because 10 has one zero?,00:12:48
syymynq,97,tutor,Can you talk me through how you got that answer?,00:12:56
syymynq,98,student,I'm not sure. Is it because 10 has one zero?,00:13:04
syymynq,99,tutor,Let's try a similar one. What is 30 times 4?,00:13:12
syymynq,100,student,Maybe I should compare them as decimals first.,00:13:20
syymynq,101,tutor,Can you talk me through how you got that answer?,00:13:28
syymynq,102,student,No,00:13:36
syymynq,103,tutor,So let me ask you first. Do you know what a fact family is?,00:13:44
syymynq,104,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:52
syymynq,105,tutor,Remember what we said about the denominator. What happens here?,00:14:00
syymynq,106,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:08
syymynq,107,tutor,So let me ask you first. Do you know what a fact family is?,00:14:16
syymynq,108,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:24
syymynq,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
syymynq,110,student,I think we need to make the bottom numbers the same before we add.,00:14:40
syymynq,111,tutor,Uh-huh. And what would you do next?,00:14:48
syymynq,112,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:56
syymynq,113,tutor,"Good thinking. Now, is that answer reasonable?",00:15:04
syymynq,114,student,"I would divide it by 100, so the answer is 3.45.",00:15:12
syymynq,115,tutor,Can you talk me through how you got that answer?,00:15:20
syymynq,116,student,Maybe I should compare them as decimals first.,00:15:28
syymynq,117,tutor,So let me ask you first. Do you know what a fact family is?,00:15:36
syymynq,118,student,Is it 4?,00:15:44
syymynq,119,tutor,So let me ask you first. Do you know what a fact family is?,00:15:52
syymynq,120,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:00
syymynq,121,tutor,Let's try a similar one. What is 30 times 4?,00:16:08
syymynq,122,student,I'm not sure. Is it because 10 has one zero?,00:16:16
syymynq,123,tutor,Let's try a similar one. What is 30 times 4?,00:16:24
syymynq,124,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:32
syymynq,125,tutor,So let me ask you first. Do you know what a fact family is?,00:16:40
syymynq,126,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:48
syymynq,127,tutor,So let me ask you first. Do you know what a fact family is?,00:16:56
syymynq,128,student,I think we need to make the bottom numbers the same before we add.,00:17:04
syymynq,129,tutor,Uh-huh. And what would you do next?,00:17:12
syymynq,130,student,I think we need to make the bottom numbers the same before we add.,00:17:20
syymynq,131,tutor,What do you notice about these two numbers?,00:17:28
syymynq,132,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:36
syymynq,133,tutor,So let me ask you first. Do you know what a fact family is?,00:17:44
syymynq,134,student,75.,00:17:52
syymynq,135,tutor,Can you talk me through how you got that answer?,00:18:00
syymynq,136,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:08
syymynq,137,tutor,Uh-huh. And what would you do next?,00:18:16
syymynq,138,student,I think we need to make the bottom numbers the same before we add.,00:18:24
syymynq,139,tutor,What do you notice about these two numbers?,00:18:32
syymynq,140,student,No,00:18:40
syymynq,141,tutor,What do you notice about these two numbers?,00:18:48
syymynq,142,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:18:56
syymynq,143,tutor,Let's try a similar one. What is 30 times 4?,00:19:04
syymynq,144,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:19:12
syymynq,145,tutor,What do you notice about these two numbers?,00:19:20
syymynq,146,student,I'm not sure. Is it because 10 has one zero?,00:19:28
syymynq,147,tutor,Let's try a similar one. What is 30 times 4?,00:19:36
syymynq,148,student,300?,00:19:44
syymynq,149,tutor,Can you talk me through how you got that answer?,00:19:52
syymynq,150,student,6?,00:20:00
syymynq,151,tutor,So let me ask you first. Do you know what a fact family is?,00:20:08
syymynq,152,student,"I would divide it by 100, so the answer is 3.45.",00:20:16
syymynq,153,tutor,Remember what we said about the denominator. What happens here?,00:20:24
syymynq,154,student,Maybe I should compare them as decimals first.,00:20:32
syymynq,155,tutor,Remember what we said about the denominator. What happens here?,00:20:40
syymynq,156,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:20:48
syymynq,157,tutor,What do you notice about these two numbers?,00:20:56
syymynq,158,student,I think we need to make the bottom numbers the same before we add.,00:21:04
syymynq,159,tutor,Can you talk me through how you got that answer?,00:21:12
syymynq,160,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:21:20
syymynq,161,tutor,Uh-huh. And what would you do next?,00:21:28
syymynq,162,student,6?,00:21:36
syymynq,163,tutor,So let me ask you first. Do you know what a fact family is?,00:21:44
syymynq,164,student,Maybe I should compare them as decimals first.,00:21:52
syymynq,165,tutor,What do you notice about these two numbers?,00:22:00
syymynq,166,student,I'm not sure. Is it because 10 has one zero?,00:22:08
syymynq,167,tutor,Remember what we said about the denominator. What happens here?,00:22:16
syymynq,168,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:22:24
syymynq,169,tutor,Can you talk me through how you got that answer?,00:22:32
syymynq,170,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:22:40
syymynq,171,tutor,"Good thinking. Now, is that answer reasonable?",00:22:48
syymynq,172,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:22:56
syymynq,173,tutor,Can you talk me through how you got that answer?,00:23:04
syymynq,174,student,Half?,00:23:12
syymynq,175,tutor,So let me ask you first. Do you know what a fact family is?,00:23:20
syymynq,176,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:23:28
syymynq,177,tutor,Can you talk me through how you got that answer?,00:23:36
syymynq,178,student,Maybe I should compare them as decimals first.,00:23:44
syymynq,179,tutor,So let me ask you first. Do you know what a fact family is?,00:23:52
syymynq,180,student,"I would divide it by 100, so the answer is 3.45.",00:24:00
syymynq,181,tutor,Remember what we said about the denominator. What happens here?,00:24:08
syymynq,182,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:24:16
syymynq,183,tutor,What do you notice about these two numbers?,00:24:24
syymynq,184,student,I think we need to make the bottom numbers the same before we add.,00:24:32
syymynq,185,tutor,So let me ask you first. Do you know what a fact family is?,00:24:40
syymynq,186,student,I'm not sure. Is it because 10 has one zero?,00:24:48
syymynq,187,tutor,Uh-huh. And what would you do next?,00:24:56
syymynq,188,student,Maybe I should compare them as decimals first.,00:25:04
syymynq,189,tutor,So let me ask you first. Do you know what a fact family is?,00:25:12
syymynq,190,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:25:20
syymynq,191,tutor,Uh-huh. And what would you do next?,00:25:28
syymynq,192,student,I think we need to make the bottom numbers the same before we add.,00:25:36
syymynq,193,tutor,Can you talk me through how you got that answer?,00:25:44
syymynq,194,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:25:52
syymynq,195,tutor,"Good thinking. Now, is that answer reasonable?",00:26:00
syymynq,196,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:26:08
syymynq,197,tutor,"Good thinking. Now, is that answer reasonable?",00:26:16
syymynq,198,student,Maybe I should compare them as decimals first.,00:26:24
syymynq,199,tutor,Can you talk me through how you got that answer?,00:26:32
syymynq,200,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:26:40
syymynq,201,tutor,So let me ask you first. Do you know what a fact family is?,00:26:48
syymynq,202,student,Maybe I should compare them as decimals first.,00:26:56
syymynq,203,tutor,Let's try a similar one. What is 30 times 4?,00:27:04
syymynq,204,student,12.,00:27:12
syymynq,205,tutor,Let's try a similar one. What is 30 times 4?,00:27:20
syymynq,206,student,75.,00:27:28
syymynq,207,tutor,Remember what we said about the denominator. What happens here?,00:27:36
syymynq,208,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:27:44
syymynq,209,tutor,Uh-huh. And what would you do next?,00:27:52
syymynq,210,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:28:00
syymynq,211,tutor,Let's try a similar one. What is 30 times 4?,00:28:08
syymynq,212,student,"I would divide it by 100, so the answer is 3.45.",00:28:16
syymynq,213,tutor,Let's try a similar one. What is 30 times 4?,00:28:24
syymynq,214,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:28:32
syymynq,215,tutor,Uh-huh. And what would you do next?,00:28:40
syymynq,216,student,Is it 4?,00:28:48
syymynq,217,tutor,Let's try a similar one. What is 30 times 4?,00:28:56
syymynq,218,student,"I would divide it by 100, so the answer is 3.45.",00:29:04
syymynq,219,tutor,"Good thinking. Now, is that answer reasonable?",00:29:12
syymynq,220,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:29:20
syymynq,221,tutor,Let's try a similar one. What is 30 times 4?,00:29:28
