session_id,utterance_id,role,content,timestamp
gyznwst,0,background,[unclear],00:00:00
gyznwst,1,tutor,"Hello, are you ready to get started today?",00:00:08
gyznwst,2,student,"Yes, I think so.",00:00:16
gyznwst,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
gyznwst,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
gyznwst,5,tutor,Can you talk me through how you got that answer?,00:00:40
gyznwst,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
gyznwst,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
gyznwst,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
gyznwst,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
gyznwst,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
gyznwst,11,tutor,Uh-huh. And what would you do next?,00:01:28
gyznwst,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
gyznwst,13,tutor,Can you talk me through how you got that answer?,00:01:44
gyznwst,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
gyznwst,15,tutor,Uh-huh. And what would you do next?,00:02:00
gyznwst,16,student,Maybe I should compare them as decimals first.,00:02:08
gyznwst,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
gyznwst,18,student,Maybe I should compare them as decimals first.,00:02:24
gyznwst,19,tutor,What do you notice about these two numbers?,00:02:32
gyznwst,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
gyznwst,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
gyznwst,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
gyznwst,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
gyznwst,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
gyznwst,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
gyznwst,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
gyznwst,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
gyznwst,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
gyznwst,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
gyznwst,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
gyznwst,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
gyznwst,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
gyznwst,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
gyznwst,34,student,12.,00:04:32
gyznwst,35,tutor,Can you talk me through how you got that answer?,00:04:40
gyznwst,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
gyznwst,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
gyznwst,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
gyznwst,39,tutor,What do you notice about these two numbers?,00:05:12
gyznwst,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
gyznwst,41,tutor,Can you talk me through how you got that answer?,00:05:28
gyznwst,42,student,6?,00:05:36
gyznwst,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
gyznwst,44,student,Maybe I should compare them as decimals first.,00:05:52
gyznwst,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
gyznwst,46,student,Is it 4?,00:06:08
gyznwst,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
gyznwst,48,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:24
gyznwst,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
gyznwst,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
gyznwst,51,tutor,Uh-huh. And what would you do next?,00:06:48
gyznwst,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
gyznwst,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
gyznwst,54,student,Maybe I should compare them as decimals first.,00:07:12
gyznwst,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
gyznwst,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
gyznwst,57,tutor,Remember what we said about the denominator. What happens here?,00:07:36
gyznwst,58,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:44
gyznwst,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
gyznwst,60,student,Maybe I should compare them as decimals first.,00:08:00
gyznwst,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
gyznwst,62,student,"I would divide it by 100, so the answer is 3.45.",00:08:16
gyznwst,63,tutor,Can you talk me through how you got that answer?,00:08:24
gyznwst,64,student,75.,00:08:32
gyznwst,65,tutor,Uh-huh. And what would you do next?,00:08:40
gyznwst,66,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:48
gyznwst,67,tutor,"Good thinking. Now, is that answer reasonable?",00:08:56
gyznwst,68,student,Maybe I should compare them as decimals first.,00:09:04
gyznwst,69,tutor,"Good thinking. Now, is that answer reasonable?",00:09:12
gyznwst,70,student,I think we need to make the bottom numbers the same before we add.,00:09:20
gyznwst,71,tutor,Remember what we said about the denominator. What happens here?,00:09:28
gyznwst,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
gyznwst,73,tutor,"Good thinking. Now, is that answer reasonable?",00:09:44
gyznwst,74,student,I think we need to make the bottom numbers the same before we add.,00:09:52
gyznwst,75,tutor,Can you talk me through how you got that answer?,00:10:00
gyznwst,76,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:08
gyznwst,77,tutor,What do you notice about these two numbers?,00:10:16
gyznwst,78,student,Maybe I should compare them as decimals first.,00:10:24
gyznwst,79,tutor,Let's try a similar one. What is 30 times 4?,00:10:32
gyznwst,80,student,6?,00:10:40
gyznwst,81,tutor,Let's try a similar one. What is 30 times 4?,00:10:48
gyznwst,82,student,Is it 4?,00:10:56
gyznwst,83,tutor,Uh-huh. And what would you do next?,00:11:04
gyznwst,84,student,"I would divide it by 100, so the answer is 3.45.",00:11:12
gyznwst,85,tutor,So let me ask you first. Do you know what a fact family is?,00:11:20
gyznwst,86,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:28
gyznwst,87,tutor,Uh-huh. And what would you do next?,00:11:36
gyznwst,88,student,12.,00:11:44
gyznwst,89,tutor,Can you talk me through how you got that answer?,00:11:52
gyznwst,90,student,I'm not sure. Is it because 10 has one zero?,00:12:00
gyznwst,91,tutor,What do you notice about these two numbers?,00:12:08
gyznwst,92,student,Yes,00:12:16
gyznwst,93,tutor,So let me ask you first. Do you know what a fact family is?,00:12:24
gyznwst,94,student,I think we need to make the bottom numbers the same before we add.,00:12:32
gyznwst,95,tutor,Uh-huh. And what would you do next?,00:12:40
gyznwst,96,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:48
gyznwst,97,tutor,Let's try a similar one. What is 30 times 4?,00:12:56
gyznwst,98,student,No,00:13:04
gyznwst,99,tutor,What do you notice about these two numbers?,00:13:12
gyznwst,100,student,6?,00:13:20
gyznwst,101,tutor,Can you talk me through how you got that answer?,00:13:28
gyznwst,102,student,"I would divide it by 100, so the answer is 3.45.",00:13:36
gyznwst,103,tutor,Let's try a similar one. What is 30 times 4?,00:13:44
gyznwst,104,student,12.,00:13:52
gyznwst,105,tutor,Uh-huh. And what would you do next?,00:14:00
gyznwst,106,student,No,00:14:08
gyznwst,107,tutor,So let me ask you first. Do you know what a fact family is?,00:14:16
gyznwst,108,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:24
gyznwst,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
gyznwst,110,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:40
gyznwst,111,tutor,Uh-huh. And what would you do next?,00:14:48
gyznwst,112,student,"I would divide it by 100, so the answer is 3.45.",00:14:56
gyznwst,113,tutor,Let's try a similar one. What is 30 times 4?,00:15:04
gyznwst,114,student,"I would divide it by 100, so the answer is 3.45.",00:15:12
gyznwst,115,tutor,Can you talk me through how you got that answer?,00:15:20
gyznwst,116,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:15:28
gyznwst,117,tutor,What do you notice about these two numbers?,00:15:36
gyznwst,118,student,I'm not sure. Is it because 10 has one zero?,00:15:44
gyznwst,119,tutor,Let's try a similar one. What is 30 times 4?,00:15:52
gyznwst,120,student,Maybe I should compare them as decimals first.,00:16:00
gyznwst,121,tutor,Remember what we said about the denominator. What happens here?,00:16:08
gyznwst,122,student,I think we need to make the bottom numbers the same before we add.,00:16:16
gyznwst,123,tutor,So let me ask you first. Do you know what a fact family is?,00:16:24
gyznwst,124,student,Maybe I should compare them as decimals first.,00:16:32
gyznwst,125,tutor,Remember what we said about the denominator. What happens here?,00:16:40
gyznwst,126,student,I think we need to make the bottom numbers the same before we add.,00:16:48
gyznwst,127,tutor,So let me ask you first. Do you know what a fact family is?,00:16:56
gyznwst,128,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:04
gyznwst,129,tutor,Uh-huh. And what would you do next?,00:17:12
gyznwst,130,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:20
gyznwst,131,tutor,Uh-huh. And what would you do next?,00:17:28
gyznwst,132,student,I think we need to make the bottom numbers the same before we add.,00:17:36
gyznwst,133,tutor,Uh-huh. And what would you do next?,00:17:44
gyznwst,134,student,No,00:17:52
gyznwst,135,tutor,So let me ask you first. Do you know what a fact family is?,00:18:00
gyznwst,136,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:08
gyznwst,137,tutor,Uh-huh. And what would you do next?,00:18:16
gyznwst,138,student,I'm not sure. Is it because 10 has one zero?,00:18:24
gyznwst,139,tutor,Remember what we said about the denominator. What happens here?,00:18:32
gyznwst,140,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:40
gyznwst,141,tutor,Remember what we said about the denominator. What happens here?,00:18:48
gyznwst,142,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:56
gyznwst,143,tutor,So let me ask you first. Do you know what a fact family is?,00:19:04
gyznwst,144,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:19:12
gyznwst,145,tutor,Let's try a similar one. What is 30 times 4?,00:19:20
gyznwst,146,student,Maybe I should compare them as decimals first.,00:19:28
gyznwst,147,tutor,"Good thinking. Now, is that answer reasonable?",00:19:36
gyznwst,148,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:19:44
gyznwst,149,tutor,Can you talk me through how you got that answer?,00:19:52
gyznwst,150,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:20:00
gyznwst,151,tutor,Uh-huh. And what would you do next?,00:20:08
gyznwst,152,student,I'm not sure. Is it because 10 has one zero?,00:20:16
gyznwst,153,tutor,Remember what we said about the denominator. What happens here?,00:20:24
gyznwst,154,student,Maybe I should compare them as decimals first.,00:20:32
gyznwst,155,tutor,Can you talk me through how you got that answer?,00:20:40
gyznwst,156,student,"I would divide it by 100, so the answer is 3.45.",00:20:48
