session_id,utterance_id,role,content,timestamp
fbzyywq,0,background,[unclear],00:00:00
fbzyywq,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
fbzyywq,2,student,"Yes, I think so.",00:00:16
fbzyywq,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
fbzyywq,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
fbzyywq,5,tutor,Can you talk me through how you got that answer?,00:00:40
fbzyywq,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
fbzyywq,7,tutor,Uh-huh. And what would you do next?,00:00:56
fbzyywq,8,student,Maybe I should compare them as decimals first.,00:01:04
fbzyywq,9,tutor,What do you notice about these two numbers?,00:01:12
fbzyywq,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
fbzyywq,11,tutor,Uh-huh. And what would you do next?,00:01:28
fbzyywq,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
fbzyywq,13,tutor,Uh-huh. And what would you do next?,00:01:44
fbzyywq,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
fbzyywq,15,tutor,What do you notice about these two numbers?,00:02:00
fbzyywq,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
fbzyywq,17,tutor,Uh-huh. And what would you do next?,00:02:16
fbzyywq,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
fbzyywq,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
fbzyywq,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
fbzyywq,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
fbzyywq,22,student,75.,00:02:56
fbzyywq,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
fbzyywq,24,student,Maybe I should compare them as decimals first.,00:03:12
fbzyywq,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
fbzyywq,26,student,Maybe I should compare them as decimals first.,00:03:28
fbzyywq,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
fbzyywq,28,student,Maybe I should compare them as decimals first.,00:03:44
fbzyywq,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
fbzyywq,30,student,12.,00:04:00
fbzyywq,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
fbzyywq,32,student,Maybe I should compare them as decimals first.,00:04:16
fbzyywq,33,tutor,Uh-huh. And what would you do next?,00:04:24
fbzyywq,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
fbzyywq,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
