session_id,utterance_id,role,content,timestamp
jfhermy,0,background,[unclear],00:00:00
jfhermy,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
jfhermy,2,student,"Yes, I think so.",00:00:16
jfhermy,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
jfhermy,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
jfhermy,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
jfhermy,6,student,Half?,00:00:48
jfhermy,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
jfhermy,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
jfhermy,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
jfhermy,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
jfhermy,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
jfhermy,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
jfhermy,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
jfhermy,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
jfhermy,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
jfhermy,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
jfhermy,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
jfhermy,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
jfhermy,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
jfhermy,20,student,Maybe I should compare them as decimals first.,00:02:40
jfhermy,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
jfhermy,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
jfhermy,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
jfhermy,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
jfhermy,25,tutor,What do you notice about these two numbers?,00:03:20
jfhermy,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
jfhermy,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
jfhermy,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
jfhermy,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
jfhermy,30,student,Maybe I should compare them as decimals first.,00:04:00
jfhermy,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
jfhermy,32,student,Half?,00:04:16
jfhermy,33,tutor,Uh-huh. And what would you do next?,00:04:24
jfhermy,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
jfhermy,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
jfhermy,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
jfhermy,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
jfhermy,38,student,No,00:05:04
jfhermy,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
jfhermy,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
