session_id,utterance_id,role,content,timestamp
wvgznif,0,background,[unclear],00:00:00
wvgznif,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
wvgznif,2,student,"Yes, I think so.",00:00:16
wvgznif,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
wvgznif,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
wvgznif,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
wvgznif,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
wvgznif,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
wvgznif,8,student,Yes,00:01:04
wvgznif,9,tutor,What do you notice about these two numbers?,00:01:12
wvgznif,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
wvgznif,11,tutor,Can you talk me through how you got that answer?,00:01:28
wvgznif,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
wvgznif,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
wvgznif,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
wvgznif,15,tutor,Can you talk me through how you got that answer?,00:02:00
wvgznif,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
wvgznif,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
wvgznif,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
wvgznif,19,tutor,Uh-huh. And what would you do next?,00:02:32
wvgznif,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
wvgznif,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
wvgznif,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
wvgznif,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
wvgznif,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
wvgznif,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
wvgznif,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
wvgznif,27,tutor,Can you talk me through how you got that answer?,00:03:36
wvgznif,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
wvgznif,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
wvgznif,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
wvgznif,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
wvgznif,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
wvgznif,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
wvgznif,34,student,Maybe I should compare them as decimals first.,00:04:32
wvgznif,35,tutor,Can you talk me through how you got that answer?,00:04:40
wvgznif,36,student,Maybe I should compare them as decimals first.,00:04:48
wvgznif,37,tutor,Can you talk me through how you got that answer?,00:04:56
wvgznif,38,student,6?,00:05:04
wvgznif,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
wvgznif,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
wvgznif,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
wvgznif,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
wvgznif,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
wvgznif,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
wvgznif,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
wvgznif,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
wvgznif,47,tutor,Can you talk me through how you got that answer?,00:06:16
wvgznif,48,student,12.,00:06:24
wvgznif,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
wvgznif,50,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:40
wvgznif,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
wvgznif,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
wvgznif,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
wvgznif,54,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:12
wvgznif,55,tutor,What do you notice about these two numbers?,00:07:20
wvgznif,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
wvgznif,57,tutor,Uh-huh. And what would you do next?,00:07:36
wvgznif,58,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:44
wvgznif,59,tutor,What do you notice about these two numbers?,00:07:52
wvgznif,60,student,Maybe I should compare them as decimals first.,00:08:00
wvgznif,61,tutor,"Good thinking. Now, is that answer reasonable?",00:08:08
wvgznif,62,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:16
wvgznif,63,tutor,Uh-huh. And what would you do next?,00:08:24
wvgznif,64,student,I'm not sure. Is it because 10 has one zero?,00:08:32
wvgznif,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
wvgznif,66,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:48
wvgznif,67,tutor,Can you talk me through how you got that answer?,00:08:56
wvgznif,68,student,"I would divide it by 100, so the answer is 3.45.",00:09:04
wvgznif,69,tutor,Can you talk me through how you got that answer?,00:09:12
wvgznif,70,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:20
wvgznif,71,tutor,So let me ask you first. Do you know what a fact family is?,00:09:28
wvgznif,72,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:36
wvgznif,73,tutor,Uh-huh. And what would you do next?,00:09:44
wvgznif,74,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:52
wvgznif,75,tutor,Can you talk me through how you got that answer?,00:10:00
wvgznif,76,student,I think we need to make the bottom numbers the same before we add.,00:10:08
wvgznif,77,tutor,"Good thinking. Now, is that answer reasonable?",00:10:16
wvgznif,78,student,Maybe I should compare them as decimals first.,00:10:24
wvgznif,79,tutor,Can you talk me through how you got that answer?,00:10:32
wvgznif,80,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:40
