session_id,utterance_id,role,content,timestamp
llqfwuq,0,background,[unclear],00:00:00
llqfwuq,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
llqfwuq,2,student,"Yes, I think so.",00:00:16
llqfwuq,3,tutor,Uh-huh. And what would you do next?,00:00:24
llqfwuq,4,student,75.,00:00:32
llqfwuq,5,tutor,Can you talk me through how you got that answer?,00:00:40
llqfwuq,6,student,No,00:00:48
llqfwuq,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
llqfwuq,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
llqfwuq,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
llqfwuq,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
llqfwuq,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
llqfwuq,12,student,6?,00:01:36
llqfwuq,13,tutor,What do you notice about these two numbers?,00:01:44
llqfwuq,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
llqfwuq,15,tutor,Uh-huh. And what would you do next?,00:02:00
llqfwuq,16,student,Half?,00:02:08
llqfwuq,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
llqfwuq,18,student,Maybe I should compare them as decimals first.,00:02:24
llqfwuq,19,tutor,Can you talk me through how you got that answer?,00:02:32
llqfwuq,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
llqfwuq,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
llqfwuq,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
llqfwuq,23,tutor,What do you notice about these two numbers?,00:03:04
llqfwuq,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
llqfwuq,25,tutor,What do you notice about these two numbers?,00:03:20
llqfwuq,26,student,Maybe I should compare them as decimals first.,00:03:28
llqfwuq,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
llqfwuq,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
llqfwuq,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
llqfwuq,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
llqfwuq,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
llqfwuq,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
llqfwuq,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
llqfwuq,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
llqfwuq,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
llqfwuq,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
llqfwuq,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
llqfwuq,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
llqfwuq,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
llqfwuq,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
llqfwuq,41,tutor,Can you talk me through how you got that answer?,00:05:28
llqfwuq,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
llqfwuq,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
llqfwuq,44,student,75.,00:05:52
llqfwuq,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
llqfwuq,46,student,"I would divide it by 100, so the answer is 3.45.",00:06:08
llqfwuq,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
llqfwuq,48,student,Yes,00:06:24
llqfwuq,49,tutor,Can you talk me through how you got that answer?,00:06:32
llqfwuq,50,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:40
llqfwuq,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
llqfwuq,52,student,"I would divide it by 100, so the answer is 3.45.",00:06:56
llqfwuq,53,tutor,So let me ask you first. Do you know what a fact family is?,00:07:04
llqfwuq,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
llqfwuq,55,tutor,Uh-huh. And what would you do next?,00:07:20
llqfwuq,56,student,I'm not sure. Is it because 10 has one zero?,00:07:28
llqfwuq,57,tutor,Remember what we said about the denominator. What happens here?,00:07:36
llqfwuq,58,student,Maybe I should compare them as decimals first.,00:07:44
llqfwuq,59,tutor,What do you notice about these two numbers?,00:07:52
llqfwuq,60,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:00
llqfwuq,61,tutor,Remember what we said about the denominator. What happens here?,00:08:08
llqfwuq,62,student,Maybe I should compare them as decimals first.,00:08:16
llqfwuq,63,tutor,Remember what we said about the denominator. What happens here?,00:08:24
llqfwuq,64,student,Maybe I should compare them as decimals first.,00:08:32
llqfwuq,65,tutor,Let's try a similar one. What is 30 times 4?,00:08:40
llqfwuq,66,student,"I would divide it by 100, so the answer is 3.45.",00:08:48
llqfwuq,67,tutor,What do you notice about these two numbers?,00:08:56
llqfwuq,68,student,Half?,00:09:04
llqfwuq,69,tutor,Uh-huh. And what would you do next?,00:09:12
llqfwuq,70,student,Maybe I should compare them as decimals first.,00:09:20
llqfwuq,71,tutor,Remember what we said about the denominator. What happens here?,00:09:28
llqfwuq,72,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:36
llqfwuq,73,tutor,What do you notice about these two numbers?,00:09:44
llqfwuq,74,student,I think we need to make the bottom numbers the same before we add.,00:09:52
llqfwuq,75,tutor,Remember what we said about the denominator. What happens here?,00:10:00
llqfwuq,76,student,Maybe I should compare them as decimals first.,00:10:08
llqfwuq,77,tutor,So let me ask you first. Do you know what a fact family is?,00:10:16
llqfwuq,78,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:24
llqfwuq,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
llqfwuq,80,student,Half?,00:10:40
llqfwuq,81,tutor,Can you talk me through how you got that answer?,00:10:48
llqfwuq,82,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:56
llqfwuq,83,tutor,Uh-huh. And what would you do next?,00:11:04
llqfwuq,84,student,Maybe I should compare them as decimals first.,00:11:12
llqfwuq,85,tutor,Remember what we said about the denominator. What happens here?,00:11:20
llqfwuq,86,student,"I would divide it by 100, so the answer is 3.45.",00:11:28
llqfwuq,87,tutor,Let's try a similar one. What is 30 times 4?,00:11:36
llqfwuq,88,student,I'm not sure. Is it because 10 has one zero?,00:11:44
llqfwuq,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
llqfwuq,90,student,Is it 4?,00:12:00
llqfwuq,91,tutor,Remember what we said about the denominator. What happens here?,00:12:08
llqfwuq,92,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:16
llqfwuq,93,tutor,So let me ask you first. Do you know what a fact family is?,00:12:24
llqfwuq,94,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:32
llqfwuq,95,tutor,Can you talk me through how you got that answer?,00:12:40
llqfwuq,96,student,6?,00:12:48
llqfwuq,97,tutor,What do you notice about these two numbers?,00:12:56
llqfwuq,98,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:04
llqfwuq,99,tutor,So let me ask you first. Do you know what a fact family is?,00:13:12
llqfwuq,100,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:20
llqfwuq,101,tutor,Uh-huh. And what would you do next?,00:13:28
llqfwuq,102,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:36
llqfwuq,103,tutor,Can you talk me through how you got that answer?,00:13:44
llqfwuq,104,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:52
llqfwuq,105,tutor,Let's try a similar one. What is 30 times 4?,00:14:00
llqfwuq,106,student,I'm not sure. Is it because 10 has one zero?,00:14:08
llqfwuq,107,tutor,What do you notice about these two numbers?,00:14:16
llqfwuq,108,student,I think we need to make the bottom numbers the same before we add.,00:14:24
llqfwuq,109,tutor,Can you talk me through how you got that answer?,00:14:32
llqfwuq,110,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:40
llqfwuq,111,tutor,Let's try a similar one. What is 30 times 4?,00:14:48
llqfwuq,112,student,I'm not sure. Is it because 10 has one zero?,00:14:56
llqfwuq,113,tutor,Can you talk me through how you got that answer?,00:15:04
llqfwuq,114,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:12
llqfwuq,115,tutor,Uh-huh. And what would you do next?,00:15:20
llqfwuq,116,student,Maybe I should compare them as decimals first.,00:15:28
llqfwuq,117,tutor,So let me ask you first. Do you know what a fact family is?,00:15:36
llqfwuq,118,student,12.,00:15:44
llqfwuq,119,tutor,So let me ask you first. Do you know what a fact family is?,00:15:52
llqfwuq,120,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:00
llqfwuq,121,tutor,So let me ask you first. Do you know what a fact family is?,00:16:08
llqfwuq,122,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:16
llqfwuq,123,tutor,Uh-huh. And what would you do next?,00:16:24
llqfwuq,124,student,I think we need to make the bottom numbers the same before we add.,00:16:32
llqfwuq,125,tutor,What do you notice about these two numbers?,00:16:40
llqfwuq,126,student,Maybe I should compare them as decimals first.,00:16:48
llqfwuq,127,tutor,So let me ask you first. Do you know what a fact family is?,00:16:56
llqfwuq,128,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:04
llqfwuq,129,tutor,So let me ask you first. Do you know what a fact family is?,00:17:12
llqfwuq,130,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:20
llqfwuq,131,tutor,What do you notice about these two numbers?,00:17:28
llqfwuq,132,student,"I would divide it by 100, so the answer is 3.45.",00:17:36
llqfwuq,133,tutor,"Good thinking. Now, is that answer reasonable?",00:17:44
llqfwuq,134,student,I'm not sure. Is it because 10 has one zero?,00:17:52
llqfwuq,135,tutor,Uh-huh. And what would you do next?,00:18:00
llqfwuq,136,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:08
llqfwuq,137,tutor,Uh-huh. And what would you do next?,00:18:16
llqfwuq,138,student,I think we need to make the bottom numbers the same before we add.,00:18:24
llqfwuq,139,tutor,What do you notice about these two numbers?,00:18:32
llqfwuq,140,student,"I would divide it by 100, so the answer is 3.45.",00:18:40
llqfwuq,141,tutor,What do you notice about these two numbers?,00:18:48
llqfwuq,142,student,I think we need to make the bottom numbers the same before we add.,00:18:56
llqfwuq,143,tutor,"Good thinking. Now, is that answer reasonable?",00:19:04
llqfwuq,144,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:19:12
llqfwuq,145,tutor,Can you talk me through how you got that answer?,00:19:20
llqfwuq,146,student,I'm not sure. Is it because 10 has one zero?,00:19:28
llqfwuq,147,tutor,What do you notice about these two numbers?,00:19:36
llqfwuq,148,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:19:44
llqfwuq,149,tutor,Can you talk me through how you got that answer?,00:19:52
llqfwuq,150,student,12.,00:20:00
llqfwuq,151,tutor,Can you talk me through how you got that answer?,00:20:08
llqfwuq,152,student,Is it 4?,00:20:16
llqfwuq,153,tutor,Remember what we said about the denominator. What happens here?,00:20:24
llqfwuq,154,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:20:32
llqfwuq,155,tutor,So let me ask you first. Do you know what a fact family is?,00:20:40
llqfwuq,156,student,I'm not sure. Is it because 10 has one zero?,00:20:48
llqfwuq,157,tutor,Uh-huh. And what would you do next?,00:20:56
llqfwuq,158,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:21:04
llqfwuq,159,tutor,Can you talk me through how you got that answer?,00:21:12
llqfwuq,160,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:21:20
llqfwuq,161,tutor,Can you talk me through how you got that answer?,00:21:28
llqfwuq,162,student,I think we need to make the bottom numbers the same before we add.,00:21:36
llqfwuq,163,tutor,Let's try a similar one. What is 30 times 4?,00:21:44
llqfwuq,164,student,I think we need to make the bottom numbers the same before we add.,00:21:52
llqfwuq,165,tutor,Uh-huh. And what would you do next?,00:22:00
llqfwuq,166,student,12.,00:22:08
llqfwuq,167,tutor,Let's try a similar one. What is 30 times 4?,00:22:16
llqfwuq,168,student,"I would divide it by 100, so the answer is 3.45.",00:22:24
llqfwuq,169,tutor,Uh-huh. And what would you do next?,00:22:32
llqfwuq,170,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:22:40
llqfwuq,171,tutor,"Good thinking. Now, is that answer reasonable?",00:22:48
llqfwuq,172,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:22:56
llqfwuq,173,tutor,"Good thinking. Now, is that answer reasonable?",00:23:04
llqfwuq,174,student,Maybe I should compare them as decimals first.,00:23:12
llqfwuq,175,tutor,Remember what we said about the denominator. What happens here?,00:23:20
llqfwuq,176,student,"I would divide it by 100, so the answer is 3.45.",00:23:28
llqfwuq,177,tutor,Uh-huh. And what would you do next?,00:23:36
llqfwuq,178,student,Maybe I should compare them as decimals first.,00:23:44
llqfwuq,179,tutor,Can you talk me through how you got that answer?,00:23:52
llqfwuq,180,student,I'm not sure. Is it because 10 has one zero?,00:24:00
llqfwuq,181,tutor,Can you talk me through how you got that answer?,00:24:08
llqfwuq,182,student,I'm not sure. Is it because 10 has one zero?,00:24:16
llqfwuq,183,tutor,Can you talk me through how you got that answer?,00:24:24
llqfwuq,184,student,No,00:24:32
llqfwuq,185,tutor,Let's try a similar one. What is 30 times 4?,00:24:40
llqfwuq,186,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:24:48
llqfwuq,187,tutor,What do you notice about these two numbers?,00:24:56
llqfwuq,188,student,I'm not sure. Is it because 10 has one zero?,00:25:04
llqfwuq,189,tutor,What do you notice about these two numbers?,00:25:12
llqfwuq,190,student,I think we need to make the bottom numbers the same before we add.,00:25:20
llqfwuq,191,tutor,Can you talk me through how you got that answer?,00:25:28
llqfwuq,192,student,Maybe I should compare them as decimals first.,00:25:36
llqfwuq,193,tutor,Can you talk me through how you got that answer?,00:25:44
llqfwuq,194,student,Maybe I should compare them as decimals first.,00:25:52
llqfwuq,195,tutor,Can you talk me through how you got that answer?,00:26:00
llqfwuq,196,student,Okay,00:26:08
llqfwuq,197,tutor,"Good thinking. Now, is that answer reasonable?",00:26:16
llqfwuq,198,student,I think we need to make the bottom numbers the same before we add.,00:26:24
llqfwuq,199,tutor,Uh-huh. And what would you do next?,00:26:32
llqfwuq,200,student,I think we need to make the bottom numbers the same before we add.,00:26:40
llqfwuq,201,tutor,What do you notice about these two numbers?,00:26:48
llqfwuq,202,student,"I would divide it by 100, so the answer is 3.45.",00:26:56
llqfwuq,203,tutor,Let's try a similar one. What is 30 times 4?,00:27:04
llqfwuq,204,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:27:12
llqfwuq,205,tutor,So let me ask you first. Do you know what a fact family is?,00:27:20
llqfwuq,206,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:27:28
llqfwuq,207,tutor,What do you notice about these two numbers?,00:27:36
llqfwuq,208,student,"I would divide it by 100, so the answer is 3.45.",00:27:44
llqfwuq,209,tutor,So let me ask you first. Do you know what a fact family is?,00:27:52
llqfwuq,210,student,I'm not sure. Is it because 10 has one zero?,00:28:00
llqfwuq,211,tutor,"Good thinking. Now, is that answer reasonable?",00:28:08
llqfwuq,212,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:28:16
llqfwuq,213,tutor,Can you talk me through how you got that answer?,00:28:24
llqfwuq,214,student,I'm not sure. Is it because 10 has one zero?,00:28:32
llqfwuq,215,tutor,Uh-huh. And what would you do next?,00:28:40
llqfwuq,216,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:28:48
llqfwuq,217,tutor,Remember what we said about the denominator. What happens here?,00:28:56
llqfwuq,218,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:29:04
llqfwuq,219,tutor,Can you talk me through how you got that answer?,00:29:12
llqfwuq,220,student,Maybe I should compare them as decimals first.,00:29:20
llqfwuq,221,tutor,Remember what we said about the denominator. What happens here?,00:29:28
llqfwuq,222,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:29:36
llqfwuq,223,tutor,Let's try a similar one. What is 30 times 4?,00:29:44
llqfwuq,224,student,No,00:29:52
llqfwuq,225,tutor,Can you talk me through how you got that answer?,00:30:00
llqfwuq,226,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:30:08
llqfwuq,227,tutor,Let's try a similar one. What is 30 times 4?,00:30:16
llqfwuq,228,student,Yes,00:30:24
llqfwuq,229,tutor,Remember what we said about the denominator. What happens here?,00:30:32
llqfwuq,230,student,I think we need to make the bottom numbers the same before we add.,00:30:40
llqfwuq,231,tutor,So let me ask you first. Do you know what a fact family is?,00:30:48
llqfwuq,232,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:30:56
llqfwuq,233,tutor,Let's try a similar one. What is 30 times 4?,00:31:04
llqfwuq,234,student,Maybe I should compare them as decimals first.,00:31:12
llqfwuq,235,tutor,Uh-huh. And what would you do next?,00:31:20
llqfwuq,236,student,I think we need to make the bottom numbers the same before we add.,00:31:28
llqfwuq,237,tutor,So let me ask you first. Do you know what a fact family is?,00:31:36
llqfwuq,238,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:31:44
llqfwuq,239,tutor,So let me ask you first. Do you know what a fact family is?,00:31:52
llqfwuq,240,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:32:00
llqfwuq,241,tutor,What do you notice about these two numbers?,00:32:08
llqfwuq,242,student,Half?,00:32:16
llqfwuq,243,tutor,What do you notice about these two numbers?,00:32:24
llqfwuq,244,student,300?,00:32:32
llqfwuq,245,tutor,Uh-huh. And what would you do next?,00:32:40
llqfwuq,246,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:32:48
llqfwuq,247,tutor,What do you notice about these two numbers?,00:32:56
llqfwuq,248,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:33:04
llqfwuq,249,tutor,Uh-huh. And what would you do next?,00:33:12
llqfwuq,250,student,Maybe I should compare them as decimals first.,00:33:20
llqfwuq,251,tutor,So let me ask you first. Do you know what a fact family is?,00:33:28
llqfwuq,252,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:33:36
llqfwuq,253,tutor,Remember what we said about the denominator. What happens here?,00:33:44
llqfwuq,254,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:33:52
llqfwuq,255,tutor,Uh-huh. And what would you do next?,00:34:00
llqfwuq,256,student,"I would divide it by 100, so the answer is 3.45.",00:34:08
llqfwuq,257,tutor,Uh-huh. And what would you do next?,00:34:16
llqfwuq,258,student,Is it 4?,00:34:24
llqfwuq,259,tutor,So let me ask you first. Do you know what a fact family is?,00:34:32
llqfwuq,260,student,I'm not sure. Is it because 10 has one zero?,00:34:40
llqfwuq,261,tutor,"Good thinking. Now, is that answer reasonable?",00:34:48
llqfwuq,262,student,"I would divide it by 100, so the answer is 3.45.",00:34:56
llqfwuq,263,tutor,So let me ask you first. Do you know what a fact family is?,00:35:04
llqfwuq,264,student,Is it 4?,00:35:12
llqfwuq,265,tutor,So let me ask you first. Do you know what a fact family is?,00:35:20
