session_id,utterance_id,role,content,timestamp
enxfdta,0,background,[unclear],00:00:00
enxfdta,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
enxfdta,2,student,"Yes, I think so.",00:00:16
enxfdta,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
enxfdta,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
enxfdta,5,tutor,Uh-huh. And what would you do next?,00:00:40
enxfdta,6,student,Maybe I should compare them as decimals first.,00:00:48
enxfdta,7,tutor,Uh-huh. And what would you do next?,00:00:56
enxfdta,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
enxfdta,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
enxfdta,10,student,Maybe I should compare them as decimals first.,00:01:20
enxfdta,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
enxfdta,12,student,Is it 4?,00:01:36
enxfdta,13,tutor,Uh-huh. And what would you do next?,00:01:44
enxfdta,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
enxfdta,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
enxfdta,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
enxfdta,17,tutor,What do you notice about these two numbers?,00:02:16
enxfdta,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
enxfdta,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
enxfdta,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
enxfdta,21,tutor,What do you notice about these two numbers?,00:02:48
enxfdta,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
enxfdta,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
enxfdta,24,student,Half?,00:03:12
enxfdta,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
enxfdta,26,student,Maybe I should compare them as decimals first.,00:03:28
enxfdta,27,tutor,Uh-huh. And what would you do next?,00:03:36
enxfdta,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
enxfdta,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
enxfdta,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
enxfdta,31,tutor,What do you notice about these two numbers?,00:04:08
enxfdta,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
enxfdta,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
enxfdta,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
enxfdta,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
enxfdta,36,student,No,00:04:48
enxfdta,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
enxfdta,38,student,Maybe I should compare them as decimals first.,00:05:04
enxfdta,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
enxfdta,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
enxfdta,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
enxfdta,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
enxfdta,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
enxfdta,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
enxfdta,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
enxfdta,46,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:08
