session_id,utterance_id,role,content,timestamp
apqiebw,0,background,[unclear],00:00:00
apqiebw,1,tutor,"Hello, are you ready to get started today?",00:00:08
apqiebw,2,student,"Yes, I think so.",00:00:16
apqiebw,3,tutor,Can you talk me through how you got that answer?,00:00:24
apqiebw,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
apqiebw,5,tutor,Can you talk me through how you got that answer?,00:00:40
apqiebw,6,student,300?,00:00:48
apqiebw,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
apqiebw,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
apqiebw,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
apqiebw,10,student,Is it 4?,00:01:20
apqiebw,11,tutor,Uh-huh. And what would you do next?,00:01:28
apqiebw,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
apqiebw,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
apqiebw,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
apqiebw,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
apqiebw,16,student,Yes,00:02:08
apqiebw,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
apqiebw,18,student,300?,00:02:24
apqiebw,19,tutor,What do you notice about these two numbers?,00:02:32
apqiebw,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
apqiebw,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
apqiebw,22,student,Maybe I should compare them as decimals first.,00:02:56
apqiebw,23,tutor,So let me ask you first. Do you know what a fact family is?,00:03:04
apqiebw,24,student,Is it 4?,00:03:12
apqiebw,25,tutor,Can you talk me through how you got that answer?,00:03:20
apqiebw,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
apqiebw,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
apqiebw,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
apqiebw,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
apqiebw,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
apqiebw,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
apqiebw,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
apqiebw,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
apqiebw,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
apqiebw,35,tutor,What do you notice about these two numbers?,00:04:40
apqiebw,36,student,75.,00:04:48
apqiebw,37,tutor,Uh-huh. And what would you do next?,00:04:56
apqiebw,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
apqiebw,39,tutor,Uh-huh. And what would you do next?,00:05:12
apqiebw,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
apqiebw,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
apqiebw,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
apqiebw,43,tutor,Can you talk me through how you got that answer?,00:05:44
apqiebw,44,student,Is it 4?,00:05:52
apqiebw,45,tutor,What do you notice about these two numbers?,00:06:00
apqiebw,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
apqiebw,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
apqiebw,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
apqiebw,49,tutor,Can you talk me through how you got that answer?,00:06:32
apqiebw,50,student,6?,00:06:40
apqiebw,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
apqiebw,52,student,"I would divide it by 100, so the answer is 3.45.",00:06:56
apqiebw,53,tutor,What do you notice about these two numbers?,00:07:04
apqiebw,54,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:12
apqiebw,55,tutor,Uh-huh. And what would you do next?,00:07:20
apqiebw,56,student,I'm not sure. Is it because 10 has one zero?,00:07:28
apqiebw,57,tutor,So let me ask you first. Do you know what a fact family is?,00:07:36
apqiebw,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
apqiebw,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
apqiebw,60,student,I think we need to make the bottom numbers the same before we add.,00:08:00
apqiebw,61,tutor,What do you notice about these two numbers?,00:08:08
apqiebw,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
apqiebw,63,tutor,Uh-huh. And what would you do next?,00:08:24
apqiebw,64,student,I think we need to make the bottom numbers the same before we add.,00:08:32
apqiebw,65,tutor,So let me ask you first. Do you know what a fact family is?,00:08:40
apqiebw,66,student,"I would divide it by 100, so the answer is 3.45.",00:08:48
apqiebw,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
apqiebw,68,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:04
apqiebw,69,tutor,Let's try a similar one. What is 30 times 4?,00:09:12
apqiebw,70,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:20
apqiebw,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
apqiebw,72,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:36
apqiebw,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
apqiebw,74,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:52
apqiebw,75,tutor,Let's try a similar one. What is 30 times 4?,00:10:00
apqiebw,76,student,Yes,00:10:08
apqiebw,77,tutor,"Good thinking. Now, is that answer reasonable?",00:10:16
apqiebw,78,student,Yes,00:10:24
apqiebw,79,tutor,Uh-huh. And what would you do next?,00:10:32
apqiebw,80,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:40
apqiebw,81,tutor,What do you notice about these two numbers?,00:10:48
apqiebw,82,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:56
apqiebw,83,tutor,Remember what we said about the denominator. What happens here?,00:11:04
apqiebw,84,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:12
apqiebw,85,tutor,So let me ask you first. Do you know what a fact family is?,00:11:20
apqiebw,86,student,"I would divide it by 100, so the answer is 3.45.",00:11:28
apqiebw,87,tutor,Can you talk me through how you got that answer?,00:11:36
apqiebw,88,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:44
apqiebw,89,tutor,So let me ask you first. Do you know what a fact family is?,00:11:52
apqiebw,90,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:00
apqiebw,91,tutor,Uh-huh. And what would you do next?,00:12:08
apqiebw,92,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:16
apqiebw,93,tutor,Uh-huh. And what would you do next?,00:12:24
apqiebw,94,student,"I would divide it by 100, so the answer is 3.45.",00:12:32
apqiebw,95,tutor,Can you talk me through how you got that answer?,00:12:40
apqiebw,96,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:48
apqiebw,97,tutor,Remember what we said about the denominator. What happens here?,00:12:56
apqiebw,98,student,Maybe I should compare them as decimals first.,00:13:04
apqiebw,99,tutor,Uh-huh. And what would you do next?,00:13:12
apqiebw,100,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:20
apqiebw,101,tutor,"Good thinking. Now, is that answer reasonable?",00:13:28
apqiebw,102,student,"I would divide it by 100, so the answer is 3.45.",00:13:36
apqiebw,103,tutor,"Good thinking. Now, is that answer reasonable?",00:13:44
apqiebw,104,student,Is it 4?,00:13:52
apqiebw,105,tutor,Can you talk me through how you got that answer?,00:14:00
apqiebw,106,student,I'm not sure. Is it because 10 has one zero?,00:14:08
apqiebw,107,tutor,Let's try a similar one. What is 30 times 4?,00:14:16
apqiebw,108,student,Yes,00:14:24
apqiebw,109,tutor,What do you notice about these two numbers?,00:14:32
apqiebw,110,student,6?,00:14:40
apqiebw,111,tutor,"Good thinking. Now, is that answer reasonable?",00:14:48
apqiebw,112,student,Yes,00:14:56
apqiebw,113,tutor,Can you talk me through how you got that answer?,00:15:04
apqiebw,114,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:15:12
apqiebw,115,tutor,Remember what we said about the denominator. What happens here?,00:15:20
apqiebw,116,student,"I would divide it by 100, so the answer is 3.45.",00:15:28
apqiebw,117,tutor,Let's try a similar one. What is 30 times 4?,00:15:36
apqiebw,118,student,"I would divide it by 100, so the answer is 3.45.",00:15:44
apqiebw,119,tutor,What do you notice about these two numbers?,00:15:52
apqiebw,120,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:00
apqiebw,121,tutor,What do you notice about these two numbers?,00:16:08
apqiebw,122,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:16
apqiebw,123,tutor,Can you talk me through how you got that answer?,00:16:24
apqiebw,124,student,Is it 4?,00:16:32
apqiebw,125,tutor,What do you notice about these two numbers?,00:16:40
apqiebw,126,student,Maybe I should compare them as decimals first.,00:16:48
apqiebw,127,tutor,Uh-huh. And what would you do next?,00:16:56
apqiebw,128,student,Maybe I should compare them as decimals first.,00:17:04
apqiebw,129,tutor,Uh-huh. And what would you do next?,00:17:12
apqiebw,130,student,I'm not sure. Is it because 10 has one zero?,00:17:20
apqiebw,131,tutor,So let me ask you first. Do you know what a fact family is?,00:17:28
apqiebw,132,student,I'm not sure. Is it because 10 has one zero?,00:17:36
apqiebw,133,tutor,Uh-huh. And what would you do next?,00:17:44
apqiebw,134,student,300?,00:17:52
apqiebw,135,tutor,"Good thinking. Now, is that answer reasonable?",00:18:00
apqiebw,136,student,Maybe I should compare them as decimals first.,00:18:08
apqiebw,137,tutor,What do you notice about these two numbers?,00:18:16
apqiebw,138,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:18:24
apqiebw,139,tutor,Uh-huh. And what would you do next?,00:18:32
apqiebw,140,student,75.,00:18:40
apqiebw,141,tutor,"Good thinking. Now, is that answer reasonable?",00:18:48
apqiebw,142,student,I think we need to make the bottom numbers the same before we add.,00:18:56
apqiebw,143,tutor,Let's try a similar one. What is 30 times 4?,00:19:04
apqiebw,144,student,Half?,00:19:12
apqiebw,145,tutor,Let's try a similar one. What is 30 times 4?,00:19:20
apqiebw,146,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:19:28
apqiebw,147,tutor,Remember what we said about the denominator. What happens here?,00:19:36
apqiebw,148,student,I think we need to make the bottom numbers the same before we add.,00:19:44
apqiebw,149,tutor,What do you notice about these two numbers?,00:19:52
