session_id,utterance_id,role,content,timestamp
lmbefme,0,background,[unclear],00:00:00
lmbefme,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
lmbefme,2,student,"Yes, I think so.",00:00:16
lmbefme,3,tutor,What do you notice about these two numbers?,00:00:24
lmbefme,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
lmbefme,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
lmbefme,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
lmbefme,7,tutor,What do you notice about these two numbers?,00:00:56
lmbefme,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
lmbefme,9,tutor,What do you notice about these two numbers?,00:01:12
lmbefme,10,student,6?,00:01:20
lmbefme,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
lmbefme,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
lmbefme,13,tutor,Uh-huh. And what would you do next?,00:01:44
lmbefme,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
lmbefme,15,tutor,What do you notice about these two numbers?,00:02:00
lmbefme,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
lmbefme,17,tutor,What do you notice about these two numbers?,00:02:16
lmbefme,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
lmbefme,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
lmbefme,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
lmbefme,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
lmbefme,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
lmbefme,23,tutor,What do you notice about these two numbers?,00:03:04
lmbefme,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
lmbefme,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
lmbefme,26,student,Maybe I should compare them as decimals first.,00:03:28
lmbefme,27,tutor,Can you talk me through how you got that answer?,00:03:36
lmbefme,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
lmbefme,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
lmbefme,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
lmbefme,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
lmbefme,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
lmbefme,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
lmbefme,34,student,Maybe I should compare them as decimals first.,00:04:32
lmbefme,35,tutor,Can you talk me through how you got that answer?,00:04:40
lmbefme,36,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:48
lmbefme,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
lmbefme,38,student,Maybe I should compare them as decimals first.,00:05:04
lmbefme,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
lmbefme,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
lmbefme,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
lmbefme,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
lmbefme,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
lmbefme,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
lmbefme,45,tutor,Uh-huh. And what would you do next?,00:06:00
lmbefme,46,student,"I would divide it by 100, so the answer is 3.45.",00:06:08
lmbefme,47,tutor,Can you talk me through how you got that answer?,00:06:16
lmbefme,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
lmbefme,49,tutor,So let me ask you first. Do you know what a fact family is?,00:06:32
lmbefme,50,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:40
lmbefme,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
lmbefme,52,student,"I would divide it by 100, so the answer is 3.45.",00:06:56
lmbefme,53,tutor,Uh-huh. And what would you do next?,00:07:04
lmbefme,54,student,No,00:07:12
lmbefme,55,tutor,Can you talk me through how you got that answer?,00:07:20
lmbefme,56,student,I think we need to make the bottom numbers the same before we add.,00:07:28
lmbefme,57,tutor,Remember what we said about the denominator. What happens here?,00:07:36
lmbefme,58,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:44
lmbefme,59,tutor,What do you notice about these two numbers?,00:07:52
lmbefme,60,student,75.,00:08:00
lmbefme,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
lmbefme,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
lmbefme,63,tutor,So let me ask you first. Do you know what a fact family is?,00:08:24
lmbefme,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
lmbefme,65,tutor,What do you notice about these two numbers?,00:08:40
lmbefme,66,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:48
lmbefme,67,tutor,What do you notice about these two numbers?,00:08:56
lmbefme,68,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:04
lmbefme,69,tutor,So let me ask you first. Do you know what a fact family is?,00:09:12
lmbefme,70,student,Maybe I should compare them as decimals first.,00:09:20
lmbefme,71,tutor,What do you notice about these two numbers?,00:09:28
lmbefme,72,student,Maybe I should compare them as decimals first.,00:09:36
lmbefme,73,tutor,"Good thinking. Now, is that answer reasonable?",00:09:44
lmbefme,74,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:52
lmbefme,75,tutor,"Good thinking. Now, is that answer reasonable?",00:10:00
lmbefme,76,student,I think we need to make the bottom numbers the same before we add.,00:10:08
lmbefme,77,tutor,What do you notice about these two numbers?,00:10:16
lmbefme,78,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:24
lmbefme,79,tutor,What do you notice about these two numbers?,00:10:32
lmbefme,80,student,"I would divide it by 100, so the answer is 3.45.",00:10:40
lmbefme,81,tutor,"Good thinking. Now, is that answer reasonable?",00:10:48
lmbefme,82,student,"I would divide it by 100, so the answer is 3.45.",00:10:56
lmbefme,83,tutor,What do you notice about these two numbers?,00:11:04
lmbefme,84,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:12
lmbefme,85,tutor,What do you notice about these two numbers?,00:11:20
lmbefme,86,student,Maybe I should compare them as decimals first.,00:11:28
lmbefme,87,tutor,Can you talk me through how you got that answer?,00:11:36
lmbefme,88,student,Half?,00:11:44
lmbefme,89,tutor,"Good thinking. Now, is that answer reasonable?",00:11:52
lmbefme,90,student,"I would divide it by 100, so the answer is 3.45.",00:12:00
lmbefme,91,tutor,Remember what we said about the denominator. What happens here?,00:12:08
lmbefme,92,student,I'm not sure. Is it because 10 has one zero?,00:12:16
lmbefme,93,tutor,Remember what we said about the denominator. What happens here?,00:12:24
lmbefme,94,student,Maybe I should compare them as decimals first.,00:12:32
lmbefme,95,tutor,What do you notice about these two numbers?,00:12:40
lmbefme,96,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:48
lmbefme,97,tutor,Can you talk me through how you got that answer?,00:12:56
lmbefme,98,student,I'm not sure. Is it because 10 has one zero?,00:13:04
lmbefme,99,tutor,Remember what we said about the denominator. What happens here?,00:13:12
lmbefme,100,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:20
lmbefme,101,tutor,"Good thinking. Now, is that answer reasonable?",00:13:28
lmbefme,102,student,I'm not sure. Is it because 10 has one zero?,00:13:36
lmbefme,103,tutor,Let's try a similar one. What is 30 times 4?,00:13:44
lmbefme,104,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:52
lmbefme,105,tutor,Uh-huh. And what would you do next?,00:14:00
lmbefme,106,student,I'm not sure. Is it because 10 has one zero?,00:14:08
lmbefme,107,tutor,Uh-huh. And what would you do next?,00:14:16
lmbefme,108,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:24
lmbefme,109,tutor,So let me ask you first. Do you know what a fact family is?,00:14:32
lmbefme,110,student,Is it 4?,00:14:40
lmbefme,111,tutor,Uh-huh. And what would you do next?,00:14:48
lmbefme,112,student,I think we need to make the bottom numbers the same before we add.,00:14:56
lmbefme,113,tutor,Can you talk me through how you got that answer?,00:15:04
lmbefme,114,student,"I would divide it by 100, so the answer is 3.45.",00:15:12
lmbefme,115,tutor,Let's try a similar one. What is 30 times 4?,00:15:20
lmbefme,116,student,"I would divide it by 100, so the answer is 3.45.",00:15:28
lmbefme,117,tutor,What do you notice about these two numbers?,00:15:36
lmbefme,118,student,I think we need to make the bottom numbers the same before we add.,00:15:44
lmbefme,119,tutor,"Good thinking. Now, is that answer reasonable?",00:15:52
lmbefme,120,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:00
lmbefme,121,tutor,"Good thinking. Now, is that answer reasonable?",00:16:08
lmbefme,122,student,Maybe I should compare them as decimals first.,00:16:16
lmbefme,123,tutor,Uh-huh. And what would you do next?,00:16:24
lmbefme,124,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:32
lmbefme,125,tutor,Can you talk me through how you got that answer?,00:16:40
lmbefme,126,student,Maybe I should compare them as decimals first.,00:16:48
lmbefme,127,tutor,Remember what we said about the denominator. What happens here?,00:16:56
