session_id,utterance_id,role,content,timestamp
fhogdqr,0,background,[unclear],00:00:00
fhogdqr,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
fhogdqr,2,student,"Yes, I think so.",00:00:16
fhogdqr,3,tutor,What do you notice about these two numbers?,00:00:24
fhogdqr,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
fhogdqr,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
fhogdqr,6,student,Maybe I should compare them as decimals first.,00:00:48
fhogdqr,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
fhogdqr,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
fhogdqr,9,tutor,Can you talk me through how you got that answer?,00:01:12
fhogdqr,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
fhogdqr,11,tutor,What do you notice about these two numbers?,00:01:28
fhogdqr,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
fhogdqr,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
fhogdqr,14,student,6?,00:01:52
fhogdqr,15,tutor,Uh-huh. And what would you do next?,00:02:00
fhogdqr,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
fhogdqr,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
fhogdqr,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
fhogdqr,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
fhogdqr,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
fhogdqr,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
fhogdqr,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
fhogdqr,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
fhogdqr,24,student,Is it 4?,00:03:12
fhogdqr,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
fhogdqr,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
fhogdqr,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
fhogdqr,28,student,Half?,00:03:44
fhogdqr,29,tutor,Can you talk me through how you got that answer?,00:03:52
fhogdqr,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
fhogdqr,31,tutor,Can you talk me through how you got that answer?,00:04:08
fhogdqr,32,student,75.,00:04:16
fhogdqr,33,tutor,Can you talk me through how you got that answer?,00:04:24
fhogdqr,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
fhogdqr,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
fhogdqr,36,student,Maybe I should compare them as decimals first.,00:04:48
fhogdqr,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
fhogdqr,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
fhogdqr,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
fhogdqr,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
fhogdqr,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
fhogdqr,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
fhogdqr,43,tutor,Can you talk me through how you got that answer?,00:05:44
fhogdqr,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
fhogdqr,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
fhogdqr,46,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:08
fhogdqr,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
fhogdqr,48,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:24
fhogdqr,49,tutor,Uh-huh. And what would you do next?,00:06:32
fhogdqr,50,student,Is it 4?,00:06:40
fhogdqr,51,tutor,Uh-huh. And what would you do next?,00:06:48
fhogdqr,52,student,Yes,00:06:56
fhogdqr,53,tutor,So let me ask you first. Do you know what a fact family is?,00:07:04
fhogdqr,54,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:12
fhogdqr,55,tutor,What do you notice about these two numbers?,00:07:20
fhogdqr,56,student,I'm not sure. Is it because 10 has one zero?,00:07:28
fhogdqr,57,tutor,Can you talk me through how you got that answer?,00:07:36
fhogdqr,58,student,Maybe I should compare them as decimals first.,00:07:44
fhogdqr,59,tutor,Uh-huh. And what would you do next?,00:07:52
fhogdqr,60,student,I'm not sure. Is it because 10 has one zero?,00:08:00
fhogdqr,61,tutor,"Good thinking. Now, is that answer reasonable?",00:08:08
fhogdqr,62,student,"I would divide it by 100, so the answer is 3.45.",00:08:16
fhogdqr,63,tutor,Let's try a similar one. What is 30 times 4?,00:08:24
fhogdqr,64,student,Yes,00:08:32
fhogdqr,65,tutor,What do you notice about these two numbers?,00:08:40
fhogdqr,66,student,I think we need to make the bottom numbers the same before we add.,00:08:48
fhogdqr,67,tutor,Remember what we said about the denominator. What happens here?,00:08:56
fhogdqr,68,student,I'm not sure. Is it because 10 has one zero?,00:09:04
fhogdqr,69,tutor,Can you talk me through how you got that answer?,00:09:12
fhogdqr,70,student,Okay,00:09:20
fhogdqr,71,tutor,Remember what we said about the denominator. What happens here?,00:09:28
fhogdqr,72,student,I think we need to make the bottom numbers the same before we add.,00:09:36
fhogdqr,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
fhogdqr,74,student,I'm not sure. Is it because 10 has one zero?,00:09:52
fhogdqr,75,tutor,Remember what we said about the denominator. What happens here?,00:10:00
fhogdqr,76,student,300?,00:10:08
fhogdqr,77,tutor,What do you notice about these two numbers?,00:10:16
fhogdqr,78,student,Is it 4?,00:10:24
fhogdqr,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
fhogdqr,80,student,Maybe I should compare them as decimals first.,00:10:40
fhogdqr,81,tutor,Can you talk me through how you got that answer?,00:10:48
fhogdqr,82,student,I'm not sure. Is it because 10 has one zero?,00:10:56
fhogdqr,83,tutor,What do you notice about these two numbers?,00:11:04
fhogdqr,84,student,Half?,00:11:12
fhogdqr,85,tutor,Let's try a similar one. What is 30 times 4?,00:11:20
fhogdqr,86,student,I think we need to make the bottom numbers the same before we add.,00:11:28
fhogdqr,87,tutor,Let's try a similar one. What is 30 times 4?,00:11:36
fhogdqr,88,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:44
fhogdqr,89,tutor,So let me ask you first. Do you know what a fact family is?,00:11:52
fhogdqr,90,student,Maybe I should compare them as decimals first.,00:12:00
fhogdqr,91,tutor,What do you notice about these two numbers?,00:12:08
fhogdqr,92,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:16
fhogdqr,93,tutor,Uh-huh. And what would you do next?,00:12:24
