session_id,utterance_id,role,content,timestamp
gmiufko,0,background,[unclear],00:00:00
gmiufko,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
gmiufko,2,student,"Yes, I think so.",00:00:16
gmiufko,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
gmiufko,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
gmiufko,5,tutor,Can you talk me through how you got that answer?,00:00:40
gmiufko,6,student,12.,00:00:48
gmiufko,7,tutor,Uh-huh. And what would you do next?,00:00:56
gmiufko,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
gmiufko,9,tutor,Uh-huh. And what would you do next?,00:01:12
gmiufko,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
gmiufko,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
gmiufko,12,student,Maybe I should compare them as decimals first.,00:01:36
gmiufko,13,tutor,Uh-huh. And what would you do next?,00:01:44
gmiufko,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
gmiufko,15,tutor,Uh-huh. And what would you do next?,00:02:00
gmiufko,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
gmiufko,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
gmiufko,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
gmiufko,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
gmiufko,20,student,Maybe I should compare them as decimals first.,00:02:40
gmiufko,21,tutor,What do you notice about these two numbers?,00:02:48
gmiufko,22,student,Yes,00:02:56
gmiufko,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
gmiufko,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
gmiufko,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
gmiufko,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
gmiufko,27,tutor,Can you talk me through how you got that answer?,00:03:36
gmiufko,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
gmiufko,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
gmiufko,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
gmiufko,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
gmiufko,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
gmiufko,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
gmiufko,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
gmiufko,35,tutor,Uh-huh. And what would you do next?,00:04:40
gmiufko,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
gmiufko,37,tutor,Can you talk me through how you got that answer?,00:04:56
gmiufko,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
gmiufko,39,tutor,What do you notice about these two numbers?,00:05:12
gmiufko,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
gmiufko,41,tutor,Uh-huh. And what would you do next?,00:05:28
gmiufko,42,student,I'm not sure. Is it because 10 has one zero?,00:05:36
gmiufko,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
gmiufko,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
gmiufko,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
gmiufko,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
gmiufko,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
gmiufko,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
gmiufko,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
