session_id,utterance_id,role,content,timestamp
ydrnvos,0,background,[unclear],00:00:00
ydrnvos,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
ydrnvos,2,student,"Yes, I think so.",00:00:16
ydrnvos,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
ydrnvos,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
ydrnvos,5,tutor,What do you notice about these two numbers?,00:00:40
ydrnvos,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
ydrnvos,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
ydrnvos,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
ydrnvos,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
ydrnvos,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
ydrnvos,11,tutor,What do you notice about these two numbers?,00:01:28
ydrnvos,12,student,Maybe I should compare them as decimals first.,00:01:36
ydrnvos,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
ydrnvos,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
ydrnvos,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
ydrnvos,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
ydrnvos,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
ydrnvos,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
ydrnvos,19,tutor,Uh-huh. And what would you do next?,00:02:32
ydrnvos,20,student,Maybe I should compare them as decimals first.,00:02:40
ydrnvos,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
ydrnvos,22,student,300?,00:02:56
ydrnvos,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
ydrnvos,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
ydrnvos,25,tutor,Can you talk me through how you got that answer?,00:03:20
ydrnvos,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
ydrnvos,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
ydrnvos,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
ydrnvos,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
ydrnvos,30,student,Yes,00:04:00
ydrnvos,31,tutor,Can you talk me through how you got that answer?,00:04:08
ydrnvos,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
ydrnvos,33,tutor,What do you notice about these two numbers?,00:04:24
ydrnvos,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
ydrnvos,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
ydrnvos,36,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:48
ydrnvos,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
ydrnvos,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
ydrnvos,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
ydrnvos,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
ydrnvos,41,tutor,Uh-huh. And what would you do next?,00:05:28
ydrnvos,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
ydrnvos,43,tutor,Uh-huh. And what would you do next?,00:05:44
ydrnvos,44,student,300?,00:05:52
ydrnvos,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
ydrnvos,46,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:08
ydrnvos,47,tutor,What do you notice about these two numbers?,00:06:16
ydrnvos,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
ydrnvos,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
ydrnvos,50,student,Maybe I should compare them as decimals first.,00:06:40
ydrnvos,51,tutor,Can you talk me through how you got that answer?,00:06:48
ydrnvos,52,student,"I would divide it by 100, so the answer is 3.45.",00:06:56
ydrnvos,53,tutor,Can you talk me through how you got that answer?,00:07:04
ydrnvos,54,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:12
ydrnvos,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
ydrnvos,56,student,I'm not sure. Is it because 10 has one zero?,00:07:28
ydrnvos,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
ydrnvos,58,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:44
ydrnvos,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
ydrnvos,60,student,Maybe I should compare them as decimals first.,00:08:00
ydrnvos,61,tutor,"Good thinking. Now, is that answer reasonable?",00:08:08
ydrnvos,62,student,75.,00:08:16
ydrnvos,63,tutor,What do you notice about these two numbers?,00:08:24
ydrnvos,64,student,Maybe I should compare them as decimals first.,00:08:32
ydrnvos,65,tutor,Let's try a similar one. What is 30 times 4?,00:08:40
ydrnvos,66,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:48
ydrnvos,67,tutor,What do you notice about these two numbers?,00:08:56
ydrnvos,68,student,"I would divide it by 100, so the answer is 3.45.",00:09:04
ydrnvos,69,tutor,What do you notice about these two numbers?,00:09:12
ydrnvos,70,student,Maybe I should compare them as decimals first.,00:09:20
ydrnvos,71,tutor,Can you talk me through how you got that answer?,00:09:28
ydrnvos,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
ydrnvos,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
ydrnvos,74,student,75.,00:09:52
ydrnvos,75,tutor,What do you notice about these two numbers?,00:10:00
ydrnvos,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
ydrnvos,77,tutor,"Good thinking. Now, is that answer reasonable?",00:10:16
ydrnvos,78,student,I think we need to make the bottom numbers the same before we add.,00:10:24
ydrnvos,79,tutor,Remember what we said about the denominator. What happens here?,00:10:32
ydrnvos,80,student,Maybe I should compare them as decimals first.,00:10:40
ydrnvos,81,tutor,What do you notice about these two numbers?,00:10:48
ydrnvos,82,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:56
ydrnvos,83,tutor,Can you talk me through how you got that answer?,00:11:04
ydrnvos,84,student,Maybe I should compare them as decimals first.,00:11:12
ydrnvos,85,tutor,What do you notice about these two numbers?,00:11:20
ydrnvos,86,student,I'm not sure. Is it because 10 has one zero?,00:11:28
ydrnvos,87,tutor,Can you talk me through how you got that answer?,00:11:36
ydrnvos,88,student,I think we need to make the bottom numbers the same before we add.,00:11:44
ydrnvos,89,tutor,Remember what we said about the denominator. What happens here?,00:11:52
ydrnvos,90,student,I think we need to make the bottom numbers the same before we add.,00:12:00
ydrnvos,91,tutor,"Good thinking. Now, is that answer reasonable?",00:12:08
ydrnvos,92,student,Maybe I should compare them as decimals first.,00:12:16
ydrnvos,93,tutor,Uh-huh. And what would you do next?,00:12:24
ydrnvos,94,student,"I would divide it by 100, so the answer is 3.45.",00:12:32
ydrnvos,95,tutor,What do you notice about these two numbers?,00:12:40
ydrnvos,96,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:48
ydrnvos,97,tutor,Let's try a similar one. What is 30 times 4?,00:12:56
ydrnvos,98,student,I think we need to make the bottom numbers the same before we add.,00:13:04
ydrnvos,99,tutor,Let's try a similar one. What is 30 times 4?,00:13:12
ydrnvos,100,student,I'm not sure. Is it because 10 has one zero?,00:13:20
ydrnvos,101,tutor,What do you notice about these two numbers?,00:13:28
ydrnvos,102,student,Maybe I should compare them as decimals first.,00:13:36
ydrnvos,103,tutor,Uh-huh. And what would you do next?,00:13:44
ydrnvos,104,student,I'm not sure. Is it because 10 has one zero?,00:13:52
ydrnvos,105,tutor,Can you talk me through how you got that answer?,00:14:00
ydrnvos,106,student,I think we need to make the bottom numbers the same before we add.,00:14:08
ydrnvos,107,tutor,Let's try a similar one. What is 30 times 4?,00:14:16
ydrnvos,108,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:24
ydrnvos,109,tutor,Uh-huh. And what would you do next?,00:14:32
ydrnvos,110,student,300?,00:14:40
ydrnvos,111,tutor,What do you notice about these two numbers?,00:14:48
ydrnvos,112,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:56
ydrnvos,113,tutor,"Good thinking. Now, is that answer reasonable?",00:15:04
ydrnvos,114,student,I'm not sure. Is it because 10 has one zero?,00:15:12
ydrnvos,115,tutor,"Good thinking. Now, is that answer reasonable?",00:15:20
ydrnvos,116,student,Maybe I should compare them as decimals first.,00:15:28
ydrnvos,117,tutor,"Good thinking. Now, is that answer reasonable?",00:15:36
ydrnvos,118,student,"I would divide it by 100, so the answer is 3.45.",00:15:44
ydrnvos,119,tutor,Can you talk me through how you got that answer?,00:15:52
ydrnvos,120,student,"I would divide it by 100, so the answer is 3.45.",00:16:00
ydrnvos,121,tutor,So let me ask you first. Do you know what a fact family is?,00:16:08
ydrnvos,122,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:16
ydrnvos,123,tutor,What do you notice about these two numbers?,00:16:24
ydrnvos,124,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:32
ydrnvos,125,tutor,Let's try a similar one. What is 30 times 4?,00:16:40
ydrnvos,126,student,"I would divide it by 100, so the answer is 3.45.",00:16:48
ydrnvos,127,tutor,"Good thinking. Now, is that answer reasonable?",00:16:56
ydrnvos,128,student,Is it 4?,00:17:04
ydrnvos,129,tutor,So let me ask you first. Do you know what a fact family is?,00:17:12
ydrnvos,130,student,6?,00:17:20
ydrnvos,131,tutor,"Good thinking. Now, is that answer reasonable?",00:17:28
ydrnvos,132,student,I think we need to make the bottom numbers the same before we add.,00:17:36
ydrnvos,133,tutor,What do you notice about these two numbers?,00:17:44
ydrnvos,134,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:52
ydrnvos,135,tutor,Can you talk me through how you got that answer?,00:18:00
ydrnvos,136,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:08
ydrnvos,137,tutor,Remember what we said about the denominator. What happens here?,00:18:16
ydrnvos,138,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:24
ydrnvos,139,tutor,What do you notice about these two numbers?,00:18:32
ydrnvos,140,student,"I would divide it by 100, so the answer is 3.45.",00:18:40
ydrnvos,141,tutor,Can you talk me through how you got that answer?,00:18:48
ydrnvos,142,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:56
ydrnvos,143,tutor,Uh-huh. And what would you do next?,00:19:04
ydrnvos,144,student,Okay,00:19:12
ydrnvos,145,tutor,Let's try a similar one. What is 30 times 4?,00:19:20
ydrnvos,146,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:19:28
ydrnvos,147,tutor,So let me ask you first. Do you know what a fact family is?,00:19:36
ydrnvos,148,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:19:44
ydrnvos,149,tutor,Remember what we said about the denominator. What happens here?,00:19:52
ydrnvos,150,student,I'm not sure. Is it because 10 has one zero?,00:20:00
ydrnvos,151,tutor,What do you notice about these two numbers?,00:20:08
ydrnvos,152,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:20:16
ydrnvos,153,tutor,Let's try a similar one. What is 30 times 4?,00:20:24
ydrnvos,154,student,Is it 4?,00:20:32
ydrnvos,155,tutor,Uh-huh. And what would you do next?,00:20:40
ydrnvos,156,student,12.,00:20:48
ydrnvos,157,tutor,Remember what we said about the denominator. What happens here?,00:20:56
ydrnvos,158,student,I'm not sure. Is it because 10 has one zero?,00:21:04
ydrnvos,159,tutor,"Good thinking. Now, is that answer reasonable?",00:21:12
ydrnvos,160,student,Maybe I should compare them as decimals first.,00:21:20
ydrnvos,161,tutor,Remember what we said about the denominator. What happens here?,00:21:28
ydrnvos,162,student,Maybe I should compare them as decimals first.,00:21:36
ydrnvos,163,tutor,Let's try a similar one. What is 30 times 4?,00:21:44
ydrnvos,164,student,I think we need to make the bottom numbers the same before we add.,00:21:52
ydrnvos,165,tutor,Remember what we said about the denominator. What happens here?,00:22:00
ydrnvos,166,student,"I would divide it by 100, so the answer is 3.45.",00:22:08
ydrnvos,167,tutor,Uh-huh. And what would you do next?,00:22:16
ydrnvos,168,student,Maybe I should compare them as decimals first.,00:22:24
ydrnvos,169,tutor,Uh-huh. And what would you do next?,00:22:32
ydrnvos,170,student,300?,00:22:40
ydrnvos,171,tutor,What do you notice about these two numbers?,00:22:48
ydrnvos,172,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:22:56
ydrnvos,173,tutor,So let me ask you first. Do you know what a fact family is?,00:23:04
ydrnvos,174,student,"I would divide it by 100, so the answer is 3.45.",00:23:12
ydrnvos,175,tutor,Can you talk me through how you got that answer?,00:23:20
ydrnvos,176,student,"I would divide it by 100, so the answer is 3.45.",00:23:28
ydrnvos,177,tutor,What do you notice about these two numbers?,00:23:36
ydrnvos,178,student,"I would divide it by 100, so the answer is 3.45.",00:23:44
ydrnvos,179,tutor,"Good thinking. Now, is that answer reasonable?",00:23:52
ydrnvos,180,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:24:00
ydrnvos,181,tutor,So let me ask you first. Do you know what a fact family is?,00:24:08
ydrnvos,182,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:24:16
ydrnvos,183,tutor,Can you talk me through how you got that answer?,00:24:24
ydrnvos,184,student,I think we need to make the bottom numbers the same before we add.,00:24:32
ydrnvos,185,tutor,What do you notice about these two numbers?,00:24:40
ydrnvos,186,student,"I would divide it by 100, so the answer is 3.45.",00:24:48
ydrnvos,187,tutor,Remember what we said about the denominator. What happens here?,00:24:56
ydrnvos,188,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:25:04
ydrnvos,189,tutor,Remember what we said about the denominator. What happens here?,00:25:12
ydrnvos,190,student,12.,00:25:20
ydrnvos,191,tutor,Remember what we said about the denominator. What happens here?,00:25:28
ydrnvos,192,student,I think we need to make the bottom numbers the same before we add.,00:25:36
ydrnvos,193,tutor,Let's try a similar one. What is 30 times 4?,00:25:44
ydrnvos,194,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:25:52
ydrnvos,195,tutor,"Good thinking. Now, is that answer reasonable?",00:26:00
ydrnvos,196,student,75.,00:26:08
ydrnvos,197,tutor,Let's try a similar one. What is 30 times 4?,00:26:16
ydrnvos,198,student,6?,00:26:24
ydrnvos,199,tutor,What do you notice about these two numbers?,00:26:32
ydrnvos,200,student,"I would divide it by 100, so the answer is 3.45.",00:26:40
ydrnvos,201,tutor,So let me ask you first. Do you know what a fact family is?,00:26:48
ydrnvos,202,student,I think we need to make the bottom numbers the same before we add.,00:26:56
ydrnvos,203,tutor,What do you notice about these two numbers?,00:27:04
ydrnvos,204,student,I think we need to make the bottom numbers the same before we add.,00:27:12
ydrnvos,205,tutor,What do you notice about these two numbers?,00:27:20
ydrnvos,206,student,Maybe I should compare them as decimals first.,00:27:28
ydrnvos,207,tutor,Uh-huh. And what would you do next?,00:27:36
ydrnvos,208,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:27:44
ydrnvos,209,tutor,Uh-huh. And what would you do next?,00:27:52
ydrnvos,210,student,I'm not sure. Is it because 10 has one zero?,00:28:00
ydrnvos,211,tutor,Let's try a similar one. What is 30 times 4?,00:28:08
ydrnvos,212,student,75.,00:28:16
ydrnvos,213,tutor,"Good thinking. Now, is that answer reasonable?",00:28:24
ydrnvos,214,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:28:32
ydrnvos,215,tutor,What do you notice about these two numbers?,00:28:40
ydrnvos,216,student,"I would divide it by 100, so the answer is 3.45.",00:28:48
ydrnvos,217,tutor,Let's try a similar one. What is 30 times 4?,00:28:56
ydrnvos,218,student,I'm not sure. Is it because 10 has one zero?,00:29:04
ydrnvos,219,tutor,Remember what we said about the denominator. What happens here?,00:29:12
ydrnvos,220,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:29:20
ydrnvos,221,tutor,So let me ask you first. Do you know what a fact family is?,00:29:28
ydrnvos,222,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:29:36
ydrnvos,223,tutor,Let's try a similar one. What is 30 times 4?,00:29:44
ydrnvos,224,student,I'm not sure. Is it because 10 has one zero?,00:29:52
ydrnvos,225,tutor,Remember what we said about the denominator. What happens here?,00:30:00
ydrnvos,226,student,I think we need to make the bottom numbers the same before we add.,00:30:08
ydrnvos,227,tutor,Remember what we said about the denominator. What happens here?,00:30:16
ydrnvos,228,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:30:24
ydrnvos,229,tutor,Can you talk me through how you got that answer?,00:30:32
ydrnvos,230,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:30:40
ydrnvos,231,tutor,Can you talk me through how you got that answer?,00:30:48
ydrnvos,232,student,Okay,00:30:56
ydrnvos,233,tutor,So let me ask you first. Do you know what a fact family is?,00:31:04
ydrnvos,234,student,I'm not sure. Is it because 10 has one zero?,00:31:12
ydrnvos,235,tutor,Let's try a similar one. What is 30 times 4?,00:31:20
ydrnvos,236,student,300?,00:31:28
ydrnvos,237,tutor,"Good thinking. Now, is that answer reasonable?",00:31:36
ydrnvos,238,student,Maybe I should compare them as decimals first.,00:31:44
ydrnvos,239,tutor,Let's try a similar one. What is 30 times 4?,00:31:52
ydrnvos,240,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:32:00
ydrnvos,241,tutor,What do you notice about these two numbers?,00:32:08
ydrnvos,242,student,300?,00:32:16
ydrnvos,243,tutor,Great work today. See you next time!,00:32:24
