session_id,utterance_id,role,content,timestamp
rlsqqpy,0,background,[unclear],00:00:00
rlsqqpy,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
rlsqqpy,2,student,"Yes, I think so.",00:00:16
rlsqqpy,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
rlsqqpy,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
rlsqqpy,5,tutor,Can you talk me through how you got that answer?,00:00:40
rlsqqpy,6,student,300?,00:00:48
rlsqqpy,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
rlsqqpy,8,student,75.,00:01:04
rlsqqpy,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
rlsqqpy,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
rlsqqpy,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
rlsqqpy,12,student,Yes,00:01:36
rlsqqpy,13,tutor,Can you talk me through how you got that answer?,00:01:44
rlsqqpy,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
rlsqqpy,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
rlsqqpy,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
rlsqqpy,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
rlsqqpy,18,student,Okay,00:02:24
rlsqqpy,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
rlsqqpy,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
rlsqqpy,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
rlsqqpy,22,student,Maybe I should compare them as decimals first.,00:02:56
rlsqqpy,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
rlsqqpy,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
rlsqqpy,25,tutor,What do you notice about these two numbers?,00:03:20
rlsqqpy,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
rlsqqpy,27,tutor,What do you notice about these two numbers?,00:03:36
rlsqqpy,28,student,Maybe I should compare them as decimals first.,00:03:44
rlsqqpy,29,tutor,Uh-huh. And what would you do next?,00:03:52
rlsqqpy,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
rlsqqpy,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
rlsqqpy,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
rlsqqpy,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
rlsqqpy,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
rlsqqpy,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
rlsqqpy,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
rlsqqpy,37,tutor,Uh-huh. And what would you do next?,00:04:56
rlsqqpy,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
rlsqqpy,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
rlsqqpy,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
rlsqqpy,41,tutor,What do you notice about these two numbers?,00:05:28
rlsqqpy,42,student,Is it 4?,00:05:36
rlsqqpy,43,tutor,Can you talk me through how you got that answer?,00:05:44
rlsqqpy,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
rlsqqpy,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
rlsqqpy,46,student,"I would divide it by 100, so the answer is 3.45.",00:06:08
rlsqqpy,47,tutor,Uh-huh. And what would you do next?,00:06:16
rlsqqpy,48,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:24
rlsqqpy,49,tutor,Can you talk me through how you got that answer?,00:06:32
rlsqqpy,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
rlsqqpy,51,tutor,Can you talk me through how you got that answer?,00:06:48
rlsqqpy,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
rlsqqpy,53,tutor,Uh-huh. And what would you do next?,00:07:04
rlsqqpy,54,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:12
rlsqqpy,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
rlsqqpy,56,student,Maybe I should compare them as decimals first.,00:07:28
rlsqqpy,57,tutor,So let me ask you first. Do you know what a fact family is?,00:07:36
rlsqqpy,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
rlsqqpy,59,tutor,Uh-huh. And what would you do next?,00:07:52
rlsqqpy,60,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:00
rlsqqpy,61,tutor,Can you talk me through how you got that answer?,00:08:08
