session_id,utterance_id,role,content,timestamp
oygfasw,0,background,[unclear],00:00:00
oygfasw,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
oygfasw,2,student,"Yes, I think so.",00:00:16
oygfasw,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
oygfasw,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
oygfasw,5,tutor,Can you talk me through how you got that answer?,00:00:40
oygfasw,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
oygfasw,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
oygfasw,8,student,No,00:01:04
oygfasw,9,tutor,Can you talk me through how you got that answer?,00:01:12
oygfasw,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
oygfasw,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
oygfasw,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
oygfasw,13,tutor,Uh-huh. And what would you do next?,00:01:44
oygfasw,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
oygfasw,15,tutor,What do you notice about these two numbers?,00:02:00
oygfasw,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
oygfasw,17,tutor,Can you talk me through how you got that answer?,00:02:16
oygfasw,18,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:24
oygfasw,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
oygfasw,20,student,I think we need to make the bottom numbers the same before we add.,00:02:40
oygfasw,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
oygfasw,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
oygfasw,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
oygfasw,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
oygfasw,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
oygfasw,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
oygfasw,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
oygfasw,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
oygfasw,29,tutor,Can you talk me through how you got that answer?,00:03:52
oygfasw,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
oygfasw,31,tutor,Uh-huh. And what would you do next?,00:04:08
oygfasw,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
oygfasw,33,tutor,What do you notice about these two numbers?,00:04:24
oygfasw,34,student,300?,00:04:32
oygfasw,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
oygfasw,36,student,Maybe I should compare them as decimals first.,00:04:48
oygfasw,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
oygfasw,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
oygfasw,39,tutor,Can you talk me through how you got that answer?,00:05:12
oygfasw,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
oygfasw,41,tutor,Uh-huh. And what would you do next?,00:05:28
oygfasw,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
oygfasw,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
oygfasw,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
oygfasw,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
