session_id,utterance_id,role,content,timestamp
fynlhqt,0,background,[unclear],00:00:00
fynlhqt,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
fynlhqt,2,student,"Yes, I think so.",00:00:16
fynlhqt,3,tutor,What do you notice about these two numbers?,00:00:24
fynlhqt,4,student,12.,00:00:32
fynlhqt,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
fynlhqt,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
fynlhqt,7,tutor,What do you notice about these two numbers?,00:00:56
fynlhqt,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
fynlhqt,9,tutor,Can you talk me through how you got that answer?,00:01:12
fynlhqt,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
fynlhqt,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
fynlhqt,12,student,Maybe I should compare them as decimals first.,00:01:36
fynlhqt,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
fynlhqt,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
fynlhqt,15,tutor,Can you talk me through how you got that answer?,00:02:00
fynlhqt,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
fynlhqt,17,tutor,What do you notice about these two numbers?,00:02:16
fynlhqt,18,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:24
fynlhqt,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
fynlhqt,20,student,6?,00:02:40
fynlhqt,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
fynlhqt,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
fynlhqt,23,tutor,Uh-huh. And what would you do next?,00:03:04
fynlhqt,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
fynlhqt,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
fynlhqt,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
fynlhqt,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
fynlhqt,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
fynlhqt,29,tutor,What do you notice about these two numbers?,00:03:52
fynlhqt,30,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:00
fynlhqt,31,tutor,Can you talk me through how you got that answer?,00:04:08
fynlhqt,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
fynlhqt,33,tutor,Can you talk me through how you got that answer?,00:04:24
fynlhqt,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
fynlhqt,35,tutor,Uh-huh. And what would you do next?,00:04:40
fynlhqt,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
fynlhqt,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
fynlhqt,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
fynlhqt,39,tutor,Uh-huh. And what would you do next?,00:05:12
fynlhqt,40,student,Maybe I should compare them as decimals first.,00:05:20
fynlhqt,41,tutor,Can you talk me through how you got that answer?,00:05:28
fynlhqt,42,student,Maybe I should compare them as decimals first.,00:05:36
fynlhqt,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
fynlhqt,44,student,Okay,00:05:52
fynlhqt,45,tutor,What do you notice about these two numbers?,00:06:00
fynlhqt,46,student,Half?,00:06:08
fynlhqt,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
fynlhqt,48,student,12.,00:06:24
fynlhqt,49,tutor,So let me ask you first. Do you know what a fact family is?,00:06:32
fynlhqt,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
fynlhqt,51,tutor,Uh-huh. And what would you do next?,00:06:48
