session_id,utterance_id,role,content,timestamp
ugcpdbk,0,background,[unclear],00:00:00
ugcpdbk,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
ugcpdbk,2,student,"Yes, I think so.",00:00:16
ugcpdbk,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
ugcpdbk,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
ugcpdbk,5,tutor,Uh-huh. And what would you do next?,00:00:40
ugcpdbk,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
ugcpdbk,7,tutor,Uh-huh. And what would you do next?,00:00:56
ugcpdbk,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
ugcpdbk,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
ugcpdbk,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
ugcpdbk,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
ugcpdbk,12,student,Is it 4?,00:01:36
ugcpdbk,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
ugcpdbk,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
ugcpdbk,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
ugcpdbk,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
ugcpdbk,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
ugcpdbk,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
ugcpdbk,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
ugcpdbk,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
ugcpdbk,21,tutor,Uh-huh. And what would you do next?,00:02:48
ugcpdbk,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
ugcpdbk,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
ugcpdbk,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
ugcpdbk,25,tutor,Can you talk me through how you got that answer?,00:03:20
ugcpdbk,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
ugcpdbk,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
ugcpdbk,28,student,Maybe I should compare them as decimals first.,00:03:44
ugcpdbk,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
ugcpdbk,30,student,Okay,00:04:00
ugcpdbk,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
ugcpdbk,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
ugcpdbk,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
ugcpdbk,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
ugcpdbk,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
ugcpdbk,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
ugcpdbk,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
ugcpdbk,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
ugcpdbk,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
ugcpdbk,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
ugcpdbk,41,tutor,What do you notice about these two numbers?,00:05:28
ugcpdbk,42,student,I'm not sure. Is it because 10 has one zero?,00:05:36
ugcpdbk,43,tutor,Uh-huh. And what would you do next?,00:05:44
ugcpdbk,44,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:52
ugcpdbk,45,tutor,Uh-huh. And what would you do next?,00:06:00
ugcpdbk,46,student,Is it 4?,00:06:08
ugcpdbk,47,tutor,What do you notice about these two numbers?,00:06:16
ugcpdbk,48,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:24
ugcpdbk,49,tutor,Can you talk me through how you got that answer?,00:06:32
ugcpdbk,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
ugcpdbk,51,tutor,Uh-huh. And what would you do next?,00:06:48
ugcpdbk,52,student,I'm not sure. Is it because 10 has one zero?,00:06:56
ugcpdbk,53,tutor,Let's try a similar one. What is 30 times 4?,00:07:04
ugcpdbk,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
ugcpdbk,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
ugcpdbk,56,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:28
