session_id,utterance_id,role,content,timestamp
kdixaor,0,background,[unclear],00:00:00
kdixaor,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
kdixaor,2,student,"Yes, I think so.",00:00:16
kdixaor,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
kdixaor,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
kdixaor,5,tutor,What do you notice about these two numbers?,00:00:40
kdixaor,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
kdixaor,7,tutor,Uh-huh. And what would you do next?,00:00:56
kdixaor,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
kdixaor,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
kdixaor,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
kdixaor,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
kdixaor,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
kdixaor,13,tutor,Uh-huh. And what would you do next?,00:01:44
kdixaor,14,student,No,00:01:52
kdixaor,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
kdixaor,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
kdixaor,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
kdixaor,18,student,300?,00:02:24
kdixaor,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
kdixaor,20,student,Half?,00:02:40
kdixaor,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
kdixaor,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
kdixaor,23,tutor,Can you talk me through how you got that answer?,00:03:04
kdixaor,24,student,Maybe I should compare them as decimals first.,00:03:12
kdixaor,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
kdixaor,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
kdixaor,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
kdixaor,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
kdixaor,29,tutor,Uh-huh. And what would you do next?,00:03:52
kdixaor,30,student,Maybe I should compare them as decimals first.,00:04:00
kdixaor,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
kdixaor,32,student,75.,00:04:16
kdixaor,33,tutor,Can you talk me through how you got that answer?,00:04:24
kdixaor,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
kdixaor,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
kdixaor,36,student,300?,00:04:48
kdixaor,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
kdixaor,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
kdixaor,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
kdixaor,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
kdixaor,41,tutor,What do you notice about these two numbers?,00:05:28
kdixaor,42,student,Maybe I should compare them as decimals first.,00:05:36
kdixaor,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
kdixaor,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
kdixaor,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
kdixaor,46,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:08
kdixaor,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
