session_id,utterance_id,role,content,timestamp
qbrpisq,0,background,[unclear],00:00:00
qbrpisq,1,tutor,"Hello, are you ready to get started today?",00:00:08
qbrpisq,2,student,"Yes, I think so.",00:00:16
qbrpisq,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
qbrpisq,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
qbrpisq,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
qbrpisq,6,student,Maybe I should compare them as decimals first.,00:00:48
qbrpisq,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
qbrpisq,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
qbrpisq,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
qbrpisq,10,student,75.,00:01:20
qbrpisq,11,tutor,What do you notice about these two numbers?,00:01:28
qbrpisq,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
qbrpisq,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
qbrpisq,14,student,Maybe I should compare them as decimals first.,00:01:52
qbrpisq,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
qbrpisq,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
qbrpisq,17,tutor,Can you talk me through how you got that answer?,00:02:16
qbrpisq,18,student,12.,00:02:24
qbrpisq,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
qbrpisq,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
qbrpisq,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
qbrpisq,22,student,12.,00:02:56
qbrpisq,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
qbrpisq,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
qbrpisq,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
qbrpisq,26,student,Maybe I should compare them as decimals first.,00:03:28
qbrpisq,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
qbrpisq,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
qbrpisq,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
qbrpisq,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
qbrpisq,31,tutor,What do you notice about these two numbers?,00:04:08
qbrpisq,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
qbrpisq,33,tutor,Uh-huh. And what would you do next?,00:04:24
qbrpisq,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
qbrpisq,35,tutor,Can you talk me through how you got that answer?,00:04:40
qbrpisq,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
qbrpisq,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
qbrpisq,38,student,No,00:05:04
qbrpisq,39,tutor,Uh-huh. And what would you do next?,00:05:12
qbrpisq,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
qbrpisq,41,tutor,Uh-huh. And what would you do next?,00:05:28
qbrpisq,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
qbrpisq,43,tutor,Uh-huh. And what would you do next?,00:05:44
qbrpisq,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
qbrpisq,45,tutor,Can you talk me through how you got that answer?,00:06:00
qbrpisq,46,student,Maybe I should compare them as decimals first.,00:06:08
qbrpisq,47,tutor,What do you notice about these two numbers?,00:06:16
qbrpisq,48,student,Maybe I should compare them as decimals first.,00:06:24
qbrpisq,49,tutor,Can you talk me through how you got that answer?,00:06:32
qbrpisq,50,student,Maybe I should compare them as decimals first.,00:06:40
qbrpisq,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
qbrpisq,52,student,I'm not sure. Is it because 10 has one zero?,00:06:56
qbrpisq,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
qbrpisq,54,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:12
qbrpisq,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
qbrpisq,56,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:28
qbrpisq,57,tutor,So let me ask you first. Do you know what a fact family is?,00:07:36
qbrpisq,58,student,Is it 4?,00:07:44
qbrpisq,59,tutor,Uh-huh. And what would you do next?,00:07:52
qbrpisq,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
qbrpisq,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
qbrpisq,62,student,Maybe I should compare them as decimals first.,00:08:16
qbrpisq,63,tutor,Let's try a similar one. What is 30 times 4?,00:08:24
qbrpisq,64,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:32
qbrpisq,65,tutor,What do you notice about these two numbers?,00:08:40
qbrpisq,66,student,"I would divide it by 100, so the answer is 3.45.",00:08:48
qbrpisq,67,tutor,Uh-huh. And what would you do next?,00:08:56
qbrpisq,68,student,Half?,00:09:04
qbrpisq,69,tutor,Can you talk me through how you got that answer?,00:09:12
qbrpisq,70,student,I'm not sure. Is it because 10 has one zero?,00:09:20
qbrpisq,71,tutor,Can you talk me through how you got that answer?,00:09:28
qbrpisq,72,student,No,00:09:36
qbrpisq,73,tutor,What do you notice about these two numbers?,00:09:44
qbrpisq,74,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:52
qbrpisq,75,tutor,Remember what we said about the denominator. What happens here?,00:10:00
qbrpisq,76,student,Maybe I should compare them as decimals first.,00:10:08
qbrpisq,77,tutor,"Good thinking. Now, is that answer reasonable?",00:10:16
qbrpisq,78,student,300?,00:10:24
qbrpisq,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
qbrpisq,80,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:40
qbrpisq,81,tutor,Can you talk me through how you got that answer?,00:10:48
qbrpisq,82,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:56
qbrpisq,83,tutor,Can you talk me through how you got that answer?,00:11:04
qbrpisq,84,student,I think we need to make the bottom numbers the same before we add.,00:11:12
qbrpisq,85,tutor,"Good thinking. Now, is that answer reasonable?",00:11:20
qbrpisq,86,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:28
qbrpisq,87,tutor,Let's try a similar one. What is 30 times 4?,00:11:36
qbrpisq,88,student,I think we need to make the bottom numbers the same before we add.,00:11:44
qbrpisq,89,tutor,Uh-huh. And what would you do next?,00:11:52
qbrpisq,90,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:00
qbrpisq,91,tutor,Uh-huh. And what would you do next?,00:12:08
qbrpisq,92,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:16
qbrpisq,93,tutor,Let's try a similar one. What is 30 times 4?,00:12:24
qbrpisq,94,student,I think we need to make the bottom numbers the same before we add.,00:12:32
qbrpisq,95,tutor,Can you talk me through how you got that answer?,00:12:40
qbrpisq,96,student,Maybe I should compare them as decimals first.,00:12:48
qbrpisq,97,tutor,"Good thinking. Now, is that answer reasonable?",00:12:56
qbrpisq,98,student,Half?,00:13:04
qbrpisq,99,tutor,What do you notice about these two numbers?,00:13:12
qbrpisq,100,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:20
qbrpisq,101,tutor,What do you notice about these two numbers?,00:13:28
qbrpisq,102,student,75.,00:13:36
qbrpisq,103,tutor,So let me ask you first. Do you know what a fact family is?,00:13:44
qbrpisq,104,student,Half?,00:13:52
qbrpisq,105,tutor,So let me ask you first. Do you know what a fact family is?,00:14:00
qbrpisq,106,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:08
qbrpisq,107,tutor,"Good thinking. Now, is that answer reasonable?",00:14:16
qbrpisq,108,student,I'm not sure. Is it because 10 has one zero?,00:14:24
qbrpisq,109,tutor,Remember what we said about the denominator. What happens here?,00:14:32
qbrpisq,110,student,Is it 4?,00:14:40
qbrpisq,111,tutor,Remember what we said about the denominator. What happens here?,00:14:48
qbrpisq,112,student,I think we need to make the bottom numbers the same before we add.,00:14:56
qbrpisq,113,tutor,Remember what we said about the denominator. What happens here?,00:15:04
qbrpisq,114,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:15:12
qbrpisq,115,tutor,What do you notice about these two numbers?,00:15:20
qbrpisq,116,student,I'm not sure. Is it because 10 has one zero?,00:15:28
qbrpisq,117,tutor,Let's try a similar one. What is 30 times 4?,00:15:36
qbrpisq,118,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:15:44
qbrpisq,119,tutor,What do you notice about these two numbers?,00:15:52
qbrpisq,120,student,Okay,00:16:00
qbrpisq,121,tutor,Let's try a similar one. What is 30 times 4?,00:16:08
qbrpisq,122,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:16
qbrpisq,123,tutor,"Good thinking. Now, is that answer reasonable?",00:16:24
qbrpisq,124,student,I think we need to make the bottom numbers the same before we add.,00:16:32
qbrpisq,125,tutor,"Good thinking. Now, is that answer reasonable?",00:16:40
qbrpisq,126,student,Maybe I should compare them as decimals first.,00:16:48
qbrpisq,127,tutor,Uh-huh. And what would you do next?,00:16:56
qbrpisq,128,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:04
qbrpisq,129,tutor,"Good thinking. Now, is that answer reasonable?",00:17:12
qbrpisq,130,student,Maybe I should compare them as decimals first.,00:17:20
qbrpisq,131,tutor,Let's try a similar one. What is 30 times 4?,00:17:28
qbrpisq,132,student,I'm not sure. Is it because 10 has one zero?,00:17:36
qbrpisq,133,tutor,Remember what we said about the denominator. What happens here?,00:17:44
qbrpisq,134,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:52
qbrpisq,135,tutor,What do you notice about these two numbers?,00:18:00
qbrpisq,136,student,"I would divide it by 100, so the answer is 3.45.",00:18:08
qbrpisq,137,tutor,Can you talk me through how you got that answer?,00:18:16
qbrpisq,138,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:24
qbrpisq,139,tutor,What do you notice about these two numbers?,00:18:32
qbrpisq,140,student,I'm not sure. Is it because 10 has one zero?,00:18:40
qbrpisq,141,tutor,Uh-huh. And what would you do next?,00:18:48
qbrpisq,142,student,"I would divide it by 100, so the answer is 3.45.",00:18:56
qbrpisq,143,tutor,Remember what we said about the denominator. What happens here?,00:19:04
qbrpisq,144,student,"I would divide it by 100, so the answer is 3.45.",00:19:12
qbrpisq,145,tutor,Uh-huh. And what would you do next?,00:19:20
qbrpisq,146,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:19:28
qbrpisq,147,tutor,What do you notice about these two numbers?,00:19:36
qbrpisq,148,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:19:44
qbrpisq,149,tutor,Can you talk me through how you got that answer?,00:19:52
qbrpisq,150,student,Maybe I should compare them as decimals first.,00:20:00
qbrpisq,151,tutor,Let's try a similar one. What is 30 times 4?,00:20:08
qbrpisq,152,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:20:16
qbrpisq,153,tutor,Let's try a similar one. What is 30 times 4?,00:20:24
qbrpisq,154,student,I'm not sure. Is it because 10 has one zero?,00:20:32
qbrpisq,155,tutor,Let's try a similar one. What is 30 times 4?,00:20:40
qbrpisq,156,student,I'm not sure. Is it because 10 has one zero?,00:20:48
qbrpisq,157,tutor,What do you notice about these two numbers?,00:20:56
qbrpisq,158,student,Maybe I should compare them as decimals first.,00:21:04
qbrpisq,159,tutor,So let me ask you first. Do you know what a fact family is?,00:21:12
qbrpisq,160,student,I'm not sure. Is it because 10 has one zero?,00:21:20
qbrpisq,161,tutor,Can you talk me through how you got that answer?,00:21:28
qbrpisq,162,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:21:36
qbrpisq,163,tutor,Remember what we said about the denominator. What happens here?,00:21:44
qbrpisq,164,student,12.,00:21:52
qbrpisq,165,tutor,Let's try a similar one. What is 30 times 4?,00:22:00
qbrpisq,166,student,"I would divide it by 100, so the answer is 3.45.",00:22:08
