session_id,utterance_id,role,content,timestamp
dhtccae,0,background,[unclear],00:00:00
dhtccae,1,tutor,"Hello, are you ready to get started today?",00:00:08
dhtccae,2,student,"Yes, I think so.",00:00:16
dhtccae,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
dhtccae,4,student,300?,00:00:32
dhtccae,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
dhtccae,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
dhtccae,7,tutor,Uh-huh. And what would you do next?,00:00:56
dhtccae,8,student,Maybe I should compare them as decimals first.,00:01:04
dhtccae,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
dhtccae,10,student,Okay,00:01:20
dhtccae,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
dhtccae,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
dhtccae,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
dhtccae,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
dhtccae,15,tutor,Uh-huh. And what would you do next?,00:02:00
dhtccae,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
dhtccae,17,tutor,Can you talk me through how you got that answer?,00:02:16
dhtccae,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
dhtccae,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
dhtccae,20,student,75.,00:02:40
dhtccae,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
dhtccae,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
dhtccae,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
dhtccae,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
dhtccae,25,tutor,What do you notice about these two numbers?,00:03:20
dhtccae,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
dhtccae,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
dhtccae,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
dhtccae,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
dhtccae,30,student,Maybe I should compare them as decimals first.,00:04:00
dhtccae,31,tutor,Uh-huh. And what would you do next?,00:04:08
dhtccae,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
dhtccae,33,tutor,Can you talk me through how you got that answer?,00:04:24
dhtccae,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
dhtccae,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
dhtccae,36,student,12.,00:04:48
dhtccae,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
dhtccae,38,student,Is it 4?,00:05:04
dhtccae,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
dhtccae,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
dhtccae,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
dhtccae,42,student,6?,00:05:36
dhtccae,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
dhtccae,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
dhtccae,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
dhtccae,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
dhtccae,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
dhtccae,48,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:24
dhtccae,49,tutor,Can you talk me through how you got that answer?,00:06:32
dhtccae,50,student,Maybe I should compare them as decimals first.,00:06:40
dhtccae,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
dhtccae,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
dhtccae,53,tutor,Can you talk me through how you got that answer?,00:07:04
dhtccae,54,student,75.,00:07:12
dhtccae,55,tutor,Can you talk me through how you got that answer?,00:07:20
dhtccae,56,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:28
dhtccae,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
dhtccae,58,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:44
dhtccae,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
dhtccae,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
dhtccae,61,tutor,What do you notice about these two numbers?,00:08:08
dhtccae,62,student,I think we need to make the bottom numbers the same before we add.,00:08:16
dhtccae,63,tutor,So let me ask you first. Do you know what a fact family is?,00:08:24
dhtccae,64,student,I'm not sure. Is it because 10 has one zero?,00:08:32
dhtccae,65,tutor,So let me ask you first. Do you know what a fact family is?,00:08:40
dhtccae,66,student,Maybe I should compare them as decimals first.,00:08:48
dhtccae,67,tutor,Uh-huh. And what would you do next?,00:08:56
dhtccae,68,student,I'm not sure. Is it because 10 has one zero?,00:09:04
dhtccae,69,tutor,Let's try a similar one. What is 30 times 4?,00:09:12
dhtccae,70,student,I'm not sure. Is it because 10 has one zero?,00:09:20
dhtccae,71,tutor,Uh-huh. And what would you do next?,00:09:28
dhtccae,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
dhtccae,73,tutor,"Good thinking. Now, is that answer reasonable?",00:09:44
dhtccae,74,student,I'm not sure. Is it because 10 has one zero?,00:09:52
dhtccae,75,tutor,Remember what we said about the denominator. What happens here?,00:10:00
dhtccae,76,student,No,00:10:08
dhtccae,77,tutor,What do you notice about these two numbers?,00:10:16
dhtccae,78,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:24
dhtccae,79,tutor,Can you talk me through how you got that answer?,00:10:32
dhtccae,80,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:40
dhtccae,81,tutor,What do you notice about these two numbers?,00:10:48
dhtccae,82,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:56
dhtccae,83,tutor,Remember what we said about the denominator. What happens here?,00:11:04
dhtccae,84,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:12
dhtccae,85,tutor,Can you talk me through how you got that answer?,00:11:20
dhtccae,86,student,Okay,00:11:28
dhtccae,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
dhtccae,88,student,"I would divide it by 100, so the answer is 3.45.",00:11:44
dhtccae,89,tutor,So let me ask you first. Do you know what a fact family is?,00:11:52
dhtccae,90,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:00
dhtccae,91,tutor,"Good thinking. Now, is that answer reasonable?",00:12:08
dhtccae,92,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:16
dhtccae,93,tutor,Let's try a similar one. What is 30 times 4?,00:12:24
dhtccae,94,student,No,00:12:32
dhtccae,95,tutor,Uh-huh. And what would you do next?,00:12:40
dhtccae,96,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:48
dhtccae,97,tutor,Let's try a similar one. What is 30 times 4?,00:12:56
dhtccae,98,student,300?,00:13:04
dhtccae,99,tutor,Can you talk me through how you got that answer?,00:13:12
dhtccae,100,student,I think we need to make the bottom numbers the same before we add.,00:13:20
dhtccae,101,tutor,Let's try a similar one. What is 30 times 4?,00:13:28
dhtccae,102,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:36
dhtccae,103,tutor,Uh-huh. And what would you do next?,00:13:44
dhtccae,104,student,Maybe I should compare them as decimals first.,00:13:52
dhtccae,105,tutor,Can you talk me through how you got that answer?,00:14:00
dhtccae,106,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:08
dhtccae,107,tutor,"Good thinking. Now, is that answer reasonable?",00:14:16
dhtccae,108,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:24
dhtccae,109,tutor,Great work today. See you next time!,00:14:32
