session_id,utterance_id,role,content,timestamp
wfpodls,0,background,[unclear],00:00:00
wfpodls,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
wfpodls,2,student,"Yes, I think so.",00:00:16
wfpodls,3,tutor,Can you talk me through how you got that answer?,00:00:24
wfpodls,4,student,12.,00:00:32
wfpodls,5,tutor,Can you talk me through how you got that answer?,00:00:40
wfpodls,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
wfpodls,7,tutor,Can you talk me through how you got that answer?,00:00:56
wfpodls,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
wfpodls,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
wfpodls,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
wfpodls,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
wfpodls,12,student,Maybe I should compare them as decimals first.,00:01:36
wfpodls,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
wfpodls,14,student,Maybe I should compare them as decimals first.,00:01:52
wfpodls,15,tutor,Uh-huh. And what would you do next?,00:02:00
wfpodls,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
wfpodls,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
wfpodls,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
wfpodls,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
wfpodls,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
wfpodls,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
wfpodls,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
wfpodls,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
wfpodls,24,student,Okay,00:03:12
wfpodls,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
wfpodls,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
wfpodls,27,tutor,Uh-huh. And what would you do next?,00:03:36
wfpodls,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
wfpodls,29,tutor,Uh-huh. And what would you do next?,00:03:52
wfpodls,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
wfpodls,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
wfpodls,32,student,Maybe I should compare them as decimals first.,00:04:16
wfpodls,33,tutor,Can you talk me through how you got that answer?,00:04:24
wfpodls,34,student,Maybe I should compare them as decimals first.,00:04:32
wfpodls,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
wfpodls,36,student,Maybe I should compare them as decimals first.,00:04:48
wfpodls,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
wfpodls,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
