session_id,utterance_id,role,content,timestamp
nadchiq,0,background,[unclear],00:00:00
nadchiq,1,tutor,"Hello, are you ready to get started today?",00:00:08
nadchiq,2,student,"Yes, I think so.",00:00:16
nadchiq,3,tutor,What do you notice about these two numbers?,00:00:24
nadchiq,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
nadchiq,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
nadchiq,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
nadchiq,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
nadchiq,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
nadchiq,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
nadchiq,10,student,75.,00:01:20
nadchiq,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
nadchiq,12,student,Is it 4?,00:01:36
nadchiq,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
nadchiq,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
nadchiq,15,tutor,Uh-huh. And what would you do next?,00:02:00
nadchiq,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
nadchiq,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
nadchiq,18,student,No,00:02:24
nadchiq,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
nadchiq,20,student,Maybe I should compare them as decimals first.,00:02:40
nadchiq,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
nadchiq,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
nadchiq,23,tutor,What do you notice about these two numbers?,00:03:04
nadchiq,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
nadchiq,25,tutor,What do you notice about these two numbers?,00:03:20
nadchiq,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
nadchiq,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
nadchiq,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
nadchiq,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
nadchiq,30,student,6?,00:04:00
nadchiq,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
nadchiq,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
nadchiq,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
nadchiq,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
nadchiq,35,tutor,Uh-huh. And what would you do next?,00:04:40
nadchiq,36,student,6?,00:04:48
nadchiq,37,tutor,What do you notice about these two numbers?,00:04:56
nadchiq,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
nadchiq,39,tutor,Can you talk me through how you got that answer?,00:05:12
nadchiq,40,student,Maybe I should compare them as decimals first.,00:05:20
nadchiq,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
nadchiq,42,student,I'm not sure. Is it because 10 has one zero?,00:05:36
nadchiq,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
nadchiq,44,student,Okay,00:05:52
nadchiq,45,tutor,Uh-huh. And what would you do next?,00:06:00
nadchiq,46,student,Yes,00:06:08
nadchiq,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
nadchiq,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
nadchiq,49,tutor,What do you notice about these two numbers?,00:06:32
nadchiq,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
nadchiq,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
nadchiq,52,student,Yes,00:06:56
nadchiq,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
nadchiq,54,student,12.,00:07:12
nadchiq,55,tutor,What do you notice about these two numbers?,00:07:20
nadchiq,56,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:28
nadchiq,57,tutor,Remember what we said about the denominator. What happens here?,00:07:36
nadchiq,58,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:44
nadchiq,59,tutor,Can you talk me through how you got that answer?,00:07:52
nadchiq,60,student,Half?,00:08:00
nadchiq,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
nadchiq,62,student,I think we need to make the bottom numbers the same before we add.,00:08:16
nadchiq,63,tutor,What do you notice about these two numbers?,00:08:24
nadchiq,64,student,I'm not sure. Is it because 10 has one zero?,00:08:32
nadchiq,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
nadchiq,66,student,I'm not sure. Is it because 10 has one zero?,00:08:48
nadchiq,67,tutor,"Good thinking. Now, is that answer reasonable?",00:08:56
nadchiq,68,student,I think we need to make the bottom numbers the same before we add.,00:09:04
nadchiq,69,tutor,Remember what we said about the denominator. What happens here?,00:09:12
nadchiq,70,student,"I would divide it by 100, so the answer is 3.45.",00:09:20
nadchiq,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
nadchiq,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
nadchiq,73,tutor,Remember what we said about the denominator. What happens here?,00:09:44
nadchiq,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
nadchiq,75,tutor,Uh-huh. And what would you do next?,00:10:00
nadchiq,76,student,Okay,00:10:08
nadchiq,77,tutor,So let me ask you first. Do you know what a fact family is?,00:10:16
nadchiq,78,student,300?,00:10:24
nadchiq,79,tutor,Uh-huh. And what would you do next?,00:10:32
nadchiq,80,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:40
nadchiq,81,tutor,So let me ask you first. Do you know what a fact family is?,00:10:48
nadchiq,82,student,Yes,00:10:56
nadchiq,83,tutor,Can you talk me through how you got that answer?,00:11:04
nadchiq,84,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:12
nadchiq,85,tutor,So let me ask you first. Do you know what a fact family is?,00:11:20
nadchiq,86,student,6?,00:11:28
nadchiq,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
nadchiq,88,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:44
nadchiq,89,tutor,So let me ask you first. Do you know what a fact family is?,00:11:52
nadchiq,90,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:00
nadchiq,91,tutor,Remember what we said about the denominator. What happens here?,00:12:08
nadchiq,92,student,300?,00:12:16
nadchiq,93,tutor,What do you notice about these two numbers?,00:12:24
nadchiq,94,student,Maybe I should compare them as decimals first.,00:12:32
nadchiq,95,tutor,"Good thinking. Now, is that answer reasonable?",00:12:40
nadchiq,96,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:48
nadchiq,97,tutor,Uh-huh. And what would you do next?,00:12:56
nadchiq,98,student,Maybe I should compare them as decimals first.,00:13:04
nadchiq,99,tutor,"Good thinking. Now, is that answer reasonable?",00:13:12
nadchiq,100,student,I think we need to make the bottom numbers the same before we add.,00:13:20
nadchiq,101,tutor,"Good thinking. Now, is that answer reasonable?",00:13:28
nadchiq,102,student,I'm not sure. Is it because 10 has one zero?,00:13:36
nadchiq,103,tutor,Uh-huh. And what would you do next?,00:13:44
nadchiq,104,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:52
nadchiq,105,tutor,What do you notice about these two numbers?,00:14:00
nadchiq,106,student,I'm not sure. Is it because 10 has one zero?,00:14:08
nadchiq,107,tutor,Uh-huh. And what would you do next?,00:14:16
nadchiq,108,student,6?,00:14:24
nadchiq,109,tutor,What do you notice about these two numbers?,00:14:32
nadchiq,110,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:40
nadchiq,111,tutor,Let's try a similar one. What is 30 times 4?,00:14:48
nadchiq,112,student,75.,00:14:56
nadchiq,113,tutor,"Good thinking. Now, is that answer reasonable?",00:15:04
nadchiq,114,student,Is it 4?,00:15:12
nadchiq,115,tutor,Remember what we said about the denominator. What happens here?,00:15:20
nadchiq,116,student,I'm not sure. Is it because 10 has one zero?,00:15:28
nadchiq,117,tutor,Can you talk me through how you got that answer?,00:15:36
nadchiq,118,student,I think we need to make the bottom numbers the same before we add.,00:15:44
nadchiq,119,tutor,Uh-huh. And what would you do next?,00:15:52
nadchiq,120,student,"I would divide it by 100, so the answer is 3.45.",00:16:00
nadchiq,121,tutor,"Good thinking. Now, is that answer reasonable?",00:16:08
nadchiq,122,student,300?,00:16:16
nadchiq,123,tutor,Remember what we said about the denominator. What happens here?,00:16:24
nadchiq,124,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:32
nadchiq,125,tutor,Remember what we said about the denominator. What happens here?,00:16:40
nadchiq,126,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:48
nadchiq,127,tutor,"Good thinking. Now, is that answer reasonable?",00:16:56
nadchiq,128,student,Maybe I should compare them as decimals first.,00:17:04
nadchiq,129,tutor,Remember what we said about the denominator. What happens here?,00:17:12
nadchiq,130,student,I think we need to make the bottom numbers the same before we add.,00:17:20
nadchiq,131,tutor,Can you talk me through how you got that answer?,00:17:28
nadchiq,132,student,I'm not sure. Is it because 10 has one zero?,00:17:36
nadchiq,133,tutor,What do you notice about these two numbers?,00:17:44
nadchiq,134,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:52
nadchiq,135,tutor,Let's try a similar one. What is 30 times 4?,00:18:00
nadchiq,136,student,I'm not sure. Is it because 10 has one zero?,00:18:08
nadchiq,137,tutor,Uh-huh. And what would you do next?,00:18:16
nadchiq,138,student,"I would divide it by 100, so the answer is 3.45.",00:18:24
nadchiq,139,tutor,"Good thinking. Now, is that answer reasonable?",00:18:32
nadchiq,140,student,Maybe I should compare them as decimals first.,00:18:40
nadchiq,141,tutor,So let me ask you first. Do you know what a fact family is?,00:18:48
nadchiq,142,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:56
nadchiq,143,tutor,So let me ask you first. Do you know what a fact family is?,00:19:04
nadchiq,144,student,"I would divide it by 100, so the answer is 3.45.",00:19:12
nadchiq,145,tutor,"Good thinking. Now, is that answer reasonable?",00:19:20
nadchiq,146,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:19:28
nadchiq,147,tutor,Remember what we said about the denominator. What happens here?,00:19:36
nadchiq,148,student,I think we need to make the bottom numbers the same before we add.,00:19:44
nadchiq,149,tutor,Uh-huh. And what would you do next?,00:19:52
nadchiq,150,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:20:00
nadchiq,151,tutor,Uh-huh. And what would you do next?,00:20:08
nadchiq,152,student,I'm not sure. Is it because 10 has one zero?,00:20:16
nadchiq,153,tutor,Let's try a similar one. What is 30 times 4?,00:20:24
nadchiq,154,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:20:32
nadchiq,155,tutor,Can you talk me through how you got that answer?,00:20:40
nadchiq,156,student,Maybe I should compare them as decimals first.,00:20:48
nadchiq,157,tutor,Uh-huh. And what would you do next?,00:20:56
nadchiq,158,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:21:04
nadchiq,159,tutor,So let me ask you first. Do you know what a fact family is?,00:21:12
nadchiq,160,student,I think we need to make the bottom numbers the same before we add.,00:21:20
nadchiq,161,tutor,Remember what we said about the denominator. What happens here?,00:21:28
nadchiq,162,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:21:36
nadchiq,163,tutor,Let's try a similar one. What is 30 times 4?,00:21:44
nadchiq,164,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:21:52
nadchiq,165,tutor,What do you notice about these two numbers?,00:22:00
nadchiq,166,student,I'm not sure. Is it because 10 has one zero?,00:22:08
nadchiq,167,tutor,Uh-huh. And what would you do next?,00:22:16
nadchiq,168,student,No,00:22:24
nadchiq,169,tutor,"Good thinking. Now, is that answer reasonable?",00:22:32
nadchiq,170,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:22:40
nadchiq,171,tutor,"Good thinking. Now, is that answer reasonable?",00:22:48
nadchiq,172,student,I think we need to make the bottom numbers the same before we add.,00:22:56
nadchiq,173,tutor,So let me ask you first. Do you know what a fact family is?,00:23:04
nadchiq,174,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:23:12
nadchiq,175,tutor,Let's try a similar one. What is 30 times 4?,00:23:20
nadchiq,176,student,300?,00:23:28
nadchiq,177,tutor,Uh-huh. And what would you do next?,00:23:36
nadchiq,178,student,I think we need to make the bottom numbers the same before we add.,00:23:44
nadchiq,179,tutor,"Good thinking. Now, is that answer reasonable?",00:23:52
nadchiq,180,student,"I would divide it by 100, so the answer is 3.45.",00:24:00
nadchiq,181,tutor,"Good thinking. Now, is that answer reasonable?",00:24:08
nadchiq,182,student,Is it 4?,00:24:16
nadchiq,183,tutor,So let me ask you first. Do you know what a fact family is?,00:24:24
nadchiq,184,student,"I would divide it by 100, so the answer is 3.45.",00:24:32
nadchiq,185,tutor,Uh-huh. And what would you do next?,00:24:40
nadchiq,186,student,I think we need to make the bottom numbers the same before we add.,00:24:48
nadchiq,187,tutor,Remember what we said about the denominator. What happens here?,00:24:56
nadchiq,188,student,I think we need to make the bottom numbers the same before we add.,00:25:04
nadchiq,189,tutor,Can you talk me through how you got that answer?,00:25:12
nadchiq,190,student,Maybe I should compare them as decimals first.,00:25:20
nadchiq,191,tutor,So let me ask you first. Do you know what a fact family is?,00:25:28
nadchiq,192,student,I'm not sure. Is it because 10 has one zero?,00:25:36
nadchiq,193,tutor,Can you talk me through how you got that answer?,00:25:44
nadchiq,194,student,12.,00:25:52
nadchiq,195,tutor,"Good thinking. Now, is that answer reasonable?",00:26:00
nadchiq,196,student,No,00:26:08
nadchiq,197,tutor,Can you talk me through how you got that answer?,00:26:16
nadchiq,198,student,Maybe I should compare them as decimals first.,00:26:24
nadchiq,199,tutor,Let's try a similar one. What is 30 times 4?,00:26:32
nadchiq,200,student,I think we need to make the bottom numbers the same before we add.,00:26:40
nadchiq,201,tutor,Uh-huh. And what would you do next?,00:26:48
nadchiq,202,student,I think we need to make the bottom numbers the same before we add.,00:26:56
nadchiq,203,tutor,Let's try a similar one. What is 30 times 4?,00:27:04
nadchiq,204,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:27:12
nadchiq,205,tutor,Can you talk me through how you got that answer?,00:27:20
nadchiq,206,student,I'm not sure. Is it because 10 has one zero?,00:27:28
nadchiq,207,tutor,Can you talk me through how you got that answer?,00:27:36
