session_id,utterance_id,role,content,timestamp
owuruhs,0,background,[unclear],00:00:00
owuruhs,1,tutor,"Hello, are you ready to get started today?",00:00:08
owuruhs,2,student,"Yes, I think so.",00:00:16
owuruhs,3,tutor,What do you notice about these two numbers?,00:00:24
owuruhs,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
owuruhs,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
owuruhs,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
owuruhs,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
owuruhs,8,student,12.,00:01:04
owuruhs,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
owuruhs,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
owuruhs,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
owuruhs,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
owuruhs,13,tutor,Can you talk me through how you got that answer?,00:01:44
owuruhs,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
owuruhs,15,tutor,Uh-huh. And what would you do next?,00:02:00
owuruhs,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
owuruhs,17,tutor,What do you notice about these two numbers?,00:02:16
owuruhs,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
owuruhs,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
owuruhs,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
owuruhs,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
owuruhs,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
owuruhs,23,tutor,Can you talk me through how you got that answer?,00:03:04
owuruhs,24,student,Maybe I should compare them as decimals first.,00:03:12
owuruhs,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
owuruhs,26,student,"I would divide it by 100, so the answer is 3.45.",00:03:28
owuruhs,27,tutor,Uh-huh. And what would you do next?,00:03:36
owuruhs,28,student,Maybe I should compare them as decimals first.,00:03:44
owuruhs,29,tutor,What do you notice about these two numbers?,00:03:52
owuruhs,30,student,Okay,00:04:00
owuruhs,31,tutor,Uh-huh. And what would you do next?,00:04:08
owuruhs,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
owuruhs,33,tutor,Uh-huh. And what would you do next?,00:04:24
owuruhs,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
owuruhs,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
owuruhs,36,student,6?,00:04:48
owuruhs,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
owuruhs,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
owuruhs,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
owuruhs,40,student,12.,00:05:20
owuruhs,41,tutor,What do you notice about these two numbers?,00:05:28
owuruhs,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
owuruhs,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
owuruhs,44,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:52
owuruhs,45,tutor,Can you talk me through how you got that answer?,00:06:00
owuruhs,46,student,6?,00:06:08
owuruhs,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
owuruhs,48,student,Maybe I should compare them as decimals first.,00:06:24
owuruhs,49,tutor,So let me ask you first. Do you know what a fact family is?,00:06:32
owuruhs,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
owuruhs,51,tutor,Remember what we said about the denominator. What happens here?,00:06:48
owuruhs,52,student,6?,00:06:56
owuruhs,53,tutor,Let's try a similar one. What is 30 times 4?,00:07:04
owuruhs,54,student,6?,00:07:12
owuruhs,55,tutor,What do you notice about these two numbers?,00:07:20
owuruhs,56,student,I think we need to make the bottom numbers the same before we add.,00:07:28
owuruhs,57,tutor,Uh-huh. And what would you do next?,00:07:36
owuruhs,58,student,I'm not sure. Is it because 10 has one zero?,00:07:44
owuruhs,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
owuruhs,60,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:00
owuruhs,61,tutor,Uh-huh. And what would you do next?,00:08:08
owuruhs,62,student,I'm not sure. Is it because 10 has one zero?,00:08:16
owuruhs,63,tutor,Let's try a similar one. What is 30 times 4?,00:08:24
owuruhs,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
owuruhs,65,tutor,Remember what we said about the denominator. What happens here?,00:08:40
owuruhs,66,student,Maybe I should compare them as decimals first.,00:08:48
owuruhs,67,tutor,Can you talk me through how you got that answer?,00:08:56
owuruhs,68,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:04
owuruhs,69,tutor,What do you notice about these two numbers?,00:09:12
owuruhs,70,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:20
owuruhs,71,tutor,So let me ask you first. Do you know what a fact family is?,00:09:28
owuruhs,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
owuruhs,73,tutor,What do you notice about these two numbers?,00:09:44
owuruhs,74,student,I think we need to make the bottom numbers the same before we add.,00:09:52
owuruhs,75,tutor,What do you notice about these two numbers?,00:10:00
owuruhs,76,student,Okay,00:10:08
owuruhs,77,tutor,What do you notice about these two numbers?,00:10:16
owuruhs,78,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:24
owuruhs,79,tutor,Can you talk me through how you got that answer?,00:10:32
owuruhs,80,student,I'm not sure. Is it because 10 has one zero?,00:10:40
owuruhs,81,tutor,"Good thinking. Now, is that answer reasonable?",00:10:48
owuruhs,82,student,12.,00:10:56
owuruhs,83,tutor,Remember what we said about the denominator. What happens here?,00:11:04
owuruhs,84,student,"I would divide it by 100, so the answer is 3.45.",00:11:12
owuruhs,85,tutor,So let me ask you first. Do you know what a fact family is?,00:11:20
owuruhs,86,student,I'm not sure. Is it because 10 has one zero?,00:11:28
owuruhs,87,tutor,Let's try a similar one. What is 30 times 4?,00:11:36
owuruhs,88,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:44
owuruhs,89,tutor,Can you talk me through how you got that answer?,00:11:52
owuruhs,90,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:00
owuruhs,91,tutor,So let me ask you first. Do you know what a fact family is?,00:12:08
owuruhs,92,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:16
owuruhs,93,tutor,"Good thinking. Now, is that answer reasonable?",00:12:24
owuruhs,94,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:32
owuruhs,95,tutor,Let's try a similar one. What is 30 times 4?,00:12:40
owuruhs,96,student,I'm not sure. Is it because 10 has one zero?,00:12:48
owuruhs,97,tutor,"Good thinking. Now, is that answer reasonable?",00:12:56
owuruhs,98,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:04
owuruhs,99,tutor,"Good thinking. Now, is that answer reasonable?",00:13:12
owuruhs,100,student,Half?,00:13:20
owuruhs,101,tutor,"Good thinking. Now, is that answer reasonable?",00:13:28
owuruhs,102,student,6?,00:13:36
owuruhs,103,tutor,Uh-huh. And what would you do next?,00:13:44
owuruhs,104,student,"I would divide it by 100, so the answer is 3.45.",00:13:52
owuruhs,105,tutor,Let's try a similar one. What is 30 times 4?,00:14:00
owuruhs,106,student,300?,00:14:08
owuruhs,107,tutor,Uh-huh. And what would you do next?,00:14:16
owuruhs,108,student,I think we need to make the bottom numbers the same before we add.,00:14:24
owuruhs,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
owuruhs,110,student,Maybe I should compare them as decimals first.,00:14:40
