session_id,utterance_id,role,content,timestamp
ghgjpty,0,background,[unclear],00:00:00
ghgjpty,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
ghgjpty,2,student,"Yes, I think so.",00:00:16
ghgjpty,3,tutor,Uh-huh. And what would you do next?,00:00:24
ghgjpty,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
ghgjpty,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
ghgjpty,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
ghgjpty,7,tutor,What do you notice about these two numbers?,00:00:56
ghgjpty,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
ghgjpty,9,tutor,What do you notice about these two numbers?,00:01:12
ghgjpty,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
ghgjpty,11,tutor,What do you notice about these two numbers?,00:01:28
ghgjpty,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
ghgjpty,13,tutor,What do you notice about these two numbers?,00:01:44
ghgjpty,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
ghgjpty,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
ghgjpty,16,student,75.,00:02:08
ghgjpty,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
ghgjpty,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
ghgjpty,19,tutor,What do you notice about these two numbers?,00:02:32
ghgjpty,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
ghgjpty,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
ghgjpty,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
ghgjpty,23,tutor,Uh-huh. And what would you do next?,00:03:04
ghgjpty,24,student,Maybe I should compare them as decimals first.,00:03:12
ghgjpty,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
ghgjpty,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
ghgjpty,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
ghgjpty,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
ghgjpty,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
ghgjpty,30,student,Maybe I should compare them as decimals first.,00:04:00
ghgjpty,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
ghgjpty,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
ghgjpty,33,tutor,What do you notice about these two numbers?,00:04:24
ghgjpty,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
ghgjpty,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
ghgjpty,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
ghgjpty,37,tutor,What do you notice about these two numbers?,00:04:56
ghgjpty,38,student,Maybe I should compare them as decimals first.,00:05:04
ghgjpty,39,tutor,What do you notice about these two numbers?,00:05:12
ghgjpty,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
ghgjpty,41,tutor,Uh-huh. And what would you do next?,00:05:28
ghgjpty,42,student,I'm not sure. Is it because 10 has one zero?,00:05:36
ghgjpty,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
ghgjpty,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
ghgjpty,45,tutor,What do you notice about these two numbers?,00:06:00
ghgjpty,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
ghgjpty,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
ghgjpty,48,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:24
ghgjpty,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
ghgjpty,50,student,I'm not sure. Is it because 10 has one zero?,00:06:40
ghgjpty,51,tutor,Uh-huh. And what would you do next?,00:06:48
ghgjpty,52,student,"I would divide it by 100, so the answer is 3.45.",00:06:56
ghgjpty,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
ghgjpty,54,student,Okay,00:07:12
ghgjpty,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
ghgjpty,56,student,300?,00:07:28
ghgjpty,57,tutor,So let me ask you first. Do you know what a fact family is?,00:07:36
ghgjpty,58,student,Maybe I should compare them as decimals first.,00:07:44
ghgjpty,59,tutor,Let's try a similar one. What is 30 times 4?,00:07:52
ghgjpty,60,student,Okay,00:08:00
ghgjpty,61,tutor,Can you talk me through how you got that answer?,00:08:08
ghgjpty,62,student,"I would divide it by 100, so the answer is 3.45.",00:08:16
ghgjpty,63,tutor,"Good thinking. Now, is that answer reasonable?",00:08:24
ghgjpty,64,student,"I would divide it by 100, so the answer is 3.45.",00:08:32
ghgjpty,65,tutor,Let's try a similar one. What is 30 times 4?,00:08:40
ghgjpty,66,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:48
ghgjpty,67,tutor,Uh-huh. And what would you do next?,00:08:56
ghgjpty,68,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:04
ghgjpty,69,tutor,"Good thinking. Now, is that answer reasonable?",00:09:12
ghgjpty,70,student,Maybe I should compare them as decimals first.,00:09:20
ghgjpty,71,tutor,Uh-huh. And what would you do next?,00:09:28
ghgjpty,72,student,I'm not sure. Is it because 10 has one zero?,00:09:36
ghgjpty,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
ghgjpty,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
ghgjpty,75,tutor,So let me ask you first. Do you know what a fact family is?,00:10:00
ghgjpty,76,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:08
ghgjpty,77,tutor,Uh-huh. And what would you do next?,00:10:16
ghgjpty,78,student,Half?,00:10:24
ghgjpty,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
ghgjpty,80,student,Maybe I should compare them as decimals first.,00:10:40
ghgjpty,81,tutor,Let's try a similar one. What is 30 times 4?,00:10:48
ghgjpty,82,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:56
ghgjpty,83,tutor,What do you notice about these two numbers?,00:11:04
ghgjpty,84,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:12
ghgjpty,85,tutor,Let's try a similar one. What is 30 times 4?,00:11:20
ghgjpty,86,student,I think we need to make the bottom numbers the same before we add.,00:11:28
ghgjpty,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
ghgjpty,88,student,I think we need to make the bottom numbers the same before we add.,00:11:44
ghgjpty,89,tutor,"Good thinking. Now, is that answer reasonable?",00:11:52
ghgjpty,90,student,"I would divide it by 100, so the answer is 3.45.",00:12:00
ghgjpty,91,tutor,Uh-huh. And what would you do next?,00:12:08
ghgjpty,92,student,6?,00:12:16
ghgjpty,93,tutor,What do you notice about these two numbers?,00:12:24
ghgjpty,94,student,Yes,00:12:32
ghgjpty,95,tutor,Let's try a similar one. What is 30 times 4?,00:12:40
ghgjpty,96,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:48
ghgjpty,97,tutor,Remember what we said about the denominator. What happens here?,00:12:56
ghgjpty,98,student,Yes,00:13:04
ghgjpty,99,tutor,Let's try a similar one. What is 30 times 4?,00:13:12
ghgjpty,100,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:20
ghgjpty,101,tutor,Remember what we said about the denominator. What happens here?,00:13:28
ghgjpty,102,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:36
ghgjpty,103,tutor,What do you notice about these two numbers?,00:13:44
ghgjpty,104,student,6?,00:13:52
ghgjpty,105,tutor,Uh-huh. And what would you do next?,00:14:00
ghgjpty,106,student,I'm not sure. Is it because 10 has one zero?,00:14:08
ghgjpty,107,tutor,Uh-huh. And what would you do next?,00:14:16
ghgjpty,108,student,300?,00:14:24
ghgjpty,109,tutor,Can you talk me through how you got that answer?,00:14:32
ghgjpty,110,student,Maybe I should compare them as decimals first.,00:14:40
ghgjpty,111,tutor,What do you notice about these two numbers?,00:14:48
ghgjpty,112,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:56
ghgjpty,113,tutor,Uh-huh. And what would you do next?,00:15:04
ghgjpty,114,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:12
ghgjpty,115,tutor,Can you talk me through how you got that answer?,00:15:20
ghgjpty,116,student,I'm not sure. Is it because 10 has one zero?,00:15:28
ghgjpty,117,tutor,Remember what we said about the denominator. What happens here?,00:15:36
ghgjpty,118,student,Maybe I should compare them as decimals first.,00:15:44
ghgjpty,119,tutor,Let's try a similar one. What is 30 times 4?,00:15:52
ghgjpty,120,student,Is it 4?,00:16:00
ghgjpty,121,tutor,So let me ask you first. Do you know what a fact family is?,00:16:08
ghgjpty,122,student,No,00:16:16
ghgjpty,123,tutor,Uh-huh. And what would you do next?,00:16:24
ghgjpty,124,student,I think we need to make the bottom numbers the same before we add.,00:16:32
ghgjpty,125,tutor,Remember what we said about the denominator. What happens here?,00:16:40
ghgjpty,126,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:48
ghgjpty,127,tutor,Let's try a similar one. What is 30 times 4?,00:16:56
ghgjpty,128,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:04
ghgjpty,129,tutor,Let's try a similar one. What is 30 times 4?,00:17:12
ghgjpty,130,student,Maybe I should compare them as decimals first.,00:17:20
ghgjpty,131,tutor,Can you talk me through how you got that answer?,00:17:28
ghgjpty,132,student,I'm not sure. Is it because 10 has one zero?,00:17:36
ghgjpty,133,tutor,Let's try a similar one. What is 30 times 4?,00:17:44
ghgjpty,134,student,I'm not sure. Is it because 10 has one zero?,00:17:52
ghgjpty,135,tutor,Can you talk me through how you got that answer?,00:18:00
ghgjpty,136,student,I think we need to make the bottom numbers the same before we add.,00:18:08
ghgjpty,137,tutor,Uh-huh. And what would you do next?,00:18:16
ghgjpty,138,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:24
ghgjpty,139,tutor,"Good thinking. Now, is that answer reasonable?",00:18:32
ghgjpty,140,student,No,00:18:40
ghgjpty,141,tutor,Can you talk me through how you got that answer?,00:18:48
ghgjpty,142,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:56
ghgjpty,143,tutor,So let me ask you first. Do you know what a fact family is?,00:19:04
ghgjpty,144,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:19:12
ghgjpty,145,tutor,"Good thinking. Now, is that answer reasonable?",00:19:20
ghgjpty,146,student,Okay,00:19:28
ghgjpty,147,tutor,Let's try a similar one. What is 30 times 4?,00:19:36
ghgjpty,148,student,Maybe I should compare them as decimals first.,00:19:44
ghgjpty,149,tutor,So let me ask you first. Do you know what a fact family is?,00:19:52
ghgjpty,150,student,Half?,00:20:00
ghgjpty,151,tutor,So let me ask you first. Do you know what a fact family is?,00:20:08
ghgjpty,152,student,75.,00:20:16
ghgjpty,153,tutor,So let me ask you first. Do you know what a fact family is?,00:20:24
ghgjpty,154,student,"I would divide it by 100, so the answer is 3.45.",00:20:32
ghgjpty,155,tutor,Uh-huh. And what would you do next?,00:20:40
ghgjpty,156,student,I'm not sure. Is it because 10 has one zero?,00:20:48
ghgjpty,157,tutor,What do you notice about these two numbers?,00:20:56
ghgjpty,158,student,Maybe I should compare them as decimals first.,00:21:04
ghgjpty,159,tutor,Uh-huh. And what would you do next?,00:21:12
ghgjpty,160,student,I think we need to make the bottom numbers the same before we add.,00:21:20
ghgjpty,161,tutor,"Good thinking. Now, is that answer reasonable?",00:21:28
ghgjpty,162,student,I'm not sure. Is it because 10 has one zero?,00:21:36
ghgjpty,163,tutor,Uh-huh. And what would you do next?,00:21:44
ghgjpty,164,student,I think we need to make the bottom numbers the same before we add.,00:21:52
ghgjpty,165,tutor,Can you talk me through how you got that answer?,00:22:00
ghgjpty,166,student,"I would divide it by 100, so the answer is 3.45.",00:22:08
ghgjpty,167,tutor,Let's try a similar one. What is 30 times 4?,00:22:16
ghgjpty,168,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:22:24
ghgjpty,169,tutor,What do you notice about these two numbers?,00:22:32
ghgjpty,170,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:22:40
ghgjpty,171,tutor,Remember what we said about the denominator. What happens here?,00:22:48
ghgjpty,172,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:22:56
ghgjpty,173,tutor,So let me ask you first. Do you know what a fact family is?,00:23:04
ghgjpty,174,student,Maybe I should compare them as decimals first.,00:23:12
ghgjpty,175,tutor,Uh-huh. And what would you do next?,00:23:20
ghgjpty,176,student,I'm not sure. Is it because 10 has one zero?,00:23:28
ghgjpty,177,tutor,What do you notice about these two numbers?,00:23:36
ghgjpty,178,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:23:44
ghgjpty,179,tutor,"Good thinking. Now, is that answer reasonable?",00:23:52
ghgjpty,180,student,"I would divide it by 100, so the answer is 3.45.",00:24:00
ghgjpty,181,tutor,Can you talk me through how you got that answer?,00:24:08
ghgjpty,182,student,No,00:24:16
ghgjpty,183,tutor,Let's try a similar one. What is 30 times 4?,00:24:24
ghgjpty,184,student,I think we need to make the bottom numbers the same before we add.,00:24:32
ghgjpty,185,tutor,Uh-huh. And what would you do next?,00:24:40
ghgjpty,186,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:24:48
ghgjpty,187,tutor,Can you talk me through how you got that answer?,00:24:56
ghgjpty,188,student,"I would divide it by 100, so the answer is 3.45.",00:25:04
ghgjpty,189,tutor,What do you notice about these two numbers?,00:25:12
ghgjpty,190,student,Maybe I should compare them as decimals first.,00:25:20
ghgjpty,191,tutor,Remember what we said about the denominator. What happens here?,00:25:28
ghgjpty,192,student,I'm not sure. Is it because 10 has one zero?,00:25:36
ghgjpty,193,tutor,Can you talk me through how you got that answer?,00:25:44
ghgjpty,194,student,"I would divide it by 100, so the answer is 3.45.",00:25:52
ghgjpty,195,tutor,So let me ask you first. Do you know what a fact family is?,00:26:00
ghgjpty,196,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:26:08
ghgjpty,197,tutor,"Good thinking. Now, is that answer reasonable?",00:26:16
ghgjpty,198,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:26:24
ghgjpty,199,tutor,Let's try a similar one. What is 30 times 4?,00:26:32
ghgjpty,200,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:26:40
ghgjpty,201,tutor,Can you talk me through how you got that answer?,00:26:48
ghgjpty,202,student,"I would divide it by 100, so the answer is 3.45.",00:26:56
ghgjpty,203,tutor,Remember what we said about the denominator. What happens here?,00:27:04
ghgjpty,204,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:27:12
ghgjpty,205,tutor,So let me ask you first. Do you know what a fact family is?,00:27:20
ghgjpty,206,student,"I would divide it by 100, so the answer is 3.45.",00:27:28
ghgjpty,207,tutor,So let me ask you first. Do you know what a fact family is?,00:27:36
ghgjpty,208,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:27:44
ghgjpty,209,tutor,Can you talk me through how you got that answer?,00:27:52
ghgjpty,210,student,Is it 4?,00:28:00
ghgjpty,211,tutor,Can you talk me through how you got that answer?,00:28:08
ghgjpty,212,student,I'm not sure. Is it because 10 has one zero?,00:28:16
ghgjpty,213,tutor,Let's try a similar one. What is 30 times 4?,00:28:24
ghgjpty,214,student,12.,00:28:32
ghgjpty,215,tutor,What do you notice about these two numbers?,00:28:40
ghgjpty,216,student,Maybe I should compare them as decimals first.,00:28:48
ghgjpty,217,tutor,What do you notice about these two numbers?,00:28:56
ghgjpty,218,student,Maybe I should compare them as decimals first.,00:29:04
ghgjpty,219,tutor,So let me ask you first. Do you know what a fact family is?,00:29:12
ghgjpty,220,student,I think we need to make the bottom numbers the same before we add.,00:29:20
ghgjpty,221,tutor,What do you notice about these two numbers?,00:29:28
ghgjpty,222,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:29:36
ghgjpty,223,tutor,What do you notice about these two numbers?,00:29:44
ghgjpty,224,student,Maybe I should compare them as decimals first.,00:29:52
ghgjpty,225,tutor,"Good thinking. Now, is that answer reasonable?",00:30:00
ghgjpty,226,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:30:08
ghgjpty,227,tutor,Remember what we said about the denominator. What happens here?,00:30:16
ghgjpty,228,student,I'm not sure. Is it because 10 has one zero?,00:30:24
ghgjpty,229,tutor,Uh-huh. And what would you do next?,00:30:32
ghgjpty,230,student,6?,00:30:40
ghgjpty,231,tutor,So let me ask you first. Do you know what a fact family is?,00:30:48
ghgjpty,232,student,I think we need to make the bottom numbers the same before we add.,00:30:56
ghgjpty,233,tutor,Remember what we said about the denominator. What happens here?,00:31:04
ghgjpty,234,student,"I would divide it by 100, so the answer is 3.45.",00:31:12
ghgjpty,235,tutor,What do you notice about these two numbers?,00:31:20
ghgjpty,236,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:31:28
ghgjpty,237,tutor,What do you notice about these two numbers?,00:31:36
ghgjpty,238,student,Maybe I should compare them as decimals first.,00:31:44
ghgjpty,239,tutor,Let's try a similar one. What is 30 times 4?,00:31:52
ghgjpty,240,student,Maybe I should compare them as decimals first.,00:32:00
ghgjpty,241,tutor,So let me ask you first. Do you know what a fact family is?,00:32:08
ghgjpty,242,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:32:16
ghgjpty,243,tutor,So let me ask you first. Do you know what a fact family is?,00:32:24
ghgjpty,244,student,"I would divide it by 100, so the answer is 3.45.",00:32:32
ghgjpty,245,tutor,What do you notice about these two numbers?,00:32:40
ghgjpty,246,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:32:48
ghgjpty,247,tutor,What do you notice about these two numbers?,00:32:56
ghgjpty,248,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:33:04
ghgjpty,249,tutor,So let me ask you first. Do you know what a fact family is?,00:33:12
ghgjpty,250,student,I'm not sure. Is it because 10 has one zero?,00:33:20
ghgjpty,251,tutor,So let me ask you first. Do you know what a fact family is?,00:33:28
ghgjpty,252,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:33:36
ghgjpty,253,tutor,So let me ask you first. Do you know what a fact family is?,00:33:44
ghgjpty,254,student,"I would divide it by 100, so the answer is 3.45.",00:33:52
ghgjpty,255,tutor,Let's try a similar one. What is 30 times 4?,00:34:00
ghgjpty,256,student,Maybe I should compare them as decimals first.,00:34:08
ghgjpty,257,tutor,So let me ask you first. Do you know what a fact family is?,00:34:16
ghgjpty,258,student,Maybe I should compare them as decimals first.,00:34:24
ghgjpty,259,tutor,Remember what we said about the denominator. What happens here?,00:34:32
ghgjpty,260,student,I think we need to make the bottom numbers the same before we add.,00:34:40
ghgjpty,261,tutor,What do you notice about these two numbers?,00:34:48
ghgjpty,262,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:34:56
ghgjpty,263,tutor,Great work today. See you next time!,00:35:04
