session_id,utterance_id,role,content,timestamp
khxsowc,0,background,[unclear],00:00:00
khxsowc,1,tutor,"Hello, are you ready to get started today?",00:00:08
khxsowc,2,student,"Yes, I think so.",00:00:16
khxsowc,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
khxsowc,4,student,Maybe I should compare them as decimals first.,00:00:32
khxsowc,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
khxsowc,6,student,Okay,00:00:48
khxsowc,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
khxsowc,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
khxsowc,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
khxsowc,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
khxsowc,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
khxsowc,12,student,I think we need to make the bottom numbers the same before we add.,00:01:36
khxsowc,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
khxsowc,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
khxsowc,15,tutor,Uh-huh. And what would you do next?,00:02:00
khxsowc,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
khxsowc,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
khxsowc,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
khxsowc,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
khxsowc,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
khxsowc,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
khxsowc,22,student,Maybe I should compare them as decimals first.,00:02:56
khxsowc,23,tutor,Can you talk me through how you got that answer?,00:03:04
khxsowc,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
khxsowc,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
khxsowc,26,student,Maybe I should compare them as decimals first.,00:03:28
khxsowc,27,tutor,Uh-huh. And what would you do next?,00:03:36
khxsowc,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
khxsowc,29,tutor,Uh-huh. And what would you do next?,00:03:52
khxsowc,30,student,6?,00:04:00
khxsowc,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
khxsowc,32,student,Half?,00:04:16
khxsowc,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
khxsowc,34,student,Maybe I should compare them as decimals first.,00:04:32
khxsowc,35,tutor,What do you notice about these two numbers?,00:04:40
khxsowc,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
khxsowc,37,tutor,Uh-huh. And what would you do next?,00:04:56
khxsowc,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
khxsowc,39,tutor,Uh-huh. And what would you do next?,00:05:12
khxsowc,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
