session_id,utterance_id,role,content,timestamp
vwweefq,0,background,[unclear],00:00:00
vwweefq,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
vwweefq,2,student,"Yes, I think so.",00:00:16
vwweefq,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
vwweefq,4,student,Maybe I should compare them as decimals first.,00:00:32
vwweefq,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
vwweefq,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
vwweefq,7,tutor,Can you talk me through how you got that answer?,00:00:56
vwweefq,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
vwweefq,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
vwweefq,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
vwweefq,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
vwweefq,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
vwweefq,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
vwweefq,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
vwweefq,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
vwweefq,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
vwweefq,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
vwweefq,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
vwweefq,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
vwweefq,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
vwweefq,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
vwweefq,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
vwweefq,23,tutor,What do you notice about these two numbers?,00:03:04
vwweefq,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
vwweefq,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
vwweefq,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
vwweefq,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
vwweefq,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
vwweefq,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
vwweefq,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
vwweefq,31,tutor,Can you talk me through how you got that answer?,00:04:08
vwweefq,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
vwweefq,33,tutor,What do you notice about these two numbers?,00:04:24
vwweefq,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
vwweefq,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
vwweefq,36,student,Maybe I should compare them as decimals first.,00:04:48
vwweefq,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
vwweefq,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
vwweefq,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
vwweefq,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
vwweefq,41,tutor,What do you notice about these two numbers?,00:05:28
vwweefq,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
vwweefq,43,tutor,What do you notice about these two numbers?,00:05:44
vwweefq,44,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:52
vwweefq,45,tutor,Can you talk me through how you got that answer?,00:06:00
vwweefq,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
vwweefq,47,tutor,Uh-huh. And what would you do next?,00:06:16
vwweefq,48,student,I'm not sure. Is it because 10 has one zero?,00:06:24
vwweefq,49,tutor,Uh-huh. And what would you do next?,00:06:32
vwweefq,50,student,I'm not sure. Is it because 10 has one zero?,00:06:40
vwweefq,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
vwweefq,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
vwweefq,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
vwweefq,54,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:12
vwweefq,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
vwweefq,56,student,Maybe I should compare them as decimals first.,00:07:28
vwweefq,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
vwweefq,58,student,Maybe I should compare them as decimals first.,00:07:44
vwweefq,59,tutor,Uh-huh. And what would you do next?,00:07:52
vwweefq,60,student,No,00:08:00
vwweefq,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
vwweefq,62,student,75.,00:08:16
vwweefq,63,tutor,Uh-huh. And what would you do next?,00:08:24
vwweefq,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
vwweefq,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
vwweefq,66,student,"I would divide it by 100, so the answer is 3.45.",00:08:48
vwweefq,67,tutor,Uh-huh. And what would you do next?,00:08:56
vwweefq,68,student,Maybe I should compare them as decimals first.,00:09:04
vwweefq,69,tutor,Can you talk me through how you got that answer?,00:09:12
vwweefq,70,student,I think we need to make the bottom numbers the same before we add.,00:09:20
vwweefq,71,tutor,So let me ask you first. Do you know what a fact family is?,00:09:28
vwweefq,72,student,300?,00:09:36
vwweefq,73,tutor,"Good thinking. Now, is that answer reasonable?",00:09:44
vwweefq,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
vwweefq,75,tutor,"Good thinking. Now, is that answer reasonable?",00:10:00
vwweefq,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
vwweefq,77,tutor,So let me ask you first. Do you know what a fact family is?,00:10:16
vwweefq,78,student,Okay,00:10:24
vwweefq,79,tutor,Remember what we said about the denominator. What happens here?,00:10:32
vwweefq,80,student,12.,00:10:40
vwweefq,81,tutor,"Good thinking. Now, is that answer reasonable?",00:10:48
vwweefq,82,student,I think we need to make the bottom numbers the same before we add.,00:10:56
vwweefq,83,tutor,Uh-huh. And what would you do next?,00:11:04
