session_id,utterance_id,role,content,timestamp
kanuabj,0,background,[unclear],00:00:00
kanuabj,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
kanuabj,2,student,"Yes, I think so.",00:00:16
kanuabj,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
kanuabj,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
kanuabj,5,tutor,Uh-huh. And what would you do next?,00:00:40
kanuabj,6,student,Maybe I should compare them as decimals first.,00:00:48
kanuabj,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
kanuabj,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
kanuabj,9,tutor,Can you talk me through how you got that answer?,00:01:12
kanuabj,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
kanuabj,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
kanuabj,12,student,Yes,00:01:36
kanuabj,13,tutor,Uh-huh. And what would you do next?,00:01:44
kanuabj,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
kanuabj,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
kanuabj,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
kanuabj,17,tutor,Uh-huh. And what would you do next?,00:02:16
kanuabj,18,student,12.,00:02:24
kanuabj,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
kanuabj,20,student,Maybe I should compare them as decimals first.,00:02:40
kanuabj,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
kanuabj,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
kanuabj,23,tutor,What do you notice about these two numbers?,00:03:04
kanuabj,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
kanuabj,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
kanuabj,26,student,300?,00:03:28
kanuabj,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
kanuabj,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
kanuabj,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
kanuabj,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
kanuabj,31,tutor,What do you notice about these two numbers?,00:04:08
kanuabj,32,student,6?,00:04:16
kanuabj,33,tutor,Uh-huh. And what would you do next?,00:04:24
kanuabj,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
kanuabj,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
kanuabj,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
kanuabj,37,tutor,Can you talk me through how you got that answer?,00:04:56
kanuabj,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
kanuabj,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
kanuabj,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
kanuabj,41,tutor,Uh-huh. And what would you do next?,00:05:28
kanuabj,42,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:36
kanuabj,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
kanuabj,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
kanuabj,45,tutor,What do you notice about these two numbers?,00:06:00
kanuabj,46,student,Maybe I should compare them as decimals first.,00:06:08
kanuabj,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
kanuabj,48,student,Maybe I should compare them as decimals first.,00:06:24
kanuabj,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
kanuabj,50,student,Maybe I should compare them as decimals first.,00:06:40
kanuabj,51,tutor,What do you notice about these two numbers?,00:06:48
kanuabj,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
kanuabj,53,tutor,So let me ask you first. Do you know what a fact family is?,00:07:04
kanuabj,54,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:12
kanuabj,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
kanuabj,56,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:28
kanuabj,57,tutor,Uh-huh. And what would you do next?,00:07:36
kanuabj,58,student,Maybe I should compare them as decimals first.,00:07:44
kanuabj,59,tutor,What do you notice about these two numbers?,00:07:52
kanuabj,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
kanuabj,61,tutor,Remember what we said about the denominator. What happens here?,00:08:08
kanuabj,62,student,I think we need to make the bottom numbers the same before we add.,00:08:16
