session_id,utterance_id,role,content,timestamp
eeuvoay,0,background,[unclear],00:00:00
eeuvoay,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
eeuvoay,2,student,"Yes, I think so.",00:00:16
eeuvoay,3,tutor,Can you talk me through how you got that answer?,00:00:24
eeuvoay,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
eeuvoay,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
eeuvoay,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
eeuvoay,7,tutor,Can you talk me through how you got that answer?,00:00:56
eeuvoay,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
eeuvoay,9,tutor,What do you notice about these two numbers?,00:01:12
eeuvoay,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
eeuvoay,11,tutor,Can you talk me through how you got that answer?,00:01:28
eeuvoay,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
eeuvoay,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
eeuvoay,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
eeuvoay,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
eeuvoay,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
eeuvoay,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
eeuvoay,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
eeuvoay,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
eeuvoay,20,student,6?,00:02:40
eeuvoay,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
eeuvoay,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
eeuvoay,23,tutor,What do you notice about these two numbers?,00:03:04
eeuvoay,24,student,Maybe I should compare them as decimals first.,00:03:12
eeuvoay,25,tutor,Uh-huh. And what would you do next?,00:03:20
eeuvoay,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
eeuvoay,27,tutor,Uh-huh. And what would you do next?,00:03:36
eeuvoay,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
eeuvoay,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
eeuvoay,30,student,"I would divide it by 100, so the answer is 3.45.",00:04:00
eeuvoay,31,tutor,What do you notice about these two numbers?,00:04:08
eeuvoay,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
eeuvoay,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
eeuvoay,34,student,Maybe I should compare them as decimals first.,00:04:32
eeuvoay,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
eeuvoay,36,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:48
eeuvoay,37,tutor,Uh-huh. And what would you do next?,00:04:56
eeuvoay,38,student,12.,00:05:04
eeuvoay,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
eeuvoay,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
eeuvoay,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
eeuvoay,42,student,Half?,00:05:36
eeuvoay,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
eeuvoay,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
eeuvoay,45,tutor,Uh-huh. And what would you do next?,00:06:00
eeuvoay,46,student,Maybe I should compare them as decimals first.,00:06:08
eeuvoay,47,tutor,Uh-huh. And what would you do next?,00:06:16
eeuvoay,48,student,I'm not sure. Is it because 10 has one zero?,00:06:24
eeuvoay,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
eeuvoay,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
eeuvoay,51,tutor,Can you talk me through how you got that answer?,00:06:48
eeuvoay,52,student,75.,00:06:56
eeuvoay,53,tutor,Uh-huh. And what would you do next?,00:07:04
eeuvoay,54,student,Maybe I should compare them as decimals first.,00:07:12
eeuvoay,55,tutor,What do you notice about these two numbers?,00:07:20
eeuvoay,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
eeuvoay,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
eeuvoay,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
eeuvoay,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
eeuvoay,60,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:00
eeuvoay,61,tutor,Let's try a similar one. What is 30 times 4?,00:08:08
eeuvoay,62,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:16
eeuvoay,63,tutor,So let me ask you first. Do you know what a fact family is?,00:08:24
eeuvoay,64,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:32
eeuvoay,65,tutor,Let's try a similar one. What is 30 times 4?,00:08:40
eeuvoay,66,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:48
eeuvoay,67,tutor,Let's try a similar one. What is 30 times 4?,00:08:56
eeuvoay,68,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:04
eeuvoay,69,tutor,What do you notice about these two numbers?,00:09:12
eeuvoay,70,student,I'm not sure. Is it because 10 has one zero?,00:09:20
eeuvoay,71,tutor,Can you talk me through how you got that answer?,00:09:28
eeuvoay,72,student,"I would divide it by 100, so the answer is 3.45.",00:09:36
eeuvoay,73,tutor,So let me ask you first. Do you know what a fact family is?,00:09:44
eeuvoay,74,student,I think we need to make the bottom numbers the same before we add.,00:09:52
eeuvoay,75,tutor,Let's try a similar one. What is 30 times 4?,00:10:00
eeuvoay,76,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:08
eeuvoay,77,tutor,Remember what we said about the denominator. What happens here?,00:10:16
eeuvoay,78,student,12.,00:10:24
eeuvoay,79,tutor,Can you talk me through how you got that answer?,00:10:32
eeuvoay,80,student,Maybe I should compare them as decimals first.,00:10:40
eeuvoay,81,tutor,Uh-huh. And what would you do next?,00:10:48
eeuvoay,82,student,75.,00:10:56
eeuvoay,83,tutor,Let's try a similar one. What is 30 times 4?,00:11:04
eeuvoay,84,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:12
eeuvoay,85,tutor,Can you talk me through how you got that answer?,00:11:20
eeuvoay,86,student,Half?,00:11:28
eeuvoay,87,tutor,Uh-huh. And what would you do next?,00:11:36
eeuvoay,88,student,I think we need to make the bottom numbers the same before we add.,00:11:44
eeuvoay,89,tutor,Uh-huh. And what would you do next?,00:11:52
eeuvoay,90,student,12.,00:12:00
eeuvoay,91,tutor,Let's try a similar one. What is 30 times 4?,00:12:08
eeuvoay,92,student,I'm not sure. Is it because 10 has one zero?,00:12:16
eeuvoay,93,tutor,"Good thinking. Now, is that answer reasonable?",00:12:24
eeuvoay,94,student,Okay,00:12:32
eeuvoay,95,tutor,Remember what we said about the denominator. What happens here?,00:12:40
eeuvoay,96,student,I'm not sure. Is it because 10 has one zero?,00:12:48
eeuvoay,97,tutor,What do you notice about these two numbers?,00:12:56
eeuvoay,98,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:04
eeuvoay,99,tutor,Can you talk me through how you got that answer?,00:13:12
eeuvoay,100,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:20
eeuvoay,101,tutor,Uh-huh. And what would you do next?,00:13:28
eeuvoay,102,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:36
eeuvoay,103,tutor,Remember what we said about the denominator. What happens here?,00:13:44
eeuvoay,104,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:52
eeuvoay,105,tutor,"Good thinking. Now, is that answer reasonable?",00:14:00
eeuvoay,106,student,12.,00:14:08
eeuvoay,107,tutor,"Good thinking. Now, is that answer reasonable?",00:14:16
eeuvoay,108,student,No,00:14:24
eeuvoay,109,tutor,So let me ask you first. Do you know what a fact family is?,00:14:32
eeuvoay,110,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:40
eeuvoay,111,tutor,Uh-huh. And what would you do next?,00:14:48
eeuvoay,112,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:56
eeuvoay,113,tutor,Remember what we said about the denominator. What happens here?,00:15:04
eeuvoay,114,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:12
eeuvoay,115,tutor,Can you talk me through how you got that answer?,00:15:20
eeuvoay,116,student,I think we need to make the bottom numbers the same before we add.,00:15:28
eeuvoay,117,tutor,Remember what we said about the denominator. What happens here?,00:15:36
eeuvoay,118,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:44
eeuvoay,119,tutor,So let me ask you first. Do you know what a fact family is?,00:15:52
eeuvoay,120,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:00
eeuvoay,121,tutor,So let me ask you first. Do you know what a fact family is?,00:16:08
eeuvoay,122,student,I think we need to make the bottom numbers the same before we add.,00:16:16
eeuvoay,123,tutor,Can you talk me through how you got that answer?,00:16:24
eeuvoay,124,student,Half?,00:16:32
eeuvoay,125,tutor,Uh-huh. And what would you do next?,00:16:40
eeuvoay,126,student,I think we need to make the bottom numbers the same before we add.,00:16:48
eeuvoay,127,tutor,Let's try a similar one. What is 30 times 4?,00:16:56
eeuvoay,128,student,12.,00:17:04
eeuvoay,129,tutor,What do you notice about these two numbers?,00:17:12
eeuvoay,130,student,Yes,00:17:20
eeuvoay,131,tutor,So let me ask you first. Do you know what a fact family is?,00:17:28
eeuvoay,132,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:36
eeuvoay,133,tutor,"Good thinking. Now, is that answer reasonable?",00:17:44
eeuvoay,134,student,Half?,00:17:52
eeuvoay,135,tutor,So let me ask you first. Do you know what a fact family is?,00:18:00
eeuvoay,136,student,Maybe I should compare them as decimals first.,00:18:08
eeuvoay,137,tutor,Remember what we said about the denominator. What happens here?,00:18:16
eeuvoay,138,student,I think we need to make the bottom numbers the same before we add.,00:18:24
eeuvoay,139,tutor,So let me ask you first. Do you know what a fact family is?,00:18:32
eeuvoay,140,student,I'm not sure. Is it because 10 has one zero?,00:18:40
eeuvoay,141,tutor,"Good thinking. Now, is that answer reasonable?",00:18:48
eeuvoay,142,student,I think we need to make the bottom numbers the same before we add.,00:18:56
eeuvoay,143,tutor,Remember what we said about the denominator. What happens here?,00:19:04
eeuvoay,144,student,Maybe I should compare them as decimals first.,00:19:12
eeuvoay,145,tutor,Uh-huh. And what would you do next?,00:19:20
eeuvoay,146,student,75.,00:19:28
eeuvoay,147,tutor,Can you talk me through how you got that answer?,00:19:36
eeuvoay,148,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:19:44
eeuvoay,149,tutor,Uh-huh. And what would you do next?,00:19:52
eeuvoay,150,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:20:00
eeuvoay,151,tutor,"Good thinking. Now, is that answer reasonable?",00:20:08
eeuvoay,152,student,Is it 4?,00:20:16
