session_id,utterance_id,role,content,timestamp
gaalqaf,0,background,[unclear],00:00:00
gaalqaf,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
gaalqaf,2,student,"Yes, I think so.",00:00:16
gaalqaf,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
gaalqaf,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
gaalqaf,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
gaalqaf,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
gaalqaf,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
gaalqaf,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
gaalqaf,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
gaalqaf,10,student,Is it 4?,00:01:20
gaalqaf,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
gaalqaf,12,student,Maybe I should compare them as decimals first.,00:01:36
gaalqaf,13,tutor,Can you talk me through how you got that answer?,00:01:44
gaalqaf,14,student,No,00:01:52
gaalqaf,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
gaalqaf,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
gaalqaf,17,tutor,Can you talk me through how you got that answer?,00:02:16
gaalqaf,18,student,Yes,00:02:24
gaalqaf,19,tutor,What do you notice about these two numbers?,00:02:32
gaalqaf,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
gaalqaf,21,tutor,What do you notice about these two numbers?,00:02:48
gaalqaf,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
gaalqaf,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
gaalqaf,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
gaalqaf,25,tutor,What do you notice about these two numbers?,00:03:20
gaalqaf,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
gaalqaf,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
gaalqaf,28,student,Is it 4?,00:03:44
gaalqaf,29,tutor,What do you notice about these two numbers?,00:03:52
gaalqaf,30,student,Is it 4?,00:04:00
gaalqaf,31,tutor,Can you talk me through how you got that answer?,00:04:08
gaalqaf,32,student,Okay,00:04:16
gaalqaf,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
gaalqaf,34,student,Maybe I should compare them as decimals first.,00:04:32
gaalqaf,35,tutor,Uh-huh. And what would you do next?,00:04:40
gaalqaf,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
gaalqaf,37,tutor,Uh-huh. And what would you do next?,00:04:56
gaalqaf,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
gaalqaf,39,tutor,Can you talk me through how you got that answer?,00:05:12
gaalqaf,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
gaalqaf,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
gaalqaf,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
gaalqaf,43,tutor,Uh-huh. And what would you do next?,00:05:44
gaalqaf,44,student,6?,00:05:52
gaalqaf,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
gaalqaf,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
gaalqaf,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
gaalqaf,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
gaalqaf,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
gaalqaf,50,student,Maybe I should compare them as decimals first.,00:06:40
gaalqaf,51,tutor,Remember what we said about the denominator. What happens here?,00:06:48
gaalqaf,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
gaalqaf,53,tutor,What do you notice about these two numbers?,00:07:04
gaalqaf,54,student,Half?,00:07:12
gaalqaf,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
gaalqaf,56,student,12.,00:07:28
gaalqaf,57,tutor,Can you talk me through how you got that answer?,00:07:36
gaalqaf,58,student,Maybe I should compare them as decimals first.,00:07:44
gaalqaf,59,tutor,Can you talk me through how you got that answer?,00:07:52
gaalqaf,60,student,No,00:08:00
gaalqaf,61,tutor,"Good thinking. Now, is that answer reasonable?",00:08:08
gaalqaf,62,student,"I would divide it by 100, so the answer is 3.45.",00:08:16
gaalqaf,63,tutor,Remember what we said about the denominator. What happens here?,00:08:24
gaalqaf,64,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:32
gaalqaf,65,tutor,Remember what we said about the denominator. What happens here?,00:08:40
gaalqaf,66,student,300?,00:08:48
gaalqaf,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
gaalqaf,68,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:04
gaalqaf,69,tutor,What do you notice about these two numbers?,00:09:12
gaalqaf,70,student,"I would divide it by 100, so the answer is 3.45.",00:09:20
gaalqaf,71,tutor,Can you talk me through how you got that answer?,00:09:28
gaalqaf,72,student,6?,00:09:36
gaalqaf,73,tutor,What do you notice about these two numbers?,00:09:44
gaalqaf,74,student,"I would divide it by 100, so the answer is 3.45.",00:09:52
gaalqaf,75,tutor,So let me ask you first. Do you know what a fact family is?,00:10:00
gaalqaf,76,student,Yes,00:10:08
gaalqaf,77,tutor,What do you notice about these two numbers?,00:10:16
gaalqaf,78,student,"I would divide it by 100, so the answer is 3.45.",00:10:24
gaalqaf,79,tutor,Remember what we said about the denominator. What happens here?,00:10:32
gaalqaf,80,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:40
gaalqaf,81,tutor,Remember what we said about the denominator. What happens here?,00:10:48
gaalqaf,82,student,Maybe I should compare them as decimals first.,00:10:56
gaalqaf,83,tutor,"Good thinking. Now, is that answer reasonable?",00:11:04
gaalqaf,84,student,Yes,00:11:12
gaalqaf,85,tutor,Let's try a similar one. What is 30 times 4?,00:11:20
gaalqaf,86,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:28
gaalqaf,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
gaalqaf,88,student,I think we need to make the bottom numbers the same before we add.,00:11:44
gaalqaf,89,tutor,"Good thinking. Now, is that answer reasonable?",00:11:52
gaalqaf,90,student,I think we need to make the bottom numbers the same before we add.,00:12:00
