session_id,utterance_id,role,content,timestamp
ytkbvar,0,background,[unclear],00:00:00
ytkbvar,1,tutor,"Hello, are you ready to get started today?",00:00:08
ytkbvar,2,student,"Yes, I think so.",00:00:16
ytkbvar,3,tutor,Can you talk me through how you got that answer?,00:00:24
ytkbvar,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
ytkbvar,5,tutor,Can you talk me through how you got that answer?,00:00:40
ytkbvar,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
ytkbvar,7,tutor,What do you notice about these two numbers?,00:00:56
ytkbvar,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
ytkbvar,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
ytkbvar,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
ytkbvar,11,tutor,Can you talk me through how you got that answer?,00:01:28
ytkbvar,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
ytkbvar,13,tutor,Can you talk me through how you got that answer?,00:01:44
ytkbvar,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
ytkbvar,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
ytkbvar,16,student,75.,00:02:08
ytkbvar,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
ytkbvar,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
ytkbvar,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
ytkbvar,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
ytkbvar,21,tutor,Can you talk me through how you got that answer?,00:02:48
ytkbvar,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
ytkbvar,23,tutor,What do you notice about these two numbers?,00:03:04
ytkbvar,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
ytkbvar,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
ytkbvar,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
ytkbvar,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
ytkbvar,28,student,75.,00:03:44
ytkbvar,29,tutor,What do you notice about these two numbers?,00:03:52
ytkbvar,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
ytkbvar,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
ytkbvar,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
ytkbvar,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
ytkbvar,34,student,Maybe I should compare them as decimals first.,00:04:32
ytkbvar,35,tutor,Uh-huh. And what would you do next?,00:04:40
ytkbvar,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
ytkbvar,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
ytkbvar,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
ytkbvar,39,tutor,Can you talk me through how you got that answer?,00:05:12
ytkbvar,40,student,Maybe I should compare them as decimals first.,00:05:20
ytkbvar,41,tutor,What do you notice about these two numbers?,00:05:28
ytkbvar,42,student,Maybe I should compare them as decimals first.,00:05:36
ytkbvar,43,tutor,Can you talk me through how you got that answer?,00:05:44
ytkbvar,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
ytkbvar,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
ytkbvar,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
ytkbvar,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
ytkbvar,48,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:24
ytkbvar,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
ytkbvar,50,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:40
ytkbvar,51,tutor,Can you talk me through how you got that answer?,00:06:48
ytkbvar,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
ytkbvar,53,tutor,What do you notice about these two numbers?,00:07:04
ytkbvar,54,student,Is it 4?,00:07:12
ytkbvar,55,tutor,Uh-huh. And what would you do next?,00:07:20
ytkbvar,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
ytkbvar,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
ytkbvar,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
ytkbvar,59,tutor,Uh-huh. And what would you do next?,00:07:52
ytkbvar,60,student,Is it 4?,00:08:00
ytkbvar,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
ytkbvar,62,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:16
ytkbvar,63,tutor,Remember what we said about the denominator. What happens here?,00:08:24
ytkbvar,64,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:32
ytkbvar,65,tutor,Uh-huh. And what would you do next?,00:08:40
ytkbvar,66,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:48
ytkbvar,67,tutor,Uh-huh. And what would you do next?,00:08:56
ytkbvar,68,student,Okay,00:09:04
ytkbvar,69,tutor,Let's try a similar one. What is 30 times 4?,00:09:12
ytkbvar,70,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:20
ytkbvar,71,tutor,What do you notice about these two numbers?,00:09:28
ytkbvar,72,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:36
ytkbvar,73,tutor,What do you notice about these two numbers?,00:09:44
ytkbvar,74,student,Maybe I should compare them as decimals first.,00:09:52
ytkbvar,75,tutor,"Good thinking. Now, is that answer reasonable?",00:10:00
ytkbvar,76,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:08
ytkbvar,77,tutor,Let's try a similar one. What is 30 times 4?,00:10:16
ytkbvar,78,student,"I would divide it by 100, so the answer is 3.45.",00:10:24
ytkbvar,79,tutor,Can you talk me through how you got that answer?,00:10:32
ytkbvar,80,student,"I would divide it by 100, so the answer is 3.45.",00:10:40
ytkbvar,81,tutor,What do you notice about these two numbers?,00:10:48
ytkbvar,82,student,Maybe I should compare them as decimals first.,00:10:56
ytkbvar,83,tutor,"Good thinking. Now, is that answer reasonable?",00:11:04
ytkbvar,84,student,300?,00:11:12
ytkbvar,85,tutor,Can you talk me through how you got that answer?,00:11:20
ytkbvar,86,student,"I would divide it by 100, so the answer is 3.45.",00:11:28
ytkbvar,87,tutor,"Good thinking. Now, is that answer reasonable?",00:11:36
ytkbvar,88,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:44
ytkbvar,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
ytkbvar,90,student,I'm not sure. Is it because 10 has one zero?,00:12:00
ytkbvar,91,tutor,Can you talk me through how you got that answer?,00:12:08
ytkbvar,92,student,Maybe I should compare them as decimals first.,00:12:16
ytkbvar,93,tutor,Uh-huh. And what would you do next?,00:12:24
ytkbvar,94,student,Maybe I should compare them as decimals first.,00:12:32
ytkbvar,95,tutor,Remember what we said about the denominator. What happens here?,00:12:40
ytkbvar,96,student,I think we need to make the bottom numbers the same before we add.,00:12:48
ytkbvar,97,tutor,So let me ask you first. Do you know what a fact family is?,00:12:56
ytkbvar,98,student,6?,00:13:04
ytkbvar,99,tutor,What do you notice about these two numbers?,00:13:12
ytkbvar,100,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:20
ytkbvar,101,tutor,"Good thinking. Now, is that answer reasonable?",00:13:28
ytkbvar,102,student,Is it 4?,00:13:36
ytkbvar,103,tutor,Can you talk me through how you got that answer?,00:13:44
ytkbvar,104,student,I think we need to make the bottom numbers the same before we add.,00:13:52
ytkbvar,105,tutor,Let's try a similar one. What is 30 times 4?,00:14:00
ytkbvar,106,student,I think we need to make the bottom numbers the same before we add.,00:14:08
ytkbvar,107,tutor,Can you talk me through how you got that answer?,00:14:16
