session_id,utterance_id,role,content,timestamp
hmbftwc,0,background,[unclear],00:00:00
hmbftwc,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
hmbftwc,2,student,"Yes, I think so.",00:00:16
hmbftwc,3,tutor,Can you talk me through how you got that answer?,00:00:24
hmbftwc,4,student,Yes,00:00:32
hmbftwc,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
hmbftwc,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
hmbftwc,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
hmbftwc,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
hmbftwc,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
hmbftwc,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
hmbftwc,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
hmbftwc,12,student,Maybe I should compare them as decimals first.,00:01:36
hmbftwc,13,tutor,What do you notice about these two numbers?,00:01:44
hmbftwc,14,student,Maybe I should compare them as decimals first.,00:01:52
hmbftwc,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
hmbftwc,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
hmbftwc,17,tutor,Can you talk me through how you got that answer?,00:02:16
hmbftwc,18,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:24
hmbftwc,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
hmbftwc,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
hmbftwc,21,tutor,Can you talk me through how you got that answer?,00:02:48
hmbftwc,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
hmbftwc,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
hmbftwc,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
hmbftwc,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
hmbftwc,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
hmbftwc,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
hmbftwc,28,student,Half?,00:03:44
hmbftwc,29,tutor,Can you talk me through how you got that answer?,00:03:52
hmbftwc,30,student,Maybe I should compare them as decimals first.,00:04:00
hmbftwc,31,tutor,What do you notice about these two numbers?,00:04:08
hmbftwc,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
hmbftwc,33,tutor,Can you talk me through how you got that answer?,00:04:24
hmbftwc,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
hmbftwc,35,tutor,What do you notice about these two numbers?,00:04:40
hmbftwc,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
hmbftwc,37,tutor,Uh-huh. And what would you do next?,00:04:56
hmbftwc,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
