session_id,utterance_id,role,content,timestamp
bfctzoe,0,background,[unclear],00:00:00
bfctzoe,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
bfctzoe,2,student,"Yes, I think so.",00:00:16
bfctzoe,3,tutor,Uh-huh. And what would you do next?,00:00:24
bfctzoe,4,student,12.,00:00:32
bfctzoe,5,tutor,What do you notice about these two numbers?,00:00:40
bfctzoe,6,student,Okay,00:00:48
bfctzoe,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
bfctzoe,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
bfctzoe,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
bfctzoe,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
bfctzoe,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
bfctzoe,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
bfctzoe,13,tutor,What do you notice about these two numbers?,00:01:44
bfctzoe,14,student,No,00:01:52
bfctzoe,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
bfctzoe,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
bfctzoe,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
bfctzoe,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
bfctzoe,19,tutor,Uh-huh. And what would you do next?,00:02:32
bfctzoe,20,student,I think we need to make the bottom numbers the same before we add.,00:02:40
bfctzoe,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
bfctzoe,22,student,Okay,00:02:56
bfctzoe,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
bfctzoe,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
bfctzoe,25,tutor,Can you talk me through how you got that answer?,00:03:20
bfctzoe,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
bfctzoe,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
bfctzoe,28,student,Maybe I should compare them as decimals first.,00:03:44
bfctzoe,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
bfctzoe,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
bfctzoe,31,tutor,Can you talk me through how you got that answer?,00:04:08
bfctzoe,32,student,Maybe I should compare them as decimals first.,00:04:16
bfctzoe,33,tutor,What do you notice about these two numbers?,00:04:24
bfctzoe,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
bfctzoe,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
bfctzoe,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
bfctzoe,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
bfctzoe,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
bfctzoe,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
bfctzoe,40,student,Yes,00:05:20
bfctzoe,41,tutor,Uh-huh. And what would you do next?,00:05:28
bfctzoe,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
bfctzoe,43,tutor,Uh-huh. And what would you do next?,00:05:44
bfctzoe,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
bfctzoe,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
bfctzoe,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
bfctzoe,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
bfctzoe,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
bfctzoe,49,tutor,What do you notice about these two numbers?,00:06:32
bfctzoe,50,student,Maybe I should compare them as decimals first.,00:06:40
bfctzoe,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
bfctzoe,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
bfctzoe,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
bfctzoe,54,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:12
bfctzoe,55,tutor,Can you talk me through how you got that answer?,00:07:20
bfctzoe,56,student,Yes,00:07:28
bfctzoe,57,tutor,Uh-huh. And what would you do next?,00:07:36
bfctzoe,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
bfctzoe,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
bfctzoe,60,student,12.,00:08:00
bfctzoe,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
bfctzoe,62,student,I'm not sure. Is it because 10 has one zero?,00:08:16
bfctzoe,63,tutor,Let's try a similar one. What is 30 times 4?,00:08:24
bfctzoe,64,student,I think we need to make the bottom numbers the same before we add.,00:08:32
bfctzoe,65,tutor,So let me ask you first. Do you know what a fact family is?,00:08:40
bfctzoe,66,student,Is it 4?,00:08:48
bfctzoe,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
bfctzoe,68,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:04
bfctzoe,69,tutor,Can you talk me through how you got that answer?,00:09:12
bfctzoe,70,student,I think we need to make the bottom numbers the same before we add.,00:09:20
bfctzoe,71,tutor,What do you notice about these two numbers?,00:09:28
bfctzoe,72,student,12.,00:09:36
bfctzoe,73,tutor,So let me ask you first. Do you know what a fact family is?,00:09:44
bfctzoe,74,student,75.,00:09:52
bfctzoe,75,tutor,What do you notice about these two numbers?,00:10:00
bfctzoe,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
bfctzoe,77,tutor,"Good thinking. Now, is that answer reasonable?",00:10:16
bfctzoe,78,student,I think we need to make the bottom numbers the same before we add.,00:10:24
bfctzoe,79,tutor,Uh-huh. And what would you do next?,00:10:32
bfctzoe,80,student,"I would divide it by 100, so the answer is 3.45.",00:10:40
bfctzoe,81,tutor,Let's try a similar one. What is 30 times 4?,00:10:48
bfctzoe,82,student,I think we need to make the bottom numbers the same before we add.,00:10:56
bfctzoe,83,tutor,"Good thinking. Now, is that answer reasonable?",00:11:04
bfctzoe,84,student,"I would divide it by 100, so the answer is 3.45.",00:11:12
bfctzoe,85,tutor,Can you talk me through how you got that answer?,00:11:20
bfctzoe,86,student,Maybe I should compare them as decimals first.,00:11:28
bfctzoe,87,tutor,Can you talk me through how you got that answer?,00:11:36
bfctzoe,88,student,6?,00:11:44
bfctzoe,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
bfctzoe,90,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:00
bfctzoe,91,tutor,Uh-huh. And what would you do next?,00:12:08
bfctzoe,92,student,6?,00:12:16
bfctzoe,93,tutor,"Good thinking. Now, is that answer reasonable?",00:12:24
bfctzoe,94,student,12.,00:12:32
bfctzoe,95,tutor,Uh-huh. And what would you do next?,00:12:40
bfctzoe,96,student,Half?,00:12:48
bfctzoe,97,tutor,Can you talk me through how you got that answer?,00:12:56
bfctzoe,98,student,No,00:13:04
bfctzoe,99,tutor,What do you notice about these two numbers?,00:13:12
bfctzoe,100,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:20
bfctzoe,101,tutor,So let me ask you first. Do you know what a fact family is?,00:13:28
bfctzoe,102,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:36
bfctzoe,103,tutor,"Good thinking. Now, is that answer reasonable?",00:13:44
bfctzoe,104,student,I'm not sure. Is it because 10 has one zero?,00:13:52
bfctzoe,105,tutor,Let's try a similar one. What is 30 times 4?,00:14:00
bfctzoe,106,student,"I would divide it by 100, so the answer is 3.45.",00:14:08
bfctzoe,107,tutor,Remember what we said about the denominator. What happens here?,00:14:16
bfctzoe,108,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:24
bfctzoe,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
bfctzoe,110,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:40
bfctzoe,111,tutor,So let me ask you first. Do you know what a fact family is?,00:14:48
bfctzoe,112,student,"I would divide it by 100, so the answer is 3.45.",00:14:56
bfctzoe,113,tutor,"Good thinking. Now, is that answer reasonable?",00:15:04
bfctzoe,114,student,Is it 4?,00:15:12
bfctzoe,115,tutor,Let's try a similar one. What is 30 times 4?,00:15:20
bfctzoe,116,student,"I would divide it by 100, so the answer is 3.45.",00:15:28
bfctzoe,117,tutor,So let me ask you first. Do you know what a fact family is?,00:15:36
bfctzoe,118,student,Maybe I should compare them as decimals first.,00:15:44
bfctzoe,119,tutor,Let's try a similar one. What is 30 times 4?,00:15:52
bfctzoe,120,student,I think we need to make the bottom numbers the same before we add.,00:16:00
bfctzoe,121,tutor,Let's try a similar one. What is 30 times 4?,00:16:08
bfctzoe,122,student,"I would divide it by 100, so the answer is 3.45.",00:16:16
bfctzoe,123,tutor,What do you notice about these two numbers?,00:16:24
bfctzoe,124,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:32
bfctzoe,125,tutor,"Good thinking. Now, is that answer reasonable?",00:16:40
bfctzoe,126,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:48
bfctzoe,127,tutor,"Good thinking. Now, is that answer reasonable?",00:16:56
bfctzoe,128,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:04
bfctzoe,129,tutor,What do you notice about these two numbers?,00:17:12
