session_id,utterance_id,role,content,timestamp
uaxqfxh,0,background,[unclear],00:00:00
uaxqfxh,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
uaxqfxh,2,student,"Yes, I think so.",00:00:16
uaxqfxh,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
uaxqfxh,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
uaxqfxh,5,tutor,What do you notice about these two numbers?,00:00:40
uaxqfxh,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
uaxqfxh,7,tutor,Can you talk me through how you got that answer?,00:00:56
uaxqfxh,8,student,Maybe I should compare them as decimals first.,00:01:04
uaxqfxh,9,tutor,Uh-huh. And what would you do next?,00:01:12
uaxqfxh,10,student,Maybe I should compare them as decimals first.,00:01:20
uaxqfxh,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
uaxqfxh,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
uaxqfxh,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
uaxqfxh,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
uaxqfxh,15,tutor,What do you notice about these two numbers?,00:02:00
uaxqfxh,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
uaxqfxh,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
uaxqfxh,18,student,Yes,00:02:24
uaxqfxh,19,tutor,Can you talk me through how you got that answer?,00:02:32
uaxqfxh,20,student,Maybe I should compare them as decimals first.,00:02:40
uaxqfxh,21,tutor,Uh-huh. And what would you do next?,00:02:48
uaxqfxh,22,student,Maybe I should compare them as decimals first.,00:02:56
uaxqfxh,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
uaxqfxh,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
uaxqfxh,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
uaxqfxh,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
uaxqfxh,27,tutor,Can you talk me through how you got that answer?,00:03:36
uaxqfxh,28,student,Maybe I should compare them as decimals first.,00:03:44
uaxqfxh,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
uaxqfxh,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
uaxqfxh,31,tutor,Uh-huh. And what would you do next?,00:04:08
uaxqfxh,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
uaxqfxh,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
uaxqfxh,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
uaxqfxh,35,tutor,Uh-huh. And what would you do next?,00:04:40
uaxqfxh,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
uaxqfxh,37,tutor,Can you talk me through how you got that answer?,00:04:56
uaxqfxh,38,student,"I would divide it by 100, so the answer is 3.45.",00:05:04
uaxqfxh,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
uaxqfxh,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
uaxqfxh,41,tutor,Can you talk me through how you got that answer?,00:05:28
uaxqfxh,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
uaxqfxh,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
uaxqfxh,44,student,6?,00:05:52
uaxqfxh,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
uaxqfxh,46,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:08
uaxqfxh,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
uaxqfxh,48,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:24
uaxqfxh,49,tutor,What do you notice about these two numbers?,00:06:32
uaxqfxh,50,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:40
uaxqfxh,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
uaxqfxh,52,student,Yes,00:06:56
uaxqfxh,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
uaxqfxh,54,student,Maybe I should compare them as decimals first.,00:07:12
uaxqfxh,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
uaxqfxh,56,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:28
uaxqfxh,57,tutor,What do you notice about these two numbers?,00:07:36
uaxqfxh,58,student,No,00:07:44
uaxqfxh,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
uaxqfxh,60,student,Maybe I should compare them as decimals first.,00:08:00
uaxqfxh,61,tutor,What do you notice about these two numbers?,00:08:08
uaxqfxh,62,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:16
uaxqfxh,63,tutor,Remember what we said about the denominator. What happens here?,00:08:24
uaxqfxh,64,student,I'm not sure. Is it because 10 has one zero?,00:08:32
uaxqfxh,65,tutor,Uh-huh. And what would you do next?,00:08:40
uaxqfxh,66,student,Maybe I should compare them as decimals first.,00:08:48
uaxqfxh,67,tutor,Uh-huh. And what would you do next?,00:08:56
uaxqfxh,68,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:04
uaxqfxh,69,tutor,What do you notice about these two numbers?,00:09:12
uaxqfxh,70,student,"I would divide it by 100, so the answer is 3.45.",00:09:20
uaxqfxh,71,tutor,Uh-huh. And what would you do next?,00:09:28
uaxqfxh,72,student,Maybe I should compare them as decimals first.,00:09:36
uaxqfxh,73,tutor,What do you notice about these two numbers?,00:09:44
uaxqfxh,74,student,"I would divide it by 100, so the answer is 3.45.",00:09:52
uaxqfxh,75,tutor,What do you notice about these two numbers?,00:10:00
uaxqfxh,76,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:08
uaxqfxh,77,tutor,Can you talk me through how you got that answer?,00:10:16
uaxqfxh,78,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:24
uaxqfxh,79,tutor,Let's try a similar one. What is 30 times 4?,00:10:32
uaxqfxh,80,student,"I would divide it by 100, so the answer is 3.45.",00:10:40
uaxqfxh,81,tutor,"Good thinking. Now, is that answer reasonable?",00:10:48
uaxqfxh,82,student,Maybe I should compare them as decimals first.,00:10:56
uaxqfxh,83,tutor,Remember what we said about the denominator. What happens here?,00:11:04
uaxqfxh,84,student,Yes,00:11:12
uaxqfxh,85,tutor,What do you notice about these two numbers?,00:11:20
uaxqfxh,86,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:28
uaxqfxh,87,tutor,Let's try a similar one. What is 30 times 4?,00:11:36
uaxqfxh,88,student,75.,00:11:44
