session_id,utterance_id,role,content,timestamp
zwutazt,0,background,[unclear],00:00:00
zwutazt,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
zwutazt,2,student,"Yes, I think so.",00:00:16
zwutazt,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
zwutazt,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
zwutazt,5,tutor,What do you notice about these two numbers?,00:00:40
zwutazt,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
zwutazt,7,tutor,What do you notice about these two numbers?,00:00:56
zwutazt,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
zwutazt,9,tutor,Uh-huh. And what would you do next?,00:01:12
zwutazt,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
zwutazt,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
zwutazt,12,student,Maybe I should compare them as decimals first.,00:01:36
zwutazt,13,tutor,Uh-huh. And what would you do next?,00:01:44
zwutazt,14,student,300?,00:01:52
zwutazt,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
zwutazt,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
zwutazt,17,tutor,What do you notice about these two numbers?,00:02:16
zwutazt,18,student,Maybe I should compare them as decimals first.,00:02:24
zwutazt,19,tutor,Uh-huh. And what would you do next?,00:02:32
zwutazt,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
zwutazt,21,tutor,Uh-huh. And what would you do next?,00:02:48
zwutazt,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
zwutazt,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
zwutazt,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
zwutazt,25,tutor,Uh-huh. And what would you do next?,00:03:20
zwutazt,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
zwutazt,27,tutor,What do you notice about these two numbers?,00:03:36
zwutazt,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
zwutazt,29,tutor,Can you talk me through how you got that answer?,00:03:52
zwutazt,30,student,Maybe I should compare them as decimals first.,00:04:00
zwutazt,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
zwutazt,32,student,Yes,00:04:16
zwutazt,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
zwutazt,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
zwutazt,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
zwutazt,36,student,Maybe I should compare them as decimals first.,00:04:48
zwutazt,37,tutor,What do you notice about these two numbers?,00:04:56
zwutazt,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
zwutazt,39,tutor,Uh-huh. And what would you do next?,00:05:12
zwutazt,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
zwutazt,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
