session_id,utterance_id,role,content,timestamp
nlmynny,0,background,[unclear],00:00:00
nlmynny,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
nlmynny,2,student,"Yes, I think so.",00:00:16
nlmynny,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
nlmynny,4,student,Okay,00:00:32
nlmynny,5,tutor,Can you talk me through how you got that answer?,00:00:40
nlmynny,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
nlmynny,7,tutor,Uh-huh. And what would you do next?,00:00:56
nlmynny,8,student,Okay,00:01:04
nlmynny,9,tutor,What do you notice about these two numbers?,00:01:12
nlmynny,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
nlmynny,11,tutor,Can you talk me through how you got that answer?,00:01:28
nlmynny,12,student,I think we need to make the bottom numbers the same before we add.,00:01:36
nlmynny,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
nlmynny,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
nlmynny,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
nlmynny,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
nlmynny,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
nlmynny,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
nlmynny,19,tutor,Uh-huh. And what would you do next?,00:02:32
nlmynny,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
nlmynny,21,tutor,Let's try a similar one. What is 30 times 4?,00:02:48
nlmynny,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
nlmynny,23,tutor,Uh-huh. And what would you do next?,00:03:04
nlmynny,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
nlmynny,25,tutor,Can you talk me through how you got that answer?,00:03:20
nlmynny,26,student,Maybe I should compare them as decimals first.,00:03:28
nlmynny,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
nlmynny,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
nlmynny,29,tutor,What do you notice about these two numbers?,00:03:52
nlmynny,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
nlmynny,31,tutor,What do you notice about these two numbers?,00:04:08
nlmynny,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
nlmynny,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
nlmynny,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
nlmynny,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
nlmynny,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
