session_id,utterance_id,role,content,timestamp
zroevqn,0,background,[unclear],00:00:00
zroevqn,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
zroevqn,2,student,"Yes, I think so.",00:00:16
zroevqn,3,tutor,Can you talk me through how you got that answer?,00:00:24
zroevqn,4,student,Maybe I should compare them as decimals first.,00:00:32
zroevqn,5,tutor,Can you talk me through how you got that answer?,00:00:40
zroevqn,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
zroevqn,7,tutor,What do you notice about these two numbers?,00:00:56
zroevqn,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
zroevqn,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
zroevqn,10,student,Is it 4?,00:01:20
zroevqn,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
zroevqn,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
zroevqn,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
zroevqn,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
zroevqn,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
zroevqn,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
zroevqn,17,tutor,What do you notice about these two numbers?,00:02:16
zroevqn,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
zroevqn,19,tutor,Uh-huh. And what would you do next?,00:02:32
zroevqn,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
zroevqn,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
zroevqn,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
zroevqn,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
zroevqn,24,student,Yes,00:03:12
zroevqn,25,tutor,Can you talk me through how you got that answer?,00:03:20
zroevqn,26,student,Is it 4?,00:03:28
zroevqn,27,tutor,Can you talk me through how you got that answer?,00:03:36
zroevqn,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
zroevqn,29,tutor,What do you notice about these two numbers?,00:03:52
