session_id,utterance_id,role,content,timestamp
motlkmw,0,background,[unclear],00:00:00
motlkmw,1,tutor,"Hello, are you ready to get started today?",00:00:08
motlkmw,2,student,"Yes, I think so.",00:00:16
motlkmw,3,tutor,Can you talk me through how you got that answer?,00:00:24
motlkmw,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
motlkmw,5,tutor,Uh-huh. And what would you do next?,00:00:40
motlkmw,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
motlkmw,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
motlkmw,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
motlkmw,9,tutor,Uh-huh. And what would you do next?,00:01:12
motlkmw,10,student,Maybe I should compare them as decimals first.,00:01:20
motlkmw,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
motlkmw,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
motlkmw,13,tutor,Can you talk me through how you got that answer?,00:01:44
motlkmw,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
motlkmw,15,tutor,Can you talk me through how you got that answer?,00:02:00
motlkmw,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
motlkmw,17,tutor,What do you notice about these two numbers?,00:02:16
motlkmw,18,student,No,00:02:24
motlkmw,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
motlkmw,20,student,Maybe I should compare them as decimals first.,00:02:40
motlkmw,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
motlkmw,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
motlkmw,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
motlkmw,24,student,75.,00:03:12
motlkmw,25,tutor,Uh-huh. And what would you do next?,00:03:20
motlkmw,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
motlkmw,27,tutor,Can you talk me through how you got that answer?,00:03:36
motlkmw,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
motlkmw,29,tutor,What do you notice about these two numbers?,00:03:52
motlkmw,30,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:00
motlkmw,31,tutor,Can you talk me through how you got that answer?,00:04:08
motlkmw,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
motlkmw,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
motlkmw,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
motlkmw,35,tutor,Can you talk me through how you got that answer?,00:04:40
motlkmw,36,student,Maybe I should compare them as decimals first.,00:04:48
motlkmw,37,tutor,What do you notice about these two numbers?,00:04:56
motlkmw,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
motlkmw,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
motlkmw,40,student,6?,00:05:20
motlkmw,41,tutor,Uh-huh. And what would you do next?,00:05:28
motlkmw,42,student,12.,00:05:36
motlkmw,43,tutor,Can you talk me through how you got that answer?,00:05:44
motlkmw,44,student,Maybe I should compare them as decimals first.,00:05:52
motlkmw,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
motlkmw,46,student,"I would divide it by 100, so the answer is 3.45.",00:06:08
motlkmw,47,tutor,What do you notice about these two numbers?,00:06:16
motlkmw,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
motlkmw,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
motlkmw,50,student,Okay,00:06:40
motlkmw,51,tutor,Can you talk me through how you got that answer?,00:06:48
motlkmw,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
motlkmw,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
motlkmw,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
motlkmw,55,tutor,Can you talk me through how you got that answer?,00:07:20
motlkmw,56,student,Yes,00:07:28
motlkmw,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
motlkmw,58,student,300?,00:07:44
motlkmw,59,tutor,What do you notice about these two numbers?,00:07:52
motlkmw,60,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:00
motlkmw,61,tutor,Uh-huh. And what would you do next?,00:08:08
motlkmw,62,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:16
motlkmw,63,tutor,Uh-huh. And what would you do next?,00:08:24
motlkmw,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
motlkmw,65,tutor,Can you talk me through how you got that answer?,00:08:40
motlkmw,66,student,I think we need to make the bottom numbers the same before we add.,00:08:48
motlkmw,67,tutor,Uh-huh. And what would you do next?,00:08:56
motlkmw,68,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:04
motlkmw,69,tutor,Remember what we said about the denominator. What happens here?,00:09:12
motlkmw,70,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:20
motlkmw,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
motlkmw,72,student,"I would divide it by 100, so the answer is 3.45.",00:09:36
motlkmw,73,tutor,Uh-huh. And what would you do next?,00:09:44
motlkmw,74,student,Is it 4?,00:09:52
motlkmw,75,tutor,So let me ask you first. Do you know what a fact family is?,00:10:00
motlkmw,76,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:08
motlkmw,77,tutor,Uh-huh. And what would you do next?,00:10:16
motlkmw,78,student,No,00:10:24
motlkmw,79,tutor,Uh-huh. And what would you do next?,00:10:32
motlkmw,80,student,I think we need to make the bottom numbers the same before we add.,00:10:40
motlkmw,81,tutor,Uh-huh. And what would you do next?,00:10:48
motlkmw,82,student,Maybe I should compare them as decimals first.,00:10:56
motlkmw,83,tutor,What do you notice about these two numbers?,00:11:04
motlkmw,84,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:12
motlkmw,85,tutor,What do you notice about these two numbers?,00:11:20
motlkmw,86,student,I think we need to make the bottom numbers the same before we add.,00:11:28
motlkmw,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
motlkmw,88,student,No,00:11:44
motlkmw,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
motlkmw,90,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:00
motlkmw,91,tutor,Can you talk me through how you got that answer?,00:12:08
motlkmw,92,student,"I would divide it by 100, so the answer is 3.45.",00:12:16
motlkmw,93,tutor,What do you notice about these two numbers?,00:12:24
motlkmw,94,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:32
motlkmw,95,tutor,"Good thinking. Now, is that answer reasonable?",00:12:40
motlkmw,96,student,I think we need to make the bottom numbers the same before we add.,00:12:48
motlkmw,97,tutor,Remember what we said about the denominator. What happens here?,00:12:56
motlkmw,98,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:04
motlkmw,99,tutor,Can you talk me through how you got that answer?,00:13:12
motlkmw,100,student,I'm not sure. Is it because 10 has one zero?,00:13:20
motlkmw,101,tutor,What do you notice about these two numbers?,00:13:28
motlkmw,102,student,"I would divide it by 100, so the answer is 3.45.",00:13:36
motlkmw,103,tutor,Let's try a similar one. What is 30 times 4?,00:13:44
motlkmw,104,student,"I would divide it by 100, so the answer is 3.45.",00:13:52
motlkmw,105,tutor,What do you notice about these two numbers?,00:14:00
motlkmw,106,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:08
motlkmw,107,tutor,"Good thinking. Now, is that answer reasonable?",00:14:16
motlkmw,108,student,300?,00:14:24
motlkmw,109,tutor,Let's try a similar one. What is 30 times 4?,00:14:32
motlkmw,110,student,Maybe I should compare them as decimals first.,00:14:40
motlkmw,111,tutor,What do you notice about these two numbers?,00:14:48
motlkmw,112,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:56
motlkmw,113,tutor,Remember what we said about the denominator. What happens here?,00:15:04
motlkmw,114,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:12
motlkmw,115,tutor,Uh-huh. And what would you do next?,00:15:20
motlkmw,116,student,Maybe I should compare them as decimals first.,00:15:28
motlkmw,117,tutor,Uh-huh. And what would you do next?,00:15:36
motlkmw,118,student,Is it 4?,00:15:44
motlkmw,119,tutor,"Good thinking. Now, is that answer reasonable?",00:15:52
motlkmw,120,student,Half?,00:16:00
motlkmw,121,tutor,"Good thinking. Now, is that answer reasonable?",00:16:08
motlkmw,122,student,I think we need to make the bottom numbers the same before we add.,00:16:16
motlkmw,123,tutor,What do you notice about these two numbers?,00:16:24
motlkmw,124,student,"I would divide it by 100, so the answer is 3.45.",00:16:32
motlkmw,125,tutor,What do you notice about these two numbers?,00:16:40
motlkmw,126,student,Maybe I should compare them as decimals first.,00:16:48
motlkmw,127,tutor,Let's try a similar one. What is 30 times 4?,00:16:56
motlkmw,128,student,300?,00:17:04
motlkmw,129,tutor,Uh-huh. And what would you do next?,00:17:12
motlkmw,130,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:20
motlkmw,131,tutor,Let's try a similar one. What is 30 times 4?,00:17:28
motlkmw,132,student,Half?,00:17:36
motlkmw,133,tutor,Can you talk me through how you got that answer?,00:17:44
motlkmw,134,student,I'm not sure. Is it because 10 has one zero?,00:17:52
motlkmw,135,tutor,What do you notice about these two numbers?,00:18:00
motlkmw,136,student,I'm not sure. Is it because 10 has one zero?,00:18:08
motlkmw,137,tutor,Let's try a similar one. What is 30 times 4?,00:18:16
motlkmw,138,tutor,Great work today. See you next time!,00:18:24
