session_id,utterance_id,role,content,timestamp
vaomnyy,0,background,[unclear],00:00:00
vaomnyy,1,tutor,"Hello, are you ready to get started today?",00:00:08
vaomnyy,2,student,"Yes, I think so.",00:00:16
vaomnyy,3,tutor,Uh-huh. And what would you do next?,00:00:24
vaomnyy,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
vaomnyy,5,tutor,Can you talk me through how you got that answer?,00:00:40
vaomnyy,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
vaomnyy,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
vaomnyy,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
vaomnyy,9,tutor,What do you notice about these two numbers?,00:01:12
vaomnyy,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
vaomnyy,11,tutor,Uh-huh. And what would you do next?,00:01:28
vaomnyy,12,student,"I would divide it by 100, so the answer is 3.45.",00:01:36
vaomnyy,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
vaomnyy,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
vaomnyy,15,tutor,What do you notice about these two numbers?,00:02:00
vaomnyy,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
vaomnyy,17,tutor,Uh-huh. And what would you do next?,00:02:16
vaomnyy,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
vaomnyy,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
vaomnyy,20,student,Okay,00:02:40
vaomnyy,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
vaomnyy,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
vaomnyy,23,tutor,So let me ask you first. Do you know what a fact family is?,00:03:04
vaomnyy,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
vaomnyy,25,tutor,What do you notice about these two numbers?,00:03:20
vaomnyy,26,student,Maybe I should compare them as decimals first.,00:03:28
vaomnyy,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
vaomnyy,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
vaomnyy,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
vaomnyy,30,student,No,00:04:00
vaomnyy,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
vaomnyy,32,student,Yes,00:04:16
vaomnyy,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
vaomnyy,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
vaomnyy,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
vaomnyy,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
vaomnyy,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
vaomnyy,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
vaomnyy,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
vaomnyy,40,student,Yes,00:05:20
vaomnyy,41,tutor,Can you talk me through how you got that answer?,00:05:28
vaomnyy,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
vaomnyy,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
vaomnyy,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
vaomnyy,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
vaomnyy,46,student,Maybe I should compare them as decimals first.,00:06:08
vaomnyy,47,tutor,Uh-huh. And what would you do next?,00:06:16
vaomnyy,48,student,Yes,00:06:24
vaomnyy,49,tutor,Can you talk me through how you got that answer?,00:06:32
vaomnyy,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
vaomnyy,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
vaomnyy,52,student,12.,00:06:56
vaomnyy,53,tutor,So let me ask you first. Do you know what a fact family is?,00:07:04
vaomnyy,54,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:12
vaomnyy,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
vaomnyy,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
vaomnyy,57,tutor,Can you talk me through how you got that answer?,00:07:36
vaomnyy,58,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:44
vaomnyy,59,tutor,What do you notice about these two numbers?,00:07:52
vaomnyy,60,student,12.,00:08:00
vaomnyy,61,tutor,Can you talk me through how you got that answer?,00:08:08
vaomnyy,62,student,Maybe I should compare them as decimals first.,00:08:16
vaomnyy,63,tutor,Can you talk me through how you got that answer?,00:08:24
vaomnyy,64,student,"I would divide it by 100, so the answer is 3.45.",00:08:32
vaomnyy,65,tutor,Can you talk me through how you got that answer?,00:08:40
vaomnyy,66,student,"I would divide it by 100, so the answer is 3.45.",00:08:48
vaomnyy,67,tutor,Uh-huh. And what would you do next?,00:08:56
vaomnyy,68,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:04
vaomnyy,69,tutor,Uh-huh. And what would you do next?,00:09:12
vaomnyy,70,student,Maybe I should compare them as decimals first.,00:09:20
vaomnyy,71,tutor,What do you notice about these two numbers?,00:09:28
vaomnyy,72,student,I'm not sure. Is it because 10 has one zero?,00:09:36
vaomnyy,73,tutor,Remember what we said about the denominator. What happens here?,00:09:44
vaomnyy,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
vaomnyy,75,tutor,Remember what we said about the denominator. What happens here?,00:10:00
vaomnyy,76,student,No,00:10:08
vaomnyy,77,tutor,So let me ask you first. Do you know what a fact family is?,00:10:16
vaomnyy,78,student,Maybe I should compare them as decimals first.,00:10:24
vaomnyy,79,tutor,Uh-huh. And what would you do next?,00:10:32
vaomnyy,80,student,Maybe I should compare them as decimals first.,00:10:40
vaomnyy,81,tutor,Uh-huh. And what would you do next?,00:10:48
vaomnyy,82,student,Okay,00:10:56
vaomnyy,83,tutor,Can you talk me through how you got that answer?,00:11:04
vaomnyy,84,student,I think we need to make the bottom numbers the same before we add.,00:11:12
vaomnyy,85,tutor,"Good thinking. Now, is that answer reasonable?",00:11:20
vaomnyy,86,student,No,00:11:28
vaomnyy,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
vaomnyy,88,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:44
vaomnyy,89,tutor,"Good thinking. Now, is that answer reasonable?",00:11:52
vaomnyy,90,student,I think we need to make the bottom numbers the same before we add.,00:12:00
