session_id,utterance_id,role,content,timestamp
peewnhd,0,background,[unclear],00:00:00
peewnhd,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
peewnhd,2,student,"Yes, I think so.",00:00:16
peewnhd,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
peewnhd,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
peewnhd,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
peewnhd,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
peewnhd,7,tutor,Can you talk me through how you got that answer?,00:00:56
peewnhd,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
peewnhd,9,tutor,Can you talk me through how you got that answer?,00:01:12
peewnhd,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
peewnhd,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
peewnhd,12,student,Yes,00:01:36
peewnhd,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
peewnhd,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
peewnhd,15,tutor,Uh-huh. And what would you do next?,00:02:00
peewnhd,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
peewnhd,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
peewnhd,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
peewnhd,19,tutor,What do you notice about these two numbers?,00:02:32
peewnhd,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
peewnhd,21,tutor,Can you talk me through how you got that answer?,00:02:48
peewnhd,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
peewnhd,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
peewnhd,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
peewnhd,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
peewnhd,26,student,Half?,00:03:28
peewnhd,27,tutor,Uh-huh. And what would you do next?,00:03:36
peewnhd,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
peewnhd,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
peewnhd,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
peewnhd,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
peewnhd,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
