session_id,utterance_id,role,content,timestamp
hhtmmeo,0,background,[unclear],00:00:00
hhtmmeo,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
hhtmmeo,2,student,"Yes, I think so.",00:00:16
hhtmmeo,3,tutor,Uh-huh. And what would you do next?,00:00:24
hhtmmeo,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
hhtmmeo,5,tutor,What do you notice about these two numbers?,00:00:40
hhtmmeo,6,student,12.,00:00:48
hhtmmeo,7,tutor,Let's try a similar one. What is 30 times 4?,00:00:56
hhtmmeo,8,student,Maybe I should compare them as decimals first.,00:01:04
hhtmmeo,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
hhtmmeo,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
hhtmmeo,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
hhtmmeo,12,student,I think we need to make the bottom numbers the same before we add.,00:01:36
hhtmmeo,13,tutor,Uh-huh. And what would you do next?,00:01:44
hhtmmeo,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
hhtmmeo,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
hhtmmeo,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
hhtmmeo,17,tutor,Uh-huh. And what would you do next?,00:02:16
hhtmmeo,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
hhtmmeo,19,tutor,Uh-huh. And what would you do next?,00:02:32
hhtmmeo,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
hhtmmeo,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
hhtmmeo,22,student,No,00:02:56
hhtmmeo,23,tutor,Uh-huh. And what would you do next?,00:03:04
hhtmmeo,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
hhtmmeo,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
hhtmmeo,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
hhtmmeo,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
hhtmmeo,28,student,Maybe I should compare them as decimals first.,00:03:44
hhtmmeo,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
hhtmmeo,30,student,I think we need to make the bottom numbers the same before we add.,00:04:00
hhtmmeo,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
hhtmmeo,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
hhtmmeo,33,tutor,What do you notice about these two numbers?,00:04:24
hhtmmeo,34,student,No,00:04:32
hhtmmeo,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
hhtmmeo,36,student,Is it 4?,00:04:48
hhtmmeo,37,tutor,Can you talk me through how you got that answer?,00:04:56
hhtmmeo,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
hhtmmeo,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
hhtmmeo,40,student,Maybe I should compare them as decimals first.,00:05:20
hhtmmeo,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
hhtmmeo,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
hhtmmeo,43,tutor,Uh-huh. And what would you do next?,00:05:44
hhtmmeo,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
hhtmmeo,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
hhtmmeo,46,student,Maybe I should compare them as decimals first.,00:06:08
hhtmmeo,47,tutor,Uh-huh. And what would you do next?,00:06:16
hhtmmeo,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
hhtmmeo,49,tutor,So let me ask you first. Do you know what a fact family is?,00:06:32
hhtmmeo,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
hhtmmeo,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
hhtmmeo,52,student,Yes,00:06:56
hhtmmeo,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
hhtmmeo,54,student,Maybe I should compare them as decimals first.,00:07:12
hhtmmeo,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
hhtmmeo,56,student,No,00:07:28
hhtmmeo,57,tutor,What do you notice about these two numbers?,00:07:36
hhtmmeo,58,student,I'm not sure. Is it because 10 has one zero?,00:07:44
hhtmmeo,59,tutor,Can you talk me through how you got that answer?,00:07:52
hhtmmeo,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
hhtmmeo,61,tutor,"Good thinking. Now, is that answer reasonable?",00:08:08
hhtmmeo,62,student,"I would divide it by 100, so the answer is 3.45.",00:08:16
hhtmmeo,63,tutor,Uh-huh. And what would you do next?,00:08:24
hhtmmeo,64,student,I'm not sure. Is it because 10 has one zero?,00:08:32
hhtmmeo,65,tutor,Remember what we said about the denominator. What happens here?,00:08:40
hhtmmeo,66,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:48
hhtmmeo,67,tutor,What do you notice about these two numbers?,00:08:56
hhtmmeo,68,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:04
hhtmmeo,69,tutor,What do you notice about these two numbers?,00:09:12
hhtmmeo,70,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:20
hhtmmeo,71,tutor,Can you talk me through how you got that answer?,00:09:28
hhtmmeo,72,student,Is it 4?,00:09:36
hhtmmeo,73,tutor,Remember what we said about the denominator. What happens here?,00:09:44
hhtmmeo,74,student,I'm not sure. Is it because 10 has one zero?,00:09:52
hhtmmeo,75,tutor,Can you talk me through how you got that answer?,00:10:00
hhtmmeo,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
hhtmmeo,77,tutor,What do you notice about these two numbers?,00:10:16
hhtmmeo,78,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:24
hhtmmeo,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
hhtmmeo,80,student,I'm not sure. Is it because 10 has one zero?,00:10:40
hhtmmeo,81,tutor,Remember what we said about the denominator. What happens here?,00:10:48
hhtmmeo,82,student,12.,00:10:56
hhtmmeo,83,tutor,What do you notice about these two numbers?,00:11:04
hhtmmeo,84,student,I'm not sure. Is it because 10 has one zero?,00:11:12
hhtmmeo,85,tutor,Uh-huh. And what would you do next?,00:11:20
hhtmmeo,86,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:28
hhtmmeo,87,tutor,Remember what we said about the denominator. What happens here?,00:11:36
hhtmmeo,88,student,Maybe I should compare them as decimals first.,00:11:44
hhtmmeo,89,tutor,So let me ask you first. Do you know what a fact family is?,00:11:52
