session_id,utterance_id,role,content,timestamp
mnilmms,0,background,[unclear],00:00:00
mnilmms,1,tutor,"Hello, are you ready to get started today?",00:00:08
mnilmms,2,student,"Yes, I think so.",00:00:16
mnilmms,3,tutor,What do you notice about these two numbers?,00:00:24
mnilmms,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
mnilmms,5,tutor,Can you talk me through how you got that answer?,00:00:40
mnilmms,6,student,Maybe I should compare them as decimals first.,00:00:48
mnilmms,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
mnilmms,8,student,Maybe I should compare them as decimals first.,00:01:04
mnilmms,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
mnilmms,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
mnilmms,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
mnilmms,12,student,I think we need to make the bottom numbers the same before we add.,00:01:36
mnilmms,13,tutor,What do you notice about these two numbers?,00:01:44
mnilmms,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
mnilmms,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
mnilmms,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
mnilmms,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
mnilmms,18,student,12.,00:02:24
mnilmms,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
mnilmms,20,student,12.,00:02:40
mnilmms,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
mnilmms,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
mnilmms,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
mnilmms,24,student,Half?,00:03:12
mnilmms,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
mnilmms,26,student,Is it 4?,00:03:28
mnilmms,27,tutor,What do you notice about these two numbers?,00:03:36
mnilmms,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
mnilmms,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
mnilmms,30,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:00
mnilmms,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
mnilmms,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
mnilmms,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
mnilmms,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
mnilmms,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
mnilmms,36,student,No,00:04:48
mnilmms,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
mnilmms,38,student,Okay,00:05:04
mnilmms,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
mnilmms,40,student,"I would divide it by 100, so the answer is 3.45.",00:05:20
mnilmms,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
mnilmms,42,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:36
mnilmms,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
mnilmms,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
mnilmms,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
mnilmms,46,student,Maybe I should compare them as decimals first.,00:06:08
mnilmms,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
mnilmms,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
mnilmms,49,tutor,Uh-huh. And what would you do next?,00:06:32
mnilmms,50,student,Is it 4?,00:06:40
mnilmms,51,tutor,Remember what we said about the denominator. What happens here?,00:06:48
mnilmms,52,student,I'm not sure. Is it because 10 has one zero?,00:06:56
mnilmms,53,tutor,Can you talk me through how you got that answer?,00:07:04
mnilmms,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
mnilmms,55,tutor,Can you talk me through how you got that answer?,00:07:20
mnilmms,56,student,Maybe I should compare them as decimals first.,00:07:28
mnilmms,57,tutor,Uh-huh. And what would you do next?,00:07:36
mnilmms,58,student,Half?,00:07:44
mnilmms,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
mnilmms,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
mnilmms,61,tutor,Can you talk me through how you got that answer?,00:08:08
mnilmms,62,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:16
mnilmms,63,tutor,Can you talk me through how you got that answer?,00:08:24
mnilmms,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
mnilmms,65,tutor,So let me ask you first. Do you know what a fact family is?,00:08:40
mnilmms,66,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:48
mnilmms,67,tutor,Let's try a similar one. What is 30 times 4?,00:08:56
mnilmms,68,student,"I would divide it by 100, so the answer is 3.45.",00:09:04
mnilmms,69,tutor,So let me ask you first. Do you know what a fact family is?,00:09:12
mnilmms,70,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:20
mnilmms,71,tutor,Can you talk me through how you got that answer?,00:09:28
mnilmms,72,student,Maybe I should compare them as decimals first.,00:09:36
mnilmms,73,tutor,Can you talk me through how you got that answer?,00:09:44
mnilmms,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
mnilmms,75,tutor,Uh-huh. And what would you do next?,00:10:00
mnilmms,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
mnilmms,77,tutor,Can you talk me through how you got that answer?,00:10:16
mnilmms,78,student,I'm not sure. Is it because 10 has one zero?,00:10:24
mnilmms,79,tutor,Uh-huh. And what would you do next?,00:10:32
mnilmms,80,student,I think we need to make the bottom numbers the same before we add.,00:10:40
mnilmms,81,tutor,Can you talk me through how you got that answer?,00:10:48
mnilmms,82,student,Maybe I should compare them as decimals first.,00:10:56
mnilmms,83,tutor,So let me ask you first. Do you know what a fact family is?,00:11:04
mnilmms,84,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:12
mnilmms,85,tutor,What do you notice about these two numbers?,00:11:20
mnilmms,86,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:28
mnilmms,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
mnilmms,88,student,I'm not sure. Is it because 10 has one zero?,00:11:44
mnilmms,89,tutor,So let me ask you first. Do you know what a fact family is?,00:11:52
mnilmms,90,student,Maybe I should compare them as decimals first.,00:12:00
mnilmms,91,tutor,What do you notice about these two numbers?,00:12:08
mnilmms,92,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:16
mnilmms,93,tutor,"Good thinking. Now, is that answer reasonable?",00:12:24
mnilmms,94,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:32
mnilmms,95,tutor,"Good thinking. Now, is that answer reasonable?",00:12:40
mnilmms,96,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:48
mnilmms,97,tutor,Uh-huh. And what would you do next?,00:12:56
mnilmms,98,student,Half?,00:13:04
mnilmms,99,tutor,Let's try a similar one. What is 30 times 4?,00:13:12
mnilmms,100,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:20
mnilmms,101,tutor,"Good thinking. Now, is that answer reasonable?",00:13:28
mnilmms,102,student,No,00:13:36
mnilmms,103,tutor,So let me ask you first. Do you know what a fact family is?,00:13:44
mnilmms,104,student,I think we need to make the bottom numbers the same before we add.,00:13:52
mnilmms,105,tutor,Remember what we said about the denominator. What happens here?,00:14:00
mnilmms,106,student,No,00:14:08
mnilmms,107,tutor,Can you talk me through how you got that answer?,00:14:16
mnilmms,108,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:24
mnilmms,109,tutor,Uh-huh. And what would you do next?,00:14:32
mnilmms,110,student,Maybe I should compare them as decimals first.,00:14:40
mnilmms,111,tutor,"Good thinking. Now, is that answer reasonable?",00:14:48
mnilmms,112,student,75.,00:14:56
mnilmms,113,tutor,Uh-huh. And what would you do next?,00:15:04
mnilmms,114,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:12
mnilmms,115,tutor,Can you talk me through how you got that answer?,00:15:20
mnilmms,116,student,Maybe I should compare them as decimals first.,00:15:28
mnilmms,117,tutor,Uh-huh. And what would you do next?,00:15:36
mnilmms,118,student,Maybe I should compare them as decimals first.,00:15:44
mnilmms,119,tutor,Let's try a similar one. What is 30 times 4?,00:15:52
mnilmms,120,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:00
mnilmms,121,tutor,Can you talk me through how you got that answer?,00:16:08
mnilmms,122,student,"I would divide it by 100, so the answer is 3.45.",00:16:16
mnilmms,123,tutor,"Good thinking. Now, is that answer reasonable?",00:16:24
mnilmms,124,student,300?,00:16:32
mnilmms,125,tutor,Let's try a similar one. What is 30 times 4?,00:16:40
mnilmms,126,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:48
mnilmms,127,tutor,So let me ask you first. Do you know what a fact family is?,00:16:56
mnilmms,128,student,I think we need to make the bottom numbers the same before we add.,00:17:04
mnilmms,129,tutor,So let me ask you first. Do you know what a fact family is?,00:17:12
mnilmms,130,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:20
mnilmms,131,tutor,Uh-huh. And what would you do next?,00:17:28
mnilmms,132,student,I'm not sure. Is it because 10 has one zero?,00:17:36
mnilmms,133,tutor,Can you talk me through how you got that answer?,00:17:44
mnilmms,134,student,6?,00:17:52
