session_id,utterance_id,role,content,timestamp
gswqlgh,0,background,[unclear],00:00:00
gswqlgh,1,tutor,"Hello, are you ready to get started today?",00:00:08
gswqlgh,2,student,"Yes, I think so.",00:00:16
gswqlgh,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
gswqlgh,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
gswqlgh,5,tutor,What do you notice about these two numbers?,00:00:40
gswqlgh,6,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:48
gswqlgh,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
gswqlgh,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
gswqlgh,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
gswqlgh,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
gswqlgh,11,tutor,Uh-huh. And what would you do next?,00:01:28
gswqlgh,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
gswqlgh,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
gswqlgh,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
gswqlgh,15,tutor,What do you notice about these two numbers?,00:02:00
gswqlgh,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
gswqlgh,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
gswqlgh,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
gswqlgh,19,tutor,Uh-huh. And what would you do next?,00:02:32
gswqlgh,20,student,Maybe I should compare them as decimals first.,00:02:40
gswqlgh,21,tutor,Can you talk me through how you got that answer?,00:02:48
gswqlgh,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
gswqlgh,23,tutor,So let me ask you first. Do you know what a fact family is?,00:03:04
gswqlgh,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
gswqlgh,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
gswqlgh,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
gswqlgh,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
gswqlgh,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
gswqlgh,29,tutor,Can you talk me through how you got that answer?,00:03:52
gswqlgh,30,student,Maybe I should compare them as decimals first.,00:04:00
gswqlgh,31,tutor,Uh-huh. And what would you do next?,00:04:08
gswqlgh,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
gswqlgh,33,tutor,What do you notice about these two numbers?,00:04:24
gswqlgh,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
gswqlgh,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
gswqlgh,36,student,I'm not sure. Is it because 10 has one zero?,00:04:48
gswqlgh,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
gswqlgh,38,student,75.,00:05:04
gswqlgh,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
gswqlgh,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
gswqlgh,41,tutor,What do you notice about these two numbers?,00:05:28
gswqlgh,42,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:36
gswqlgh,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
gswqlgh,44,student,No,00:05:52
gswqlgh,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
gswqlgh,46,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:08
gswqlgh,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
gswqlgh,48,student,I'm not sure. Is it because 10 has one zero?,00:06:24
gswqlgh,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
gswqlgh,50,student,"I would divide it by 100, so the answer is 3.45.",00:06:40
gswqlgh,51,tutor,Remember what we said about the denominator. What happens here?,00:06:48
gswqlgh,52,student,Maybe I should compare them as decimals first.,00:06:56
gswqlgh,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
gswqlgh,54,student,75.,00:07:12
gswqlgh,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
gswqlgh,56,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:28
gswqlgh,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
gswqlgh,58,student,Maybe I should compare them as decimals first.,00:07:44
gswqlgh,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
gswqlgh,60,student,I'm not sure. Is it because 10 has one zero?,00:08:00
gswqlgh,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
gswqlgh,62,student,Maybe I should compare them as decimals first.,00:08:16
gswqlgh,63,tutor,So let me ask you first. Do you know what a fact family is?,00:08:24
gswqlgh,64,student,300?,00:08:32
gswqlgh,65,tutor,What do you notice about these two numbers?,00:08:40
gswqlgh,66,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:48
gswqlgh,67,tutor,Can you talk me through how you got that answer?,00:08:56
gswqlgh,68,student,I'm not sure. Is it because 10 has one zero?,00:09:04
gswqlgh,69,tutor,Can you talk me through how you got that answer?,00:09:12
gswqlgh,70,student,"I would divide it by 100, so the answer is 3.45.",00:09:20
gswqlgh,71,tutor,Remember what we said about the denominator. What happens here?,00:09:28
gswqlgh,72,student,"I would divide it by 100, so the answer is 3.45.",00:09:36
gswqlgh,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
gswqlgh,74,student,Maybe I should compare them as decimals first.,00:09:52
gswqlgh,75,tutor,Let's try a similar one. What is 30 times 4?,00:10:00
gswqlgh,76,student,Maybe I should compare them as decimals first.,00:10:08
gswqlgh,77,tutor,Remember what we said about the denominator. What happens here?,00:10:16
gswqlgh,78,student,"I would divide it by 100, so the answer is 3.45.",00:10:24
gswqlgh,79,tutor,Uh-huh. And what would you do next?,00:10:32
gswqlgh,80,student,I think we need to make the bottom numbers the same before we add.,00:10:40
gswqlgh,81,tutor,Let's try a similar one. What is 30 times 4?,00:10:48
gswqlgh,82,student,"I would divide it by 100, so the answer is 3.45.",00:10:56
gswqlgh,83,tutor,Can you talk me through how you got that answer?,00:11:04
gswqlgh,84,student,Okay,00:11:12
gswqlgh,85,tutor,Uh-huh. And what would you do next?,00:11:20
