session_id,utterance_id,role,content,timestamp
ozqvwpp,0,background,[unclear],00:00:00
ozqvwpp,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
ozqvwpp,2,student,"Yes, I think so.",00:00:16
ozqvwpp,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
ozqvwpp,4,student,Maybe I should compare them as decimals first.,00:00:32
ozqvwpp,5,tutor,What do you notice about these two numbers?,00:00:40
ozqvwpp,6,student,No,00:00:48
ozqvwpp,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
ozqvwpp,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
ozqvwpp,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
ozqvwpp,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
ozqvwpp,11,tutor,What do you notice about these two numbers?,00:01:28
ozqvwpp,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
ozqvwpp,13,tutor,Can you talk me through how you got that answer?,00:01:44
ozqvwpp,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
ozqvwpp,15,tutor,Can you talk me through how you got that answer?,00:02:00
ozqvwpp,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
ozqvwpp,17,tutor,Can you talk me through how you got that answer?,00:02:16
ozqvwpp,18,student,Half?,00:02:24
ozqvwpp,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
ozqvwpp,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
ozqvwpp,21,tutor,Can you talk me through how you got that answer?,00:02:48
ozqvwpp,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
ozqvwpp,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
ozqvwpp,24,student,Maybe I should compare them as decimals first.,00:03:12
ozqvwpp,25,tutor,Uh-huh. And what would you do next?,00:03:20
ozqvwpp,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
ozqvwpp,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
ozqvwpp,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
ozqvwpp,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
ozqvwpp,30,student,75.,00:04:00
ozqvwpp,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
ozqvwpp,32,student,6?,00:04:16
ozqvwpp,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
ozqvwpp,34,student,Yes,00:04:32
ozqvwpp,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
ozqvwpp,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
ozqvwpp,37,tutor,Uh-huh. And what would you do next?,00:04:56
ozqvwpp,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
ozqvwpp,39,tutor,What do you notice about these two numbers?,00:05:12
ozqvwpp,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
ozqvwpp,41,tutor,Can you talk me through how you got that answer?,00:05:28
ozqvwpp,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
ozqvwpp,43,tutor,What do you notice about these two numbers?,00:05:44
ozqvwpp,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
ozqvwpp,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
ozqvwpp,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
ozqvwpp,47,tutor,Can you talk me through how you got that answer?,00:06:16
ozqvwpp,48,student,I'm not sure. Is it because 10 has one zero?,00:06:24
ozqvwpp,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
ozqvwpp,50,student,I'm not sure. Is it because 10 has one zero?,00:06:40
ozqvwpp,51,tutor,Let's try a similar one. What is 30 times 4?,00:06:48
ozqvwpp,52,student,"I would divide it by 100, so the answer is 3.45.",00:06:56
ozqvwpp,53,tutor,Uh-huh. And what would you do next?,00:07:04
ozqvwpp,54,student,Okay,00:07:12
ozqvwpp,55,tutor,Remember what we said about the denominator. What happens here?,00:07:20
ozqvwpp,56,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:28
ozqvwpp,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
ozqvwpp,58,student,Yes,00:07:44
ozqvwpp,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
ozqvwpp,60,student,I think we need to make the bottom numbers the same before we add.,00:08:00
ozqvwpp,61,tutor,Let's try a similar one. What is 30 times 4?,00:08:08
ozqvwpp,62,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:16
ozqvwpp,63,tutor,Remember what we said about the denominator. What happens here?,00:08:24
ozqvwpp,64,student,300?,00:08:32
ozqvwpp,65,tutor,What do you notice about these two numbers?,00:08:40
ozqvwpp,66,student,I think we need to make the bottom numbers the same before we add.,00:08:48
ozqvwpp,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
ozqvwpp,68,student,Yes,00:09:04
ozqvwpp,69,tutor,Remember what we said about the denominator. What happens here?,00:09:12
ozqvwpp,70,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:20
ozqvwpp,71,tutor,Remember what we said about the denominator. What happens here?,00:09:28
ozqvwpp,72,student,75.,00:09:36
ozqvwpp,73,tutor,Remember what we said about the denominator. What happens here?,00:09:44
ozqvwpp,74,student,I think we need to make the bottom numbers the same before we add.,00:09:52
ozqvwpp,75,tutor,Remember what we said about the denominator. What happens here?,00:10:00
ozqvwpp,76,student,Maybe I should compare them as decimals first.,00:10:08
ozqvwpp,77,tutor,Remember what we said about the denominator. What happens here?,00:10:16
ozqvwpp,78,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:24
ozqvwpp,79,tutor,Can you talk me through how you got that answer?,00:10:32
ozqvwpp,80,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:40
ozqvwpp,81,tutor,Remember what we said about the denominator. What happens here?,00:10:48
ozqvwpp,82,student,"I would divide it by 100, so the answer is 3.45.",00:10:56
ozqvwpp,83,tutor,Remember what we said about the denominator. What happens here?,00:11:04
ozqvwpp,84,student,I think we need to make the bottom numbers the same before we add.,00:11:12
ozqvwpp,85,tutor,What do you notice about these two numbers?,00:11:20
ozqvwpp,86,student,I think we need to make the bottom numbers the same before we add.,00:11:28
ozqvwpp,87,tutor,Can you talk me through how you got that answer?,00:11:36
ozqvwpp,88,student,Half?,00:11:44
ozqvwpp,89,tutor,Can you talk me through how you got that answer?,00:11:52
ozqvwpp,90,student,Okay,00:12:00
ozqvwpp,91,tutor,What do you notice about these two numbers?,00:12:08
ozqvwpp,92,student,6?,00:12:16
ozqvwpp,93,tutor,Let's try a similar one. What is 30 times 4?,00:12:24
ozqvwpp,94,student,I'm not sure. Is it because 10 has one zero?,00:12:32
ozqvwpp,95,tutor,Let's try a similar one. What is 30 times 4?,00:12:40
ozqvwpp,96,student,Maybe I should compare them as decimals first.,00:12:48
ozqvwpp,97,tutor,So let me ask you first. Do you know what a fact family is?,00:12:56
ozqvwpp,98,student,I think we need to make the bottom numbers the same before we add.,00:13:04
ozqvwpp,99,tutor,Uh-huh. And what would you do next?,00:13:12
ozqvwpp,100,student,I'm not sure. Is it because 10 has one zero?,00:13:20
