session_id,utterance_id,role,content,timestamp
lxqjlng,0,background,[unclear],00:00:00
lxqjlng,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
lxqjlng,2,student,"Yes, I think so.",00:00:16
lxqjlng,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
lxqjlng,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
lxqjlng,5,tutor,What do you notice about these two numbers?,00:00:40
lxqjlng,6,student,300?,00:00:48
lxqjlng,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
lxqjlng,8,student,Yes,00:01:04
lxqjlng,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
lxqjlng,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
lxqjlng,11,tutor,What do you notice about these two numbers?,00:01:28
lxqjlng,12,student,I think we need to make the bottom numbers the same before we add.,00:01:36
lxqjlng,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
lxqjlng,14,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:52
lxqjlng,15,tutor,What do you notice about these two numbers?,00:02:00
lxqjlng,16,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:08
lxqjlng,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
lxqjlng,18,student,Half?,00:02:24
lxqjlng,19,tutor,Can you talk me through how you got that answer?,00:02:32
lxqjlng,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
lxqjlng,21,tutor,Can you talk me through how you got that answer?,00:02:48
lxqjlng,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
lxqjlng,23,tutor,What do you notice about these two numbers?,00:03:04
lxqjlng,24,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:12
lxqjlng,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
lxqjlng,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
lxqjlng,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
lxqjlng,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
lxqjlng,29,tutor,Uh-huh. And what would you do next?,00:03:52
lxqjlng,30,student,Half?,00:04:00
lxqjlng,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
lxqjlng,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
lxqjlng,33,tutor,Can you talk me through how you got that answer?,00:04:24
lxqjlng,34,student,Yes,00:04:32
lxqjlng,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
lxqjlng,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
lxqjlng,37,tutor,Uh-huh. And what would you do next?,00:04:56
lxqjlng,38,student,Half?,00:05:04
lxqjlng,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
lxqjlng,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
lxqjlng,41,tutor,What do you notice about these two numbers?,00:05:28
lxqjlng,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
lxqjlng,43,tutor,Can you talk me through how you got that answer?,00:05:44
lxqjlng,44,student,6?,00:05:52
lxqjlng,45,tutor,Uh-huh. And what would you do next?,00:06:00
lxqjlng,46,student,"I would divide it by 100, so the answer is 3.45.",00:06:08
lxqjlng,47,tutor,Can you talk me through how you got that answer?,00:06:16
lxqjlng,48,student,Maybe I should compare them as decimals first.,00:06:24
lxqjlng,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
lxqjlng,50,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:40
lxqjlng,51,tutor,Remember what we said about the denominator. What happens here?,00:06:48
lxqjlng,52,student,I'm not sure. Is it because 10 has one zero?,00:06:56
lxqjlng,53,tutor,Can you talk me through how you got that answer?,00:07:04
lxqjlng,54,student,Okay,00:07:12
lxqjlng,55,tutor,What do you notice about these two numbers?,00:07:20
lxqjlng,56,student,75.,00:07:28
lxqjlng,57,tutor,What do you notice about these two numbers?,00:07:36
lxqjlng,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
lxqjlng,59,tutor,What do you notice about these two numbers?,00:07:52
lxqjlng,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
lxqjlng,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
lxqjlng,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
lxqjlng,63,tutor,Can you talk me through how you got that answer?,00:08:24
lxqjlng,64,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:32
lxqjlng,65,tutor,Uh-huh. And what would you do next?,00:08:40
lxqjlng,66,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:48
lxqjlng,67,tutor,"Good thinking. Now, is that answer reasonable?",00:08:56
lxqjlng,68,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:04
lxqjlng,69,tutor,Let's try a similar one. What is 30 times 4?,00:09:12
lxqjlng,70,student,I'm not sure. Is it because 10 has one zero?,00:09:20
lxqjlng,71,tutor,Uh-huh. And what would you do next?,00:09:28
lxqjlng,72,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:36
lxqjlng,73,tutor,So let me ask you first. Do you know what a fact family is?,00:09:44
lxqjlng,74,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:52
lxqjlng,75,tutor,What do you notice about these two numbers?,00:10:00
lxqjlng,76,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:08
lxqjlng,77,tutor,Uh-huh. And what would you do next?,00:10:16
lxqjlng,78,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:24
lxqjlng,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
lxqjlng,80,student,"I would divide it by 100, so the answer is 3.45.",00:10:40
lxqjlng,81,tutor,Can you talk me through how you got that answer?,00:10:48
lxqjlng,82,student,Yes,00:10:56
lxqjlng,83,tutor,"Good thinking. Now, is that answer reasonable?",00:11:04
lxqjlng,84,student,Maybe I should compare them as decimals first.,00:11:12
lxqjlng,85,tutor,Can you talk me through how you got that answer?,00:11:20
lxqjlng,86,student,12.,00:11:28
lxqjlng,87,tutor,What do you notice about these two numbers?,00:11:36
lxqjlng,88,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:44
lxqjlng,89,tutor,Remember what we said about the denominator. What happens here?,00:11:52
lxqjlng,90,student,"I would divide it by 100, so the answer is 3.45.",00:12:00
lxqjlng,91,tutor,"Good thinking. Now, is that answer reasonable?",00:12:08
lxqjlng,92,student,Maybe I should compare them as decimals first.,00:12:16
lxqjlng,93,tutor,Can you talk me through how you got that answer?,00:12:24
lxqjlng,94,student,I think we need to make the bottom numbers the same before we add.,00:12:32
lxqjlng,95,tutor,Let's try a similar one. What is 30 times 4?,00:12:40
lxqjlng,96,student,I think we need to make the bottom numbers the same before we add.,00:12:48
lxqjlng,97,tutor,Let's try a similar one. What is 30 times 4?,00:12:56
lxqjlng,98,student,I think we need to make the bottom numbers the same before we add.,00:13:04
lxqjlng,99,tutor,Remember what we said about the denominator. What happens here?,00:13:12
lxqjlng,100,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:20
lxqjlng,101,tutor,Let's try a similar one. What is 30 times 4?,00:13:28
lxqjlng,102,student,"I would divide it by 100, so the answer is 3.45.",00:13:36
lxqjlng,103,tutor,Uh-huh. And what would you do next?,00:13:44
lxqjlng,104,student,Yes,00:13:52
lxqjlng,105,tutor,Uh-huh. And what would you do next?,00:14:00
lxqjlng,106,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:08
lxqjlng,107,tutor,Remember what we said about the denominator. What happens here?,00:14:16
lxqjlng,108,student,"I would divide it by 100, so the answer is 3.45.",00:14:24
lxqjlng,109,tutor,"Good thinking. Now, is that answer reasonable?",00:14:32
lxqjlng,110,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:40
lxqjlng,111,tutor,"Good thinking. Now, is that answer reasonable?",00:14:48
lxqjlng,112,student,"I would divide it by 100, so the answer is 3.45.",00:14:56
lxqjlng,113,tutor,Remember what we said about the denominator. What happens here?,00:15:04
lxqjlng,114,student,I'm not sure. Is it because 10 has one zero?,00:15:12
lxqjlng,115,tutor,Can you talk me through how you got that answer?,00:15:20
lxqjlng,116,student,Maybe I should compare them as decimals first.,00:15:28
lxqjlng,117,tutor,So let me ask you first. Do you know what a fact family is?,00:15:36
lxqjlng,118,student,6?,00:15:44
