session_id,utterance_id,role,content,timestamp
lugsprv,0,background,[unclear],00:00:00
lugsprv,1,tutor,"Hello, are you ready to get started today?",00:00:08
lugsprv,2,student,"Yes, I think so.",00:00:16
lugsprv,3,tutor,What do you notice about these two numbers?,00:00:24
lugsprv,4,student,Is it 4?,00:00:32
lugsprv,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
lugsprv,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
lugsprv,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
lugsprv,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
lugsprv,9,tutor,What do you notice about these two numbers?,00:01:12
lugsprv,10,student,Maybe I should compare them as decimals first.,00:01:20
lugsprv,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
lugsprv,12,student,Maybe I should compare them as decimals first.,00:01:36
lugsprv,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
lugsprv,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
lugsprv,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
lugsprv,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
lugsprv,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
lugsprv,18,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:24
lugsprv,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
lugsprv,20,student,Okay,00:02:40
lugsprv,21,tutor,Can you talk me through how you got that answer?,00:02:48
lugsprv,22,student,I think we need to make the bottom numbers the same before we add.,00:02:56
lugsprv,23,tutor,What do you notice about these two numbers?,00:03:04
lugsprv,24,student,Yes,00:03:12
lugsprv,25,tutor,Uh-huh. And what would you do next?,00:03:20
lugsprv,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
lugsprv,27,tutor,Uh-huh. And what would you do next?,00:03:36
lugsprv,28,student,I'm not sure. Is it because 10 has one zero?,00:03:44
lugsprv,29,tutor,Uh-huh. And what would you do next?,00:03:52
lugsprv,30,student,Maybe I should compare them as decimals first.,00:04:00
lugsprv,31,tutor,Let's try a similar one. What is 30 times 4?,00:04:08
lugsprv,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
lugsprv,33,tutor,Can you talk me through how you got that answer?,00:04:24
lugsprv,34,student,6?,00:04:32
lugsprv,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
lugsprv,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
lugsprv,37,tutor,Uh-huh. And what would you do next?,00:04:56
lugsprv,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
lugsprv,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
lugsprv,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
lugsprv,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
lugsprv,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
lugsprv,43,tutor,Remember what we said about the denominator. What happens here?,00:05:44
lugsprv,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
