session_id,utterance_id,role,content,timestamp
xbhfzdv,0,background,[unclear],00:00:00
xbhfzdv,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
xbhfzdv,2,student,"Yes, I think so.",00:00:16
xbhfzdv,3,tutor,What do you notice about these two numbers?,00:00:24
xbhfzdv,4,student,12.,00:00:32
xbhfzdv,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
xbhfzdv,6,student,No,00:00:48
xbhfzdv,7,tutor,Can you talk me through how you got that answer?,00:00:56
xbhfzdv,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
xbhfzdv,9,tutor,Uh-huh. And what would you do next?,00:01:12
xbhfzdv,10,student,Is it 4?,00:01:20
xbhfzdv,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
xbhfzdv,12,student,Is it 4?,00:01:36
xbhfzdv,13,tutor,What do you notice about these two numbers?,00:01:44
xbhfzdv,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
xbhfzdv,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
xbhfzdv,16,student,Yes,00:02:08
xbhfzdv,17,tutor,What do you notice about these two numbers?,00:02:16
xbhfzdv,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
xbhfzdv,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
xbhfzdv,20,student,Yes,00:02:40
xbhfzdv,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
xbhfzdv,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
xbhfzdv,23,tutor,Uh-huh. And what would you do next?,00:03:04
xbhfzdv,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
xbhfzdv,25,tutor,What do you notice about these two numbers?,00:03:20
xbhfzdv,26,student,No,00:03:28
xbhfzdv,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
xbhfzdv,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
xbhfzdv,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
