session_id,utterance_id,role,content,timestamp
rzxctpc,0,background,[unclear],00:00:00
rzxctpc,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
rzxctpc,2,student,"Yes, I think so.",00:00:16
rzxctpc,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
rzxctpc,4,student,I'm not sure. Is it because 10 has one zero?,00:00:32
rzxctpc,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
rzxctpc,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
rzxctpc,7,tutor,What do you notice about these two numbers?,00:00:56
rzxctpc,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
rzxctpc,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
rzxctpc,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
rzxctpc,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
rzxctpc,12,student,12.,00:01:36
rzxctpc,13,tutor,Uh-huh. And what would you do next?,00:01:44
rzxctpc,14,student,6?,00:01:52
rzxctpc,15,tutor,Can you talk me through how you got that answer?,00:02:00
rzxctpc,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
rzxctpc,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
rzxctpc,18,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:24
rzxctpc,19,tutor,What do you notice about these two numbers?,00:02:32
rzxctpc,20,student,300?,00:02:40
rzxctpc,21,tutor,Uh-huh. And what would you do next?,00:02:48
rzxctpc,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
rzxctpc,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
rzxctpc,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
rzxctpc,25,tutor,Remember what we said about the denominator. What happens here?,00:03:20
rzxctpc,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
rzxctpc,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
rzxctpc,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
rzxctpc,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
rzxctpc,30,student,75.,00:04:00
rzxctpc,31,tutor,Can you talk me through how you got that answer?,00:04:08
rzxctpc,32,student,Okay,00:04:16
rzxctpc,33,tutor,Can you talk me through how you got that answer?,00:04:24
rzxctpc,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
rzxctpc,35,tutor,Can you talk me through how you got that answer?,00:04:40
rzxctpc,36,student,300?,00:04:48
rzxctpc,37,tutor,What do you notice about these two numbers?,00:04:56
rzxctpc,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
rzxctpc,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
rzxctpc,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
rzxctpc,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
rzxctpc,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
rzxctpc,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
rzxctpc,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
rzxctpc,45,tutor,What do you notice about these two numbers?,00:06:00
rzxctpc,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
rzxctpc,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
rzxctpc,48,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:24
rzxctpc,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
rzxctpc,50,student,75.,00:06:40
rzxctpc,51,tutor,"Good thinking. Now, is that answer reasonable?",00:06:48
rzxctpc,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
rzxctpc,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
rzxctpc,54,student,"I would divide it by 100, so the answer is 3.45.",00:07:12
rzxctpc,55,tutor,Uh-huh. And what would you do next?,00:07:20
rzxctpc,56,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:28
rzxctpc,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
rzxctpc,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
rzxctpc,59,tutor,"Good thinking. Now, is that answer reasonable?",00:07:52
rzxctpc,60,student,6?,00:08:00
rzxctpc,61,tutor,Remember what we said about the denominator. What happens here?,00:08:08
rzxctpc,62,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:16
rzxctpc,63,tutor,What do you notice about these two numbers?,00:08:24
rzxctpc,64,student,Okay,00:08:32
rzxctpc,65,tutor,So let me ask you first. Do you know what a fact family is?,00:08:40
rzxctpc,66,student,6?,00:08:48
rzxctpc,67,tutor,What do you notice about these two numbers?,00:08:56
rzxctpc,68,student,I think we need to make the bottom numbers the same before we add.,00:09:04
rzxctpc,69,tutor,"Good thinking. Now, is that answer reasonable?",00:09:12
rzxctpc,70,student,300?,00:09:20
rzxctpc,71,tutor,Uh-huh. And what would you do next?,00:09:28
rzxctpc,72,student,Maybe I should compare them as decimals first.,00:09:36
rzxctpc,73,tutor,Can you talk me through how you got that answer?,00:09:44
rzxctpc,74,student,Is it 4?,00:09:52
rzxctpc,75,tutor,Let's try a similar one. What is 30 times 4?,00:10:00
rzxctpc,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
rzxctpc,77,tutor,Uh-huh. And what would you do next?,00:10:16
rzxctpc,78,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:24
rzxctpc,79,tutor,"Good thinking. Now, is that answer reasonable?",00:10:32
