session_id,utterance_id,role,content,timestamp
nwwzdpc,0,background,[unclear],00:00:00
nwwzdpc,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
nwwzdpc,2,student,"Yes, I think so.",00:00:16
nwwzdpc,3,tutor,Uh-huh. And what would you do next?,00:00:24
nwwzdpc,4,student,No,00:00:32
nwwzdpc,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
nwwzdpc,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
nwwzdpc,7,tutor,What do you notice about these two numbers?,00:00:56
nwwzdpc,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
nwwzdpc,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
nwwzdpc,10,student,Maybe I should compare them as decimals first.,00:01:20
nwwzdpc,11,tutor,What do you notice about these two numbers?,00:01:28
nwwzdpc,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
nwwzdpc,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
nwwzdpc,14,student,12.,00:01:52
nwwzdpc,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
nwwzdpc,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
nwwzdpc,17,tutor,Uh-huh. And what would you do next?,00:02:16
nwwzdpc,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
nwwzdpc,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
nwwzdpc,20,student,12.,00:02:40
nwwzdpc,21,tutor,Uh-huh. And what would you do next?,00:02:48
nwwzdpc,22,student,Maybe I should compare them as decimals first.,00:02:56
nwwzdpc,23,tutor,What do you notice about these two numbers?,00:03:04
nwwzdpc,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
nwwzdpc,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
nwwzdpc,26,student,Maybe I should compare them as decimals first.,00:03:28
nwwzdpc,27,tutor,Uh-huh. And what would you do next?,00:03:36
nwwzdpc,28,student,Maybe I should compare them as decimals first.,00:03:44
nwwzdpc,29,tutor,Uh-huh. And what would you do next?,00:03:52
nwwzdpc,30,student,12.,00:04:00
nwwzdpc,31,tutor,Can you talk me through how you got that answer?,00:04:08
nwwzdpc,32,student,12.,00:04:16
nwwzdpc,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
nwwzdpc,34,student,I think we need to make the bottom numbers the same before we add.,00:04:32
nwwzdpc,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
nwwzdpc,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
nwwzdpc,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
nwwzdpc,38,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:04
nwwzdpc,39,tutor,Uh-huh. And what would you do next?,00:05:12
nwwzdpc,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
nwwzdpc,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
nwwzdpc,42,student,Maybe I should compare them as decimals first.,00:05:36
nwwzdpc,43,tutor,Can you talk me through how you got that answer?,00:05:44
nwwzdpc,44,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:52
nwwzdpc,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
nwwzdpc,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
nwwzdpc,47,tutor,Uh-huh. And what would you do next?,00:06:16
nwwzdpc,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
nwwzdpc,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
nwwzdpc,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
nwwzdpc,51,tutor,What do you notice about these two numbers?,00:06:48
nwwzdpc,52,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:56
nwwzdpc,53,tutor,What do you notice about these two numbers?,00:07:04
nwwzdpc,54,student,"I would divide it by 100, so the answer is 3.45.",00:07:12
nwwzdpc,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
nwwzdpc,56,student,I'm not sure. Is it because 10 has one zero?,00:07:28
nwwzdpc,57,tutor,Uh-huh. And what would you do next?,00:07:36
nwwzdpc,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
nwwzdpc,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
nwwzdpc,60,student,I think we need to make the bottom numbers the same before we add.,00:08:00
