session_id,utterance_id,role,content,timestamp
pahqetc,0,background,[unclear],00:00:00
pahqetc,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
pahqetc,2,student,"Yes, I think so.",00:00:16
pahqetc,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
pahqetc,4,student,Maybe I should compare them as decimals first.,00:00:32
pahqetc,5,tutor,What do you notice about these two numbers?,00:00:40
pahqetc,6,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:48
pahqetc,7,tutor,So let me ask you first. Do you know what a fact family is?,00:00:56
pahqetc,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
pahqetc,9,tutor,Uh-huh. And what would you do next?,00:01:12
pahqetc,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
pahqetc,11,tutor,What do you notice about these two numbers?,00:01:28
pahqetc,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
pahqetc,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
pahqetc,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
pahqetc,15,tutor,Uh-huh. And what would you do next?,00:02:00
pahqetc,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
pahqetc,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
pahqetc,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
pahqetc,19,tutor,Can you talk me through how you got that answer?,00:02:32
pahqetc,20,student,6?,00:02:40
pahqetc,21,tutor,Uh-huh. And what would you do next?,00:02:48
pahqetc,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
pahqetc,23,tutor,Uh-huh. And what would you do next?,00:03:04
pahqetc,24,student,6?,00:03:12
pahqetc,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
pahqetc,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
pahqetc,27,tutor,Uh-huh. And what would you do next?,00:03:36
pahqetc,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
pahqetc,29,tutor,Can you talk me through how you got that answer?,00:03:52
pahqetc,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
pahqetc,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
pahqetc,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
pahqetc,33,tutor,Can you talk me through how you got that answer?,00:04:24
pahqetc,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
pahqetc,35,tutor,Can you talk me through how you got that answer?,00:04:40
pahqetc,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
pahqetc,37,tutor,So let me ask you first. Do you know what a fact family is?,00:04:56
pahqetc,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
pahqetc,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
pahqetc,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
pahqetc,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
pahqetc,42,student,"I would divide it by 100, so the answer is 3.45.",00:05:36
pahqetc,43,tutor,Can you talk me through how you got that answer?,00:05:44
pahqetc,44,student,I'm not sure. Is it because 10 has one zero?,00:05:52
pahqetc,45,tutor,What do you notice about these two numbers?,00:06:00
pahqetc,46,student,"I would divide it by 100, so the answer is 3.45.",00:06:08
pahqetc,47,tutor,What do you notice about these two numbers?,00:06:16
pahqetc,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
pahqetc,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
pahqetc,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
pahqetc,51,tutor,Uh-huh. And what would you do next?,00:06:48
pahqetc,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
pahqetc,53,tutor,What do you notice about these two numbers?,00:07:04
pahqetc,54,student,I'm not sure. Is it because 10 has one zero?,00:07:12
pahqetc,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
pahqetc,56,student,"I would divide it by 100, so the answer is 3.45.",00:07:28
pahqetc,57,tutor,Let's try a similar one. What is 30 times 4?,00:07:36
pahqetc,58,student,Maybe I should compare them as decimals first.,00:07:44
pahqetc,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
pahqetc,60,student,300?,00:08:00
pahqetc,61,tutor,Uh-huh. And what would you do next?,00:08:08
pahqetc,62,student,Maybe I should compare them as decimals first.,00:08:16
pahqetc,63,tutor,Uh-huh. And what would you do next?,00:08:24
pahqetc,64,student,Maybe I should compare them as decimals first.,00:08:32
pahqetc,65,tutor,Let's try a similar one. What is 30 times 4?,00:08:40
pahqetc,66,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:48
pahqetc,67,tutor,What do you notice about these two numbers?,00:08:56
pahqetc,68,student,I'm not sure. Is it because 10 has one zero?,00:09:04
pahqetc,69,tutor,"Good thinking. Now, is that answer reasonable?",00:09:12
pahqetc,70,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:20
pahqetc,71,tutor,So let me ask you first. Do you know what a fact family is?,00:09:28
pahqetc,72,student,Maybe I should compare them as decimals first.,00:09:36
pahqetc,73,tutor,So let me ask you first. Do you know what a fact family is?,00:09:44
pahqetc,74,student,I think we need to make the bottom numbers the same before we add.,00:09:52
pahqetc,75,tutor,What do you notice about these two numbers?,00:10:00
pahqetc,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
pahqetc,77,tutor,What do you notice about these two numbers?,00:10:16
pahqetc,78,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:24
pahqetc,79,tutor,Let's try a similar one. What is 30 times 4?,00:10:32
pahqetc,80,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:40
pahqetc,81,tutor,"Good thinking. Now, is that answer reasonable?",00:10:48
pahqetc,82,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:56
pahqetc,83,tutor,Uh-huh. And what would you do next?,00:11:04
pahqetc,84,student,12.,00:11:12
pahqetc,85,tutor,Uh-huh. And what would you do next?,00:11:20
pahqetc,86,student,I think we need to make the bottom numbers the same before we add.,00:11:28
pahqetc,87,tutor,"Good thinking. Now, is that answer reasonable?",00:11:36
pahqetc,88,student,No,00:11:44
pahqetc,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
pahqetc,90,student,Maybe I should compare them as decimals first.,00:12:00
pahqetc,91,tutor,So let me ask you first. Do you know what a fact family is?,00:12:08
pahqetc,92,student,I'm not sure. Is it because 10 has one zero?,00:12:16
pahqetc,93,tutor,"Good thinking. Now, is that answer reasonable?",00:12:24
pahqetc,94,student,6?,00:12:32
pahqetc,95,tutor,Remember what we said about the denominator. What happens here?,00:12:40
pahqetc,96,student,300?,00:12:48
pahqetc,97,tutor,Let's try a similar one. What is 30 times 4?,00:12:56
pahqetc,98,student,Maybe I should compare them as decimals first.,00:13:04
pahqetc,99,tutor,Can you talk me through how you got that answer?,00:13:12
pahqetc,100,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:20
pahqetc,101,tutor,"Good thinking. Now, is that answer reasonable?",00:13:28
pahqetc,102,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:36
pahqetc,103,tutor,So let me ask you first. Do you know what a fact family is?,00:13:44
pahqetc,104,student,Maybe I should compare them as decimals first.,00:13:52
pahqetc,105,tutor,Uh-huh. And what would you do next?,00:14:00
pahqetc,106,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:08
pahqetc,107,tutor,So let me ask you first. Do you know what a fact family is?,00:14:16
pahqetc,108,student,"I would divide it by 100, so the answer is 3.45.",00:14:24
pahqetc,109,tutor,Remember what we said about the denominator. What happens here?,00:14:32
pahqetc,110,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:40
pahqetc,111,tutor,Uh-huh. And what would you do next?,00:14:48
pahqetc,112,student,I'm not sure. Is it because 10 has one zero?,00:14:56
pahqetc,113,tutor,Remember what we said about the denominator. What happens here?,00:15:04
pahqetc,114,student,Maybe I should compare them as decimals first.,00:15:12
pahqetc,115,tutor,So let me ask you first. Do you know what a fact family is?,00:15:20
pahqetc,116,student,Maybe I should compare them as decimals first.,00:15:28
pahqetc,117,tutor,"Good thinking. Now, is that answer reasonable?",00:15:36
pahqetc,118,student,I'm not sure. Is it because 10 has one zero?,00:15:44
pahqetc,119,tutor,Let's try a similar one. What is 30 times 4?,00:15:52
pahqetc,120,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:00
pahqetc,121,tutor,So let me ask you first. Do you know what a fact family is?,00:16:08
pahqetc,122,student,I think we need to make the bottom numbers the same before we add.,00:16:16
pahqetc,123,tutor,So let me ask you first. Do you know what a fact family is?,00:16:24
pahqetc,124,student,Maybe I should compare them as decimals first.,00:16:32
pahqetc,125,tutor,"Good thinking. Now, is that answer reasonable?",00:16:40
pahqetc,126,student,I think we need to make the bottom numbers the same before we add.,00:16:48
pahqetc,127,tutor,"Good thinking. Now, is that answer reasonable?",00:16:56
pahqetc,128,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:04
pahqetc,129,tutor,Uh-huh. And what would you do next?,00:17:12
pahqetc,130,student,I'm not sure. Is it because 10 has one zero?,00:17:20
pahqetc,131,tutor,Uh-huh. And what would you do next?,00:17:28
pahqetc,132,student,"I would divide it by 100, so the answer is 3.45.",00:17:36
pahqetc,133,tutor,What do you notice about these two numbers?,00:17:44
pahqetc,134,student,I think we need to make the bottom numbers the same before we add.,00:17:52
pahqetc,135,tutor,So let me ask you first. Do you know what a fact family is?,00:18:00
pahqetc,136,student,"I would divide it by 100, so the answer is 3.45.",00:18:08
pahqetc,137,tutor,What do you notice about these two numbers?,00:18:16
pahqetc,138,student,I think we need to make the bottom numbers the same before we add.,00:18:24
pahqetc,139,tutor,Uh-huh. And what would you do next?,00:18:32
pahqetc,140,student,I think we need to make the bottom numbers the same before we add.,00:18:40
pahqetc,141,tutor,Let's try a similar one. What is 30 times 4?,00:18:48
pahqetc,142,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:56
pahqetc,143,tutor,Remember what we said about the denominator. What happens here?,00:19:04
pahqetc,144,student,6?,00:19:12
pahqetc,145,tutor,Remember what we said about the denominator. What happens here?,00:19:20
pahqetc,146,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:19:28
pahqetc,147,tutor,Can you talk me through how you got that answer?,00:19:36
pahqetc,148,student,75.,00:19:44
pahqetc,149,tutor,"Good thinking. Now, is that answer reasonable?",00:19:52
pahqetc,150,student,I'm not sure. Is it because 10 has one zero?,00:20:00
pahqetc,151,tutor,What do you notice about these two numbers?,00:20:08
pahqetc,152,student,I'm not sure. Is it because 10 has one zero?,00:20:16
pahqetc,153,tutor,So let me ask you first. Do you know what a fact family is?,00:20:24
pahqetc,154,student,"I would divide it by 100, so the answer is 3.45.",00:20:32
pahqetc,155,tutor,What do you notice about these two numbers?,00:20:40
pahqetc,156,student,I'm not sure. Is it because 10 has one zero?,00:20:48
pahqetc,157,tutor,Can you talk me through how you got that answer?,00:20:56
pahqetc,158,student,300?,00:21:04
pahqetc,159,tutor,So let me ask you first. Do you know what a fact family is?,00:21:12
pahqetc,160,student,Maybe I should compare them as decimals first.,00:21:20
pahqetc,161,tutor,Uh-huh. And what would you do next?,00:21:28
pahqetc,162,student,I think we need to make the bottom numbers the same before we add.,00:21:36
pahqetc,163,tutor,So let me ask you first. Do you know what a fact family is?,00:21:44
pahqetc,164,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:21:52
pahqetc,165,tutor,Remember what we said about the denominator. What happens here?,00:22:00
pahqetc,166,student,I think we need to make the bottom numbers the same before we add.,00:22:08
pahqetc,167,tutor,So let me ask you first. Do you know what a fact family is?,00:22:16
pahqetc,168,student,I think we need to make the bottom numbers the same before we add.,00:22:24
pahqetc,169,tutor,Remember what we said about the denominator. What happens here?,00:22:32
pahqetc,170,student,6?,00:22:40
pahqetc,171,tutor,Can you talk me through how you got that answer?,00:22:48
pahqetc,172,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:22:56
