session_id,utterance_id,role,content,timestamp
jtpyvbw,0,background,[unclear],00:00:00
jtpyvbw,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
jtpyvbw,2,student,"Yes, I think so.",00:00:16
jtpyvbw,3,tutor,Uh-huh. And what would you do next?,00:00:24
jtpyvbw,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
jtpyvbw,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
jtpyvbw,6,student,6?,00:00:48
jtpyvbw,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
jtpyvbw,8,student,Maybe I should compare them as decimals first.,00:01:04
jtpyvbw,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
jtpyvbw,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
jtpyvbw,11,tutor,Let's try a similar one. What is 30 times 4?,00:01:28
jtpyvbw,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
jtpyvbw,13,tutor,Can you talk me through how you got that answer?,00:01:44
jtpyvbw,14,student,Okay,00:01:52
jtpyvbw,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
jtpyvbw,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
jtpyvbw,17,tutor,Can you talk me through how you got that answer?,00:02:16
jtpyvbw,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
jtpyvbw,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
jtpyvbw,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
jtpyvbw,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
jtpyvbw,22,student,Is it 4?,00:02:56
jtpyvbw,23,tutor,"Good thinking. Now, is that answer reasonable?",00:03:04
jtpyvbw,24,student,Maybe I should compare them as decimals first.,00:03:12
jtpyvbw,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
jtpyvbw,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
jtpyvbw,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
jtpyvbw,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
jtpyvbw,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
jtpyvbw,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
jtpyvbw,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
jtpyvbw,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
jtpyvbw,33,tutor,Uh-huh. And what would you do next?,00:04:24
jtpyvbw,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
jtpyvbw,35,tutor,Uh-huh. And what would you do next?,00:04:40
jtpyvbw,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
jtpyvbw,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
jtpyvbw,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
jtpyvbw,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
jtpyvbw,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
jtpyvbw,41,tutor,Uh-huh. And what would you do next?,00:05:28
jtpyvbw,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
jtpyvbw,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
jtpyvbw,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
jtpyvbw,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
jtpyvbw,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
jtpyvbw,47,tutor,Uh-huh. And what would you do next?,00:06:16
