session_id,utterance_id,role,content,timestamp
obfwikp,0,background,[unclear],00:00:00
obfwikp,1,tutor,"Hello, are you ready to get started today?",00:00:08
obfwikp,2,student,"Yes, I think so.",00:00:16
obfwikp,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
obfwikp,4,student,Okay,00:00:32
obfwikp,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
obfwikp,6,student,Is it 4?,00:00:48
obfwikp,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
obfwikp,8,student,Maybe I should compare them as decimals first.,00:01:04
obfwikp,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
obfwikp,10,student,Half?,00:01:20
obfwikp,11,tutor,Can you talk me through how you got that answer?,00:01:28
obfwikp,12,student,75.,00:01:36
obfwikp,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
obfwikp,14,student,Maybe I should compare them as decimals first.,00:01:52
obfwikp,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
obfwikp,16,student,Yes,00:02:08
obfwikp,17,tutor,"Good thinking. Now, is that answer reasonable?",00:02:16
obfwikp,18,student,Okay,00:02:24
obfwikp,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
obfwikp,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
obfwikp,21,tutor,What do you notice about these two numbers?,00:02:48
obfwikp,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
obfwikp,23,tutor,Uh-huh. And what would you do next?,00:03:04
obfwikp,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
obfwikp,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
obfwikp,26,student,Okay,00:03:28
obfwikp,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
obfwikp,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
obfwikp,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
obfwikp,30,student,6?,00:04:00
obfwikp,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
obfwikp,32,student,No,00:04:16
obfwikp,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
obfwikp,34,student,Maybe I should compare them as decimals first.,00:04:32
obfwikp,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
obfwikp,36,student,Is it 4?,00:04:48
obfwikp,37,tutor,Uh-huh. And what would you do next?,00:04:56
obfwikp,38,student,Yes,00:05:04
obfwikp,39,tutor,Let's try a similar one. What is 30 times 4?,00:05:12
obfwikp,40,student,Is it 4?,00:05:20
obfwikp,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
obfwikp,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
obfwikp,43,tutor,Can you talk me through how you got that answer?,00:05:44
obfwikp,44,student,Half?,00:05:52
obfwikp,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
obfwikp,46,student,Maybe I should compare them as decimals first.,00:06:08
obfwikp,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
obfwikp,48,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:24
obfwikp,49,tutor,"Good thinking. Now, is that answer reasonable?",00:06:32
obfwikp,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
obfwikp,51,tutor,Remember what we said about the denominator. What happens here?,00:06:48
obfwikp,52,student,12.,00:06:56
obfwikp,53,tutor,What do you notice about these two numbers?,00:07:04
obfwikp,54,student,I think we need to make the bottom numbers the same before we add.,00:07:12
obfwikp,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
obfwikp,56,student,I'm not sure. Is it because 10 has one zero?,00:07:28
obfwikp,57,tutor,What do you notice about these two numbers?,00:07:36
obfwikp,58,student,No,00:07:44
obfwikp,59,tutor,What do you notice about these two numbers?,00:07:52
