session_id,utterance_id,role,content,timestamp
jnbtmln,0,background,[unclear],00:00:00
jnbtmln,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
jnbtmln,2,student,"Yes, I think so.",00:00:16
jnbtmln,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
jnbtmln,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
jnbtmln,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
jnbtmln,6,student,I'm not sure. Is it because 10 has one zero?,00:00:48
jnbtmln,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
jnbtmln,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
jnbtmln,9,tutor,Remember what we said about the denominator. What happens here?,00:01:12
jnbtmln,10,student,"I would divide it by 100, so the answer is 3.45.",00:01:20
jnbtmln,11,tutor,Can you talk me through how you got that answer?,00:01:28
jnbtmln,12,student,Half?,00:01:36
jnbtmln,13,tutor,Uh-huh. And what would you do next?,00:01:44
jnbtmln,14,student,I think we need to make the bottom numbers the same before we add.,00:01:52
jnbtmln,15,tutor,Can you talk me through how you got that answer?,00:02:00
jnbtmln,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
jnbtmln,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
jnbtmln,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
jnbtmln,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
jnbtmln,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
jnbtmln,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
jnbtmln,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
jnbtmln,23,tutor,Can you talk me through how you got that answer?,00:03:04
jnbtmln,24,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:12
jnbtmln,25,tutor,Uh-huh. And what would you do next?,00:03:20
jnbtmln,26,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:28
jnbtmln,27,tutor,Uh-huh. And what would you do next?,00:03:36
jnbtmln,28,student,Is it 4?,00:03:44
jnbtmln,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
jnbtmln,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
jnbtmln,31,tutor,Uh-huh. And what would you do next?,00:04:08
jnbtmln,32,student,I think we need to make the bottom numbers the same before we add.,00:04:16
jnbtmln,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
jnbtmln,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
jnbtmln,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
jnbtmln,36,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:48
jnbtmln,37,tutor,Uh-huh. And what would you do next?,00:04:56
jnbtmln,38,student,No,00:05:04
jnbtmln,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
jnbtmln,40,student,Maybe I should compare them as decimals first.,00:05:20
jnbtmln,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
jnbtmln,42,student,Okay,00:05:36
jnbtmln,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
jnbtmln,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
jnbtmln,45,tutor,Uh-huh. And what would you do next?,00:06:00
jnbtmln,46,student,"I would divide it by 100, so the answer is 3.45.",00:06:08
jnbtmln,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
jnbtmln,48,student,Maybe I should compare them as decimals first.,00:06:24
jnbtmln,49,tutor,Uh-huh. And what would you do next?,00:06:32
jnbtmln,50,student,I think we need to make the bottom numbers the same before we add.,00:06:40
jnbtmln,51,tutor,Uh-huh. And what would you do next?,00:06:48
jnbtmln,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
jnbtmln,53,tutor,Uh-huh. And what would you do next?,00:07:04
jnbtmln,54,student,Maybe I should compare them as decimals first.,00:07:12
jnbtmln,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
jnbtmln,56,student,I'm not sure. Is it because 10 has one zero?,00:07:28
jnbtmln,57,tutor,What do you notice about these two numbers?,00:07:36
jnbtmln,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
jnbtmln,59,tutor,What do you notice about these two numbers?,00:07:52
jnbtmln,60,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:00
jnbtmln,61,tutor,Let's try a similar one. What is 30 times 4?,00:08:08
jnbtmln,62,student,"I would divide it by 100, so the answer is 3.45.",00:08:16
jnbtmln,63,tutor,Can you talk me through how you got that answer?,00:08:24
jnbtmln,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
jnbtmln,65,tutor,Remember what we said about the denominator. What happens here?,00:08:40
jnbtmln,66,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:48
jnbtmln,67,tutor,Remember what we said about the denominator. What happens here?,00:08:56
jnbtmln,68,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:04
jnbtmln,69,tutor,Let's try a similar one. What is 30 times 4?,00:09:12
jnbtmln,70,student,Maybe I should compare them as decimals first.,00:09:20
jnbtmln,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
jnbtmln,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
jnbtmln,73,tutor,Can you talk me through how you got that answer?,00:09:44
jnbtmln,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
jnbtmln,75,tutor,What do you notice about these two numbers?,00:10:00
jnbtmln,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
jnbtmln,77,tutor,Uh-huh. And what would you do next?,00:10:16
jnbtmln,78,student,Maybe I should compare them as decimals first.,00:10:24
jnbtmln,79,tutor,Uh-huh. And what would you do next?,00:10:32
jnbtmln,80,student,I'm not sure. Is it because 10 has one zero?,00:10:40
jnbtmln,81,tutor,What do you notice about these two numbers?,00:10:48
jnbtmln,82,student,"I would divide it by 100, so the answer is 3.45.",00:10:56
jnbtmln,83,tutor,So let me ask you first. Do you know what a fact family is?,00:11:04
jnbtmln,84,student,Maybe I should compare them as decimals first.,00:11:12
jnbtmln,85,tutor,So let me ask you first. Do you know what a fact family is?,00:11:20
jnbtmln,86,student,Maybe I should compare them as decimals first.,00:11:28
jnbtmln,87,tutor,Remember what we said about the denominator. What happens here?,00:11:36
jnbtmln,88,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:44
jnbtmln,89,tutor,Uh-huh. And what would you do next?,00:11:52
jnbtmln,90,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:00
jnbtmln,91,tutor,Remember what we said about the denominator. What happens here?,00:12:08
jnbtmln,92,student,I think we need to make the bottom numbers the same before we add.,00:12:16
jnbtmln,93,tutor,So let me ask you first. Do you know what a fact family is?,00:12:24
jnbtmln,94,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:32
jnbtmln,95,tutor,"Good thinking. Now, is that answer reasonable?",00:12:40
jnbtmln,96,student,Maybe I should compare them as decimals first.,00:12:48
jnbtmln,97,tutor,Remember what we said about the denominator. What happens here?,00:12:56
jnbtmln,98,student,I'm not sure. Is it because 10 has one zero?,00:13:04
jnbtmln,99,tutor,What do you notice about these two numbers?,00:13:12
