session_id,utterance_id,role,content,timestamp
ruvqtkq,0,background,[unclear],00:00:00
ruvqtkq,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
ruvqtkq,2,student,"Yes, I think so.",00:00:16
ruvqtkq,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
ruvqtkq,4,student,Maybe I should compare them as decimals first.,00:00:32
ruvqtkq,5,tutor,Can you talk me through how you got that answer?,00:00:40
ruvqtkq,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
ruvqtkq,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
ruvqtkq,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
ruvqtkq,9,tutor,Can you talk me through how you got that answer?,00:01:12
ruvqtkq,10,student,75.,00:01:20
ruvqtkq,11,tutor,Uh-huh. And what would you do next?,00:01:28
ruvqtkq,12,student,Is it 4?,00:01:36
ruvqtkq,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
ruvqtkq,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
ruvqtkq,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
ruvqtkq,16,student,"I would divide it by 100, so the answer is 3.45.",00:02:08
ruvqtkq,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
ruvqtkq,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
ruvqtkq,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
ruvqtkq,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
ruvqtkq,21,tutor,Uh-huh. And what would you do next?,00:02:48
ruvqtkq,22,student,6?,00:02:56
ruvqtkq,23,tutor,What do you notice about these two numbers?,00:03:04
ruvqtkq,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
ruvqtkq,25,tutor,So let me ask you first. Do you know what a fact family is?,00:03:20
ruvqtkq,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
ruvqtkq,27,tutor,Can you talk me through how you got that answer?,00:03:36
ruvqtkq,28,student,Maybe I should compare them as decimals first.,00:03:44
ruvqtkq,29,tutor,What do you notice about these two numbers?,00:03:52
ruvqtkq,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
ruvqtkq,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
ruvqtkq,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
ruvqtkq,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
ruvqtkq,34,student,"I would divide it by 100, so the answer is 3.45.",00:04:32
ruvqtkq,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
ruvqtkq,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
ruvqtkq,37,tutor,Can you talk me through how you got that answer?,00:04:56
ruvqtkq,38,student,No,00:05:04
ruvqtkq,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
ruvqtkq,40,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:05:20
ruvqtkq,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
ruvqtkq,42,student,Maybe I should compare them as decimals first.,00:05:36
ruvqtkq,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
ruvqtkq,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
ruvqtkq,45,tutor,Let's try a similar one. What is 30 times 4?,00:06:00
ruvqtkq,46,student,Is it 4?,00:06:08
ruvqtkq,47,tutor,What do you notice about these two numbers?,00:06:16
ruvqtkq,48,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:24
ruvqtkq,49,tutor,Uh-huh. And what would you do next?,00:06:32
ruvqtkq,50,student,Yes,00:06:40
ruvqtkq,51,tutor,Remember what we said about the denominator. What happens here?,00:06:48
