session_id,utterance_id,role,content,timestamp
folkvza,0,background,[unclear],00:00:00
folkvza,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
folkvza,2,student,"Yes, I think so.",00:00:16
folkvza,3,tutor,What do you notice about these two numbers?,00:00:24
folkvza,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
folkvza,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
folkvza,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
folkvza,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
folkvza,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
folkvza,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
folkvza,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
folkvza,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
folkvza,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
folkvza,13,tutor,Can you talk me through how you got that answer?,00:01:44
folkvza,14,student,Okay,00:01:52
folkvza,15,tutor,Uh-huh. And what would you do next?,00:02:00
folkvza,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
folkvza,17,tutor,Let's try a similar one. What is 30 times 4?,00:02:16
folkvza,18,student,Okay,00:02:24
folkvza,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
folkvza,20,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:40
folkvza,21,tutor,What do you notice about these two numbers?,00:02:48
folkvza,22,student,Yes,00:02:56
folkvza,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
folkvza,24,student,Maybe I should compare them as decimals first.,00:03:12
folkvza,25,tutor,Uh-huh. And what would you do next?,00:03:20
folkvza,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
folkvza,27,tutor,Can you talk me through how you got that answer?,00:03:36
folkvza,28,student,300?,00:03:44
folkvza,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
folkvza,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
folkvza,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
folkvza,32,student,I'm not sure. Is it because 10 has one zero?,00:04:16
folkvza,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
folkvza,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
folkvza,35,tutor,What do you notice about these two numbers?,00:04:40
folkvza,36,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:48
folkvza,37,tutor,What do you notice about these two numbers?,00:04:56
folkvza,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
folkvza,39,tutor,Uh-huh. And what would you do next?,00:05:12
folkvza,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
folkvza,41,tutor,Uh-huh. And what would you do next?,00:05:28
folkvza,42,student,Is it 4?,00:05:36
folkvza,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
folkvza,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
folkvza,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
folkvza,46,student,Maybe I should compare them as decimals first.,00:06:08
folkvza,47,tutor,What do you notice about these two numbers?,00:06:16
folkvza,48,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:24
folkvza,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
folkvza,50,student,I'm not sure. Is it because 10 has one zero?,00:06:40
folkvza,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
folkvza,52,student,300?,00:06:56
folkvza,53,tutor,Uh-huh. And what would you do next?,00:07:04
folkvza,54,student,6?,00:07:12
folkvza,55,tutor,Uh-huh. And what would you do next?,00:07:20
folkvza,56,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:28
folkvza,57,tutor,What do you notice about these two numbers?,00:07:36
folkvza,58,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:44
folkvza,59,tutor,Can you talk me through how you got that answer?,00:07:52
folkvza,60,student,I'm not sure. Is it because 10 has one zero?,00:08:00
folkvza,61,tutor,Uh-huh. And what would you do next?,00:08:08
folkvza,62,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:16
folkvza,63,tutor,Let's try a similar one. What is 30 times 4?,00:08:24
folkvza,64,student,I think we need to make the bottom numbers the same before we add.,00:08:32
folkvza,65,tutor,Remember what we said about the denominator. What happens here?,00:08:40
folkvza,66,student,No,00:08:48
folkvza,67,tutor,Let's try a similar one. What is 30 times 4?,00:08:56
folkvza,68,student,Is it 4?,00:09:04
folkvza,69,tutor,Remember what we said about the denominator. What happens here?,00:09:12
folkvza,70,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:20
folkvza,71,tutor,So let me ask you first. Do you know what a fact family is?,00:09:28
folkvza,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
folkvza,73,tutor,Can you talk me through how you got that answer?,00:09:44
folkvza,74,student,12.,00:09:52
folkvza,75,tutor,What do you notice about these two numbers?,00:10:00
folkvza,76,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:08
folkvza,77,tutor,So let me ask you first. Do you know what a fact family is?,00:10:16
folkvza,78,student,I'm not sure. Is it because 10 has one zero?,00:10:24
folkvza,79,tutor,Remember what we said about the denominator. What happens here?,00:10:32
folkvza,80,student,"I would divide it by 100, so the answer is 3.45.",00:10:40
folkvza,81,tutor,Uh-huh. And what would you do next?,00:10:48
folkvza,82,student,"I would divide it by 100, so the answer is 3.45.",00:10:56
folkvza,83,tutor,Let's try a similar one. What is 30 times 4?,00:11:04
folkvza,84,student,I'm not sure. Is it because 10 has one zero?,00:11:12
folkvza,85,tutor,Let's try a similar one. What is 30 times 4?,00:11:20
folkvza,86,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:28
folkvza,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
folkvza,88,student,Is it 4?,00:11:44
folkvza,89,tutor,"Good thinking. Now, is that answer reasonable?",00:11:52
folkvza,90,student,Is it 4?,00:12:00
folkvza,91,tutor,Uh-huh. And what would you do next?,00:12:08
folkvza,92,student,75.,00:12:16
folkvza,93,tutor,Can you talk me through how you got that answer?,00:12:24
folkvza,94,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:32
folkvza,95,tutor,What do you notice about these two numbers?,00:12:40
folkvza,96,student,I think we need to make the bottom numbers the same before we add.,00:12:48
folkvza,97,tutor,Can you talk me through how you got that answer?,00:12:56
folkvza,98,student,Okay,00:13:04
folkvza,99,tutor,Can you talk me through how you got that answer?,00:13:12
folkvza,100,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:20
folkvza,101,tutor,Let's try a similar one. What is 30 times 4?,00:13:28
folkvza,102,student,I'm not sure. Is it because 10 has one zero?,00:13:36
folkvza,103,tutor,What do you notice about these two numbers?,00:13:44
folkvza,104,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:13:52
folkvza,105,tutor,Let's try a similar one. What is 30 times 4?,00:14:00
folkvza,106,student,"I would divide it by 100, so the answer is 3.45.",00:14:08
folkvza,107,tutor,Let's try a similar one. What is 30 times 4?,00:14:16
folkvza,108,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:24
folkvza,109,tutor,So let me ask you first. Do you know what a fact family is?,00:14:32
folkvza,110,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:40
folkvza,111,tutor,So let me ask you first. Do you know what a fact family is?,00:14:48
folkvza,112,student,"I would divide it by 100, so the answer is 3.45.",00:14:56
folkvza,113,tutor,So let me ask you first. Do you know what a fact family is?,00:15:04
folkvza,114,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:15:12
folkvza,115,tutor,Uh-huh. And what would you do next?,00:15:20
folkvza,116,student,I think we need to make the bottom numbers the same before we add.,00:15:28
folkvza,117,tutor,Let's try a similar one. What is 30 times 4?,00:15:36
folkvza,118,student,"I would divide it by 100, so the answer is 3.45.",00:15:44
folkvza,119,tutor,Uh-huh. And what would you do next?,00:15:52
folkvza,120,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:00
folkvza,121,tutor,"Good thinking. Now, is that answer reasonable?",00:16:08
folkvza,122,student,No,00:16:16
folkvza,123,tutor,Let's try a similar one. What is 30 times 4?,00:16:24
folkvza,124,student,"I would divide it by 100, so the answer is 3.45.",00:16:32
folkvza,125,tutor,Can you talk me through how you got that answer?,00:16:40
folkvza,126,student,"I would divide it by 100, so the answer is 3.45.",00:16:48
folkvza,127,tutor,So let me ask you first. Do you know what a fact family is?,00:16:56
folkvza,128,student,I'm not sure. Is it because 10 has one zero?,00:17:04
folkvza,129,tutor,What do you notice about these two numbers?,00:17:12
folkvza,130,student,I think we need to make the bottom numbers the same before we add.,00:17:20
folkvza,131,tutor,Can you talk me through how you got that answer?,00:17:28
folkvza,132,student,6?,00:17:36
folkvza,133,tutor,Can you talk me through how you got that answer?,00:17:44
folkvza,134,student,"I would divide it by 100, so the answer is 3.45.",00:17:52
folkvza,135,tutor,Uh-huh. And what would you do next?,00:18:00
folkvza,136,student,I think we need to make the bottom numbers the same before we add.,00:18:08
folkvza,137,tutor,Can you talk me through how you got that answer?,00:18:16
folkvza,138,student,I think we need to make the bottom numbers the same before we add.,00:18:24
folkvza,139,tutor,What do you notice about these two numbers?,00:18:32
folkvza,140,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:18:40
folkvza,141,tutor,Let's try a similar one. What is 30 times 4?,00:18:48
folkvza,142,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:18:56
folkvza,143,tutor,Let's try a similar one. What is 30 times 4?,00:19:04
folkvza,144,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:19:12
folkvza,145,tutor,Let's try a similar one. What is 30 times 4?,00:19:20
folkvza,146,student,Yes,00:19:28
folkvza,147,tutor,Uh-huh. And what would you do next?,00:19:36
folkvza,148,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:19:44
folkvza,149,tutor,Let's try a similar one. What is 30 times 4?,00:19:52
folkvza,150,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:20:00
folkvza,151,tutor,Remember what we said about the denominator. What happens here?,00:20:08
folkvza,152,student,Maybe I should compare them as decimals first.,00:20:16
folkvza,153,tutor,What do you notice about these two numbers?,00:20:24
folkvza,154,student,Maybe I should compare them as decimals first.,00:20:32
folkvza,155,tutor,What do you notice about these two numbers?,00:20:40
folkvza,156,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:20:48
folkvza,157,tutor,So let me ask you first. Do you know what a fact family is?,00:20:56
folkvza,158,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:21:04
folkvza,159,tutor,Can you talk me through how you got that answer?,00:21:12
folkvza,160,student,Maybe I should compare them as decimals first.,00:21:20
folkvza,161,tutor,"Good thinking. Now, is that answer reasonable?",00:21:28
folkvza,162,student,"I would divide it by 100, so the answer is 3.45.",00:21:36
folkvza,163,tutor,So let me ask you first. Do you know what a fact family is?,00:21:44
folkvza,164,student,I'm not sure. Is it because 10 has one zero?,00:21:52
folkvza,165,tutor,Uh-huh. And what would you do next?,00:22:00
folkvza,166,student,I'm not sure. Is it because 10 has one zero?,00:22:08
folkvza,167,tutor,Let's try a similar one. What is 30 times 4?,00:22:16
folkvza,168,student,Maybe I should compare them as decimals first.,00:22:24
folkvza,169,tutor,So let me ask you first. Do you know what a fact family is?,00:22:32
folkvza,170,student,"I would divide it by 100, so the answer is 3.45.",00:22:40
folkvza,171,tutor,"Good thinking. Now, is that answer reasonable?",00:22:48
folkvza,172,student,"I would divide it by 100, so the answer is 3.45.",00:22:56
folkvza,173,tutor,Let's try a similar one. What is 30 times 4?,00:23:04
folkvza,174,student,"I would divide it by 100, so the answer is 3.45.",00:23:12
folkvza,175,tutor,"Good thinking. Now, is that answer reasonable?",00:23:20
folkvza,176,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:23:28
folkvza,177,tutor,"Good thinking. Now, is that answer reasonable?",00:23:36
folkvza,178,student,"I would divide it by 100, so the answer is 3.45.",00:23:44
folkvza,179,tutor,Uh-huh. And what would you do next?,00:23:52
folkvza,180,student,Yes,00:24:00
folkvza,181,tutor,Remember what we said about the denominator. What happens here?,00:24:08
folkvza,182,student,Half?,00:24:16
folkvza,183,tutor,So let me ask you first. Do you know what a fact family is?,00:24:24
folkvza,184,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:24:32
folkvza,185,tutor,What do you notice about these two numbers?,00:24:40
folkvza,186,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:24:48
folkvza,187,tutor,What do you notice about these two numbers?,00:24:56
folkvza,188,student,Half?,00:25:04
folkvza,189,tutor,"Good thinking. Now, is that answer reasonable?",00:25:12
folkvza,190,student,Okay,00:25:20
folkvza,191,tutor,Let's try a similar one. What is 30 times 4?,00:25:28
folkvza,192,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:25:36
folkvza,193,tutor,Uh-huh. And what would you do next?,00:25:44
folkvza,194,student,I think we need to make the bottom numbers the same before we add.,00:25:52
folkvza,195,tutor,Remember what we said about the denominator. What happens here?,00:26:00
folkvza,196,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:26:08
folkvza,197,tutor,Let's try a similar one. What is 30 times 4?,00:26:16
folkvza,198,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:26:24
folkvza,199,tutor,Let's try a similar one. What is 30 times 4?,00:26:32
folkvza,200,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:26:40
folkvza,201,tutor,"Good thinking. Now, is that answer reasonable?",00:26:48
folkvza,202,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:26:56
folkvza,203,tutor,So let me ask you first. Do you know what a fact family is?,00:27:04
folkvza,204,student,I'm not sure. Is it because 10 has one zero?,00:27:12
folkvza,205,tutor,Remember what we said about the denominator. What happens here?,00:27:20
folkvza,206,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:27:28
folkvza,207,tutor,Let's try a similar one. What is 30 times 4?,00:27:36
folkvza,208,student,"I would divide it by 100, so the answer is 3.45.",00:27:44
folkvza,209,tutor,Can you talk me through how you got that answer?,00:27:52
folkvza,210,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:28:00
folkvza,211,tutor,Can you talk me through how you got that answer?,00:28:08
folkvza,212,student,I'm not sure. Is it because 10 has one zero?,00:28:16
folkvza,213,tutor,"Good thinking. Now, is that answer reasonable?",00:28:24
folkvza,214,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:28:32
folkvza,215,tutor,Let's try a similar one. What is 30 times 4?,00:28:40
folkvza,216,student,Half?,00:28:48
folkvza,217,tutor,Remember what we said about the denominator. What happens here?,00:28:56
folkvza,218,student,Maybe I should compare them as decimals first.,00:29:04
folkvza,219,tutor,Can you talk me through how you got that answer?,00:29:12
folkvza,220,student,"I would divide it by 100, so the answer is 3.45.",00:29:20
folkvza,221,tutor,Uh-huh. And what would you do next?,00:29:28
folkvza,222,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:29:36
folkvza,223,tutor,Remember what we said about the denominator. What happens here?,00:29:44
folkvza,224,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:29:52
folkvza,225,tutor,Remember what we said about the denominator. What happens here?,00:30:00
folkvza,226,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:30:08
folkvza,227,tutor,Remember what we said about the denominator. What happens here?,00:30:16
folkvza,228,student,Maybe I should compare them as decimals first.,00:30:24
folkvza,229,tutor,So let me ask you first. Do you know what a fact family is?,00:30:32
folkvza,230,student,300?,00:30:40
folkvza,231,tutor,Uh-huh. And what would you do next?,00:30:48
folkvza,232,student,Maybe I should compare them as decimals first.,00:30:56
folkvza,233,tutor,Remember what we said about the denominator. What happens here?,00:31:04
folkvza,234,student,I'm not sure. Is it because 10 has one zero?,00:31:12
folkvza,235,tutor,Can you talk me through how you got that answer?,00:31:20
folkvza,236,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:31:28
folkvza,237,tutor,Can you talk me through how you got that answer?,00:31:36
folkvza,238,student,"I would divide it by 100, so the answer is 3.45.",00:31:44
folkvza,239,tutor,Let's try a similar one. What is 30 times 4?,00:31:52
folkvza,240,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:32:00
folkvza,241,tutor,So let me ask you first. Do you know what a fact family is?,00:32:08
folkvza,242,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:32:16
