session_id,utterance_id,role,content,timestamp
wywbscb,0,background,[unclear],00:00:00
wywbscb,1,tutor,"Hello, are you ready to get started today?",00:00:08
wywbscb,2,student,"Yes, I think so.",00:00:16
wywbscb,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
wywbscb,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
wywbscb,5,tutor,Remember what we said about the denominator. What happens here?,00:00:40
wywbscb,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
wywbscb,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
wywbscb,8,student,Maybe I should compare them as decimals first.,00:01:04
wywbscb,9,tutor,"Good thinking. Now, is that answer reasonable?",00:01:12
wywbscb,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
wywbscb,11,tutor,Can you talk me through how you got that answer?,00:01:28
wywbscb,12,student,No,00:01:36
wywbscb,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
wywbscb,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
wywbscb,15,tutor,What do you notice about these two numbers?,00:02:00
wywbscb,16,student,I think we need to make the bottom numbers the same before we add.,00:02:08
wywbscb,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
wywbscb,18,student,No,00:02:24
wywbscb,19,tutor,Uh-huh. And what would you do next?,00:02:32
wywbscb,20,student,I think we need to make the bottom numbers the same before we add.,00:02:40
wywbscb,21,tutor,Can you talk me through how you got that answer?,00:02:48
wywbscb,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
wywbscb,23,tutor,Remember what we said about the denominator. What happens here?,00:03:04
wywbscb,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
wywbscb,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
wywbscb,26,student,"I would divide it by 100, so the answer is 3.45.",00:03:28
wywbscb,27,tutor,Uh-huh. And what would you do next?,00:03:36
wywbscb,28,student,12.,00:03:44
wywbscb,29,tutor,Can you talk me through how you got that answer?,00:03:52
wywbscb,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
wywbscb,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
wywbscb,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
wywbscb,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
wywbscb,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
wywbscb,35,tutor,So let me ask you first. Do you know what a fact family is?,00:04:40
wywbscb,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
wywbscb,37,tutor,What do you notice about these two numbers?,00:04:56
wywbscb,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
wywbscb,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
wywbscb,40,student,I think we need to make the bottom numbers the same before we add.,00:05:20
wywbscb,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
wywbscb,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
wywbscb,43,tutor,Uh-huh. And what would you do next?,00:05:44
wywbscb,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
wywbscb,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
wywbscb,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
wywbscb,47,tutor,Can you talk me through how you got that answer?,00:06:16
wywbscb,48,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:24
wywbscb,49,tutor,Can you talk me through how you got that answer?,00:06:32
wywbscb,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
wywbscb,51,tutor,Can you talk me through how you got that answer?,00:06:48
wywbscb,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
wywbscb,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
wywbscb,54,student,Maybe I should compare them as decimals first.,00:07:12
wywbscb,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
wywbscb,56,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:28
wywbscb,57,tutor,Uh-huh. And what would you do next?,00:07:36
wywbscb,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
wywbscb,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
wywbscb,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
wywbscb,61,tutor,Uh-huh. And what would you do next?,00:08:08
wywbscb,62,student,I think we need to make the bottom numbers the same before we add.,00:08:16
wywbscb,63,tutor,So let me ask you first. Do you know what a fact family is?,00:08:24
wywbscb,64,student,I think we need to make the bottom numbers the same before we add.,00:08:32
wywbscb,65,tutor,Let's try a similar one. What is 30 times 4?,00:08:40
wywbscb,66,student,Maybe I should compare them as decimals first.,00:08:48
wywbscb,67,tutor,Remember what we said about the denominator. What happens here?,00:08:56
wywbscb,68,student,300?,00:09:04
wywbscb,69,tutor,What do you notice about these two numbers?,00:09:12
wywbscb,70,student,I think we need to make the bottom numbers the same before we add.,00:09:20
wywbscb,71,tutor,So let me ask you first. Do you know what a fact family is?,00:09:28
wywbscb,72,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:36
wywbscb,73,tutor,Uh-huh. And what would you do next?,00:09:44
wywbscb,74,student,Okay,00:09:52
wywbscb,75,tutor,So let me ask you first. Do you know what a fact family is?,00:10:00
wywbscb,76,student,I think we need to make the bottom numbers the same before we add.,00:10:08
wywbscb,77,tutor,"Good thinking. Now, is that answer reasonable?",00:10:16
wywbscb,78,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:24
wywbscb,79,tutor,Can you talk me through how you got that answer?,00:10:32
wywbscb,80,student,I think we need to make the bottom numbers the same before we add.,00:10:40
wywbscb,81,tutor,So let me ask you first. Do you know what a fact family is?,00:10:48
wywbscb,82,student,Maybe I should compare them as decimals first.,00:10:56
wywbscb,83,tutor,So let me ask you first. Do you know what a fact family is?,00:11:04
wywbscb,84,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:12
wywbscb,85,tutor,Uh-huh. And what would you do next?,00:11:20
wywbscb,86,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:28
wywbscb,87,tutor,"Good thinking. Now, is that answer reasonable?",00:11:36
wywbscb,88,student,I think we need to make the bottom numbers the same before we add.,00:11:44
wywbscb,89,tutor,So let me ask you first. Do you know what a fact family is?,00:11:52
wywbscb,90,student,12.,00:12:00
wywbscb,91,tutor,What do you notice about these two numbers?,00:12:08
wywbscb,92,student,6?,00:12:16
wywbscb,93,tutor,So let me ask you first. Do you know what a fact family is?,00:12:24
wywbscb,94,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:32
wywbscb,95,tutor,Remember what we said about the denominator. What happens here?,00:12:40
wywbscb,96,student,Okay,00:12:48
wywbscb,97,tutor,Can you talk me through how you got that answer?,00:12:56
wywbscb,98,student,I think we need to make the bottom numbers the same before we add.,00:13:04
wywbscb,99,tutor,What do you notice about these two numbers?,00:13:12
wywbscb,100,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:20
wywbscb,101,tutor,Can you talk me through how you got that answer?,00:13:28
wywbscb,102,student,Maybe I should compare them as decimals first.,00:13:36
wywbscb,103,tutor,Remember what we said about the denominator. What happens here?,00:13:44
wywbscb,104,student,I'm not sure. Is it because 10 has one zero?,00:13:52
wywbscb,105,tutor,"Good thinking. Now, is that answer reasonable?",00:14:00
wywbscb,106,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:08
wywbscb,107,tutor,Remember what we said about the denominator. What happens here?,00:14:16
wywbscb,108,student,I'm not sure. Is it because 10 has one zero?,00:14:24
wywbscb,109,tutor,Can you talk me through how you got that answer?,00:14:32
wywbscb,110,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:40
wywbscb,111,tutor,Uh-huh. And what would you do next?,00:14:48
wywbscb,112,student,No,00:14:56
wywbscb,113,tutor,Uh-huh. And what would you do next?,00:15:04
wywbscb,114,student,Yes,00:15:12
wywbscb,115,tutor,What do you notice about these two numbers?,00:15:20
wywbscb,116,student,"I would divide it by 100, so the answer is 3.45.",00:15:28
wywbscb,117,tutor,Remember what we said about the denominator. What happens here?,00:15:36
wywbscb,118,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:15:44
wywbscb,119,tutor,Can you talk me through how you got that answer?,00:15:52
wywbscb,120,student,"I would divide it by 100, so the answer is 3.45.",00:16:00
wywbscb,121,tutor,What do you notice about these two numbers?,00:16:08
wywbscb,122,student,"I would divide it by 100, so the answer is 3.45.",00:16:16
wywbscb,123,tutor,Let's try a similar one. What is 30 times 4?,00:16:24
wywbscb,124,student,"I would divide it by 100, so the answer is 3.45.",00:16:32
wywbscb,125,tutor,Uh-huh. And what would you do next?,00:16:40
