session_id,utterance_id,role,content,timestamp
gunfglv,0,background,[unclear],00:00:00
gunfglv,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
gunfglv,2,student,"Yes, I think so.",00:00:16
gunfglv,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
gunfglv,4,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:00:32
gunfglv,5,tutor,Can you talk me through how you got that answer?,00:00:40
gunfglv,6,student,Maybe I should compare them as decimals first.,00:00:48
gunfglv,7,tutor,Can you talk me through how you got that answer?,00:00:56
gunfglv,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
gunfglv,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
gunfglv,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
gunfglv,11,tutor,Uh-huh. And what would you do next?,00:01:28
gunfglv,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
gunfglv,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
gunfglv,14,student,No,00:01:52
gunfglv,15,tutor,Uh-huh. And what would you do next?,00:02:00
gunfglv,16,student,Is it 4?,00:02:08
gunfglv,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
gunfglv,18,student,I'm not sure. Is it because 10 has one zero?,00:02:24
gunfglv,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
gunfglv,20,student,Maybe I should compare them as decimals first.,00:02:40
gunfglv,21,tutor,What do you notice about these two numbers?,00:02:48
gunfglv,22,student,"I would divide it by 100, so the answer is 3.45.",00:02:56
gunfglv,23,tutor,What do you notice about these two numbers?,00:03:04
gunfglv,24,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:12
gunfglv,25,tutor,Uh-huh. And what would you do next?,00:03:20
gunfglv,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
gunfglv,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
gunfglv,28,student,I think we need to make the bottom numbers the same before we add.,00:03:44
gunfglv,29,tutor,Remember what we said about the denominator. What happens here?,00:03:52
gunfglv,30,student,Maybe I should compare them as decimals first.,00:04:00
gunfglv,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
gunfglv,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
gunfglv,33,tutor,Let's try a similar one. What is 30 times 4?,00:04:24
gunfglv,34,student,75.,00:04:32
gunfglv,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
gunfglv,36,student,Is it 4?,00:04:48
gunfglv,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
gunfglv,38,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:04
gunfglv,39,tutor,Uh-huh. And what would you do next?,00:05:12
gunfglv,40,student,I'm not sure. Is it because 10 has one zero?,00:05:20
gunfglv,41,tutor,Uh-huh. And what would you do next?,00:05:28
gunfglv,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
gunfglv,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
gunfglv,44,student,75.,00:05:52
gunfglv,45,tutor,Can you talk me through how you got that answer?,00:06:00
gunfglv,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
gunfglv,47,tutor,Uh-huh. And what would you do next?,00:06:16
gunfglv,48,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:24
gunfglv,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
gunfglv,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
gunfglv,51,tutor,Can you talk me through how you got that answer?,00:06:48
gunfglv,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
gunfglv,53,tutor,"Good thinking. Now, is that answer reasonable?",00:07:04
gunfglv,54,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:12
gunfglv,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
gunfglv,56,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:28
gunfglv,57,tutor,What do you notice about these two numbers?,00:07:36
gunfglv,58,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:44
gunfglv,59,tutor,Remember what we said about the denominator. What happens here?,00:07:52
gunfglv,60,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:00
gunfglv,61,tutor,Uh-huh. And what would you do next?,00:08:08
gunfglv,62,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:16
gunfglv,63,tutor,What do you notice about these two numbers?,00:08:24
gunfglv,64,student,"I would divide it by 100, so the answer is 3.45.",00:08:32
gunfglv,65,tutor,Can you talk me through how you got that answer?,00:08:40
gunfglv,66,student,300?,00:08:48
gunfglv,67,tutor,Remember what we said about the denominator. What happens here?,00:08:56
gunfglv,68,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:09:04
gunfglv,69,tutor,Remember what we said about the denominator. What happens here?,00:09:12
gunfglv,70,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:20
gunfglv,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
gunfglv,72,student,I'm not sure. Is it because 10 has one zero?,00:09:36
gunfglv,73,tutor,Can you talk me through how you got that answer?,00:09:44
gunfglv,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
gunfglv,75,tutor,Uh-huh. And what would you do next?,00:10:00
gunfglv,76,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:08
gunfglv,77,tutor,So let me ask you first. Do you know what a fact family is?,00:10:16
gunfglv,78,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:24
gunfglv,79,tutor,Uh-huh. And what would you do next?,00:10:32
gunfglv,80,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:40
gunfglv,81,tutor,Can you talk me through how you got that answer?,00:10:48
gunfglv,82,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:10:56
gunfglv,83,tutor,What do you notice about these two numbers?,00:11:04
gunfglv,84,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:12
gunfglv,85,tutor,Uh-huh. And what would you do next?,00:11:20
gunfglv,86,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:28
gunfglv,87,tutor,Let's try a similar one. What is 30 times 4?,00:11:36
gunfglv,88,student,Maybe I should compare them as decimals first.,00:11:44
gunfglv,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
gunfglv,90,student,Okay,00:12:00
gunfglv,91,tutor,Uh-huh. And what would you do next?,00:12:08
gunfglv,92,student,Half?,00:12:16
gunfglv,93,tutor,Can you talk me through how you got that answer?,00:12:24
gunfglv,94,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:32
gunfglv,95,tutor,What do you notice about these two numbers?,00:12:40
gunfglv,96,student,300?,00:12:48
gunfglv,97,tutor,Remember what we said about the denominator. What happens here?,00:12:56
gunfglv,98,student,No,00:13:04
gunfglv,99,tutor,Can you talk me through how you got that answer?,00:13:12
gunfglv,100,student,Maybe I should compare them as decimals first.,00:13:20
gunfglv,101,tutor,So let me ask you first. Do you know what a fact family is?,00:13:28
gunfglv,102,student,Okay,00:13:36
gunfglv,103,tutor,Let's try a similar one. What is 30 times 4?,00:13:44
gunfglv,104,student,Okay,00:13:52
gunfglv,105,tutor,Uh-huh. And what would you do next?,00:14:00
gunfglv,106,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:08
gunfglv,107,tutor,So let me ask you first. Do you know what a fact family is?,00:14:16
gunfglv,108,student,Maybe I should compare them as decimals first.,00:14:24
gunfglv,109,tutor,"Good thinking. Now, is that answer reasonable?",00:14:32
gunfglv,110,student,I'm not sure. Is it because 10 has one zero?,00:14:40
gunfglv,111,tutor,Let's try a similar one. What is 30 times 4?,00:14:48
gunfglv,112,student,I think we need to make the bottom numbers the same before we add.,00:14:56
gunfglv,113,tutor,Let's try a similar one. What is 30 times 4?,00:15:04
gunfglv,114,student,75.,00:15:12
gunfglv,115,tutor,Let's try a similar one. What is 30 times 4?,00:15:20
gunfglv,116,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:28
gunfglv,117,tutor,Let's try a similar one. What is 30 times 4?,00:15:36
gunfglv,118,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:15:44
gunfglv,119,tutor,So let me ask you first. Do you know what a fact family is?,00:15:52
gunfglv,120,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:00
gunfglv,121,tutor,"Good thinking. Now, is that answer reasonable?",00:16:08
gunfglv,122,student,I think we need to make the bottom numbers the same before we add.,00:16:16
gunfglv,123,tutor,Uh-huh. And what would you do next?,00:16:24
gunfglv,124,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:32
gunfglv,125,tutor,Can you talk me through how you got that answer?,00:16:40
gunfglv,126,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:48
gunfglv,127,tutor,Let's try a similar one. What is 30 times 4?,00:16:56
gunfglv,128,student,6?,00:17:04
gunfglv,129,tutor,Can you talk me through how you got that answer?,00:17:12
gunfglv,130,student,Maybe I should compare them as decimals first.,00:17:20
gunfglv,131,tutor,What do you notice about these two numbers?,00:17:28
gunfglv,132,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:36
gunfglv,133,tutor,Let's try a similar one. What is 30 times 4?,00:17:44
gunfglv,134,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:52
gunfglv,135,tutor,Can you talk me through how you got that answer?,00:18:00
gunfglv,136,student,Half?,00:18:08
gunfglv,137,tutor,Uh-huh. And what would you do next?,00:18:16
gunfglv,138,student,I'm not sure. Is it because 10 has one zero?,00:18:24
gunfglv,139,tutor,What do you notice about these two numbers?,00:18:32
gunfglv,140,student,Half?,00:18:40
gunfglv,141,tutor,Uh-huh. And what would you do next?,00:18:48
gunfglv,142,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:18:56
gunfglv,143,tutor,What do you notice about these two numbers?,00:19:04
gunfglv,144,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:19:12
gunfglv,145,tutor,Uh-huh. And what would you do next?,00:19:20
gunfglv,146,student,I'm not sure. Is it because 10 has one zero?,00:19:28
gunfglv,147,tutor,Let's try a similar one. What is 30 times 4?,00:19:36
gunfglv,148,student,Yes,00:19:44
gunfglv,149,tutor,So let me ask you first. Do you know what a fact family is?,00:19:52
gunfglv,150,student,12.,00:20:00
gunfglv,151,tutor,Let's try a similar one. What is 30 times 4?,00:20:08
gunfglv,152,student,I'm not sure. Is it because 10 has one zero?,00:20:16
gunfglv,153,tutor,Let's try a similar one. What is 30 times 4?,00:20:24
gunfglv,154,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:20:32
gunfglv,155,tutor,Remember what we said about the denominator. What happens here?,00:20:40
gunfglv,156,student,I think we need to make the bottom numbers the same before we add.,00:20:48
gunfglv,157,tutor,So let me ask you first. Do you know what a fact family is?,00:20:56
gunfglv,158,student,"I would divide it by 100, so the answer is 3.45.",00:21:04
gunfglv,159,tutor,So let me ask you first. Do you know what a fact family is?,00:21:12
gunfglv,160,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:21:20
gunfglv,161,tutor,Let's try a similar one. What is 30 times 4?,00:21:28
gunfglv,162,student,300?,00:21:36
gunfglv,163,tutor,Let's try a similar one. What is 30 times 4?,00:21:44
gunfglv,164,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:21:52
gunfglv,165,tutor,What do you notice about these two numbers?,00:22:00
gunfglv,166,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:22:08
gunfglv,167,tutor,Can you talk me through how you got that answer?,00:22:16
gunfglv,168,student,I'm not sure. Is it because 10 has one zero?,00:22:24
