session_id,utterance_id,role,content,timestamp
vjmbdbb,0,background,[unclear],00:00:00
vjmbdbb,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
vjmbdbb,2,student,"Yes, I think so.",00:00:16
vjmbdbb,3,tutor,Uh-huh. And what would you do next?,00:00:24
vjmbdbb,4,student,Half?,00:00:32
vjmbdbb,5,tutor,Uh-huh. And what would you do next?,00:00:40
vjmbdbb,6,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:48
vjmbdbb,7,tutor,Uh-huh. And what would you do next?,00:00:56
vjmbdbb,8,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:04
vjmbdbb,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
vjmbdbb,10,student,75.,00:01:20
vjmbdbb,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
vjmbdbb,12,student,No,00:01:36
vjmbdbb,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
vjmbdbb,14,student,"I would divide it by 100, so the answer is 3.45.",00:01:52
vjmbdbb,15,tutor,Let's try a similar one. What is 30 times 4?,00:02:00
vjmbdbb,16,student,I'm not sure. Is it because 10 has one zero?,00:02:08
vjmbdbb,17,tutor,Can you talk me through how you got that answer?,00:02:16
vjmbdbb,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
vjmbdbb,19,tutor,Let's try a similar one. What is 30 times 4?,00:02:32
vjmbdbb,20,student,I think we need to make the bottom numbers the same before we add.,00:02:40
vjmbdbb,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
vjmbdbb,22,student,I'm not sure. Is it because 10 has one zero?,00:02:56
vjmbdbb,23,tutor,So let me ask you first. Do you know what a fact family is?,00:03:04
vjmbdbb,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
vjmbdbb,25,tutor,Uh-huh. And what would you do next?,00:03:20
vjmbdbb,26,student,Maybe I should compare them as decimals first.,00:03:28
vjmbdbb,27,tutor,What do you notice about these two numbers?,00:03:36
vjmbdbb,28,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:44
vjmbdbb,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
vjmbdbb,30,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:00
vjmbdbb,31,tutor,"Good thinking. Now, is that answer reasonable?",00:04:08
vjmbdbb,32,student,Half?,00:04:16
vjmbdbb,33,tutor,What do you notice about these two numbers?,00:04:24
vjmbdbb,34,student,75.,00:04:32
vjmbdbb,35,tutor,Let's try a similar one. What is 30 times 4?,00:04:40
vjmbdbb,36,student,Maybe I should compare them as decimals first.,00:04:48
vjmbdbb,37,tutor,Uh-huh. And what would you do next?,00:04:56
vjmbdbb,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
vjmbdbb,39,tutor,Can you talk me through how you got that answer?,00:05:12
vjmbdbb,40,student,12.,00:05:20
vjmbdbb,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
vjmbdbb,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
vjmbdbb,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
vjmbdbb,44,student,No,00:05:52
vjmbdbb,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
vjmbdbb,46,student,I think we need to make the bottom numbers the same before we add.,00:06:08
vjmbdbb,47,tutor,Uh-huh. And what would you do next?,00:06:16
vjmbdbb,48,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:24
vjmbdbb,49,tutor,Remember what we said about the denominator. What happens here?,00:06:32
vjmbdbb,50,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:40
vjmbdbb,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
vjmbdbb,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
vjmbdbb,53,tutor,Let's try a similar one. What is 30 times 4?,00:07:04
vjmbdbb,54,student,6?,00:07:12
vjmbdbb,55,tutor,Uh-huh. And what would you do next?,00:07:20
vjmbdbb,56,student,Maybe I should compare them as decimals first.,00:07:28
vjmbdbb,57,tutor,Uh-huh. And what would you do next?,00:07:36
vjmbdbb,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
vjmbdbb,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
vjmbdbb,60,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:08:00
vjmbdbb,61,tutor,What do you notice about these two numbers?,00:08:08
vjmbdbb,62,student,75.,00:08:16
