session_id,utterance_id,role,content,timestamp
vfdajph,0,background,[unclear],00:00:00
vfdajph,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
vfdajph,2,student,"Yes, I think so.",00:00:16
vfdajph,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
vfdajph,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
vfdajph,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
vfdajph,6,student,Maybe I should compare them as decimals first.,00:00:48
vfdajph,7,tutor,Can you talk me through how you got that answer?,00:00:56
vfdajph,8,student,I'm not sure. Is it because 10 has one zero?,00:01:04
vfdajph,9,tutor,Uh-huh. And what would you do next?,00:01:12
vfdajph,10,student,Maybe I should compare them as decimals first.,00:01:20
vfdajph,11,tutor,So let me ask you first. Do you know what a fact family is?,00:01:28
vfdajph,12,student,Half?,00:01:36
vfdajph,13,tutor,Let's try a similar one. What is 30 times 4?,00:01:44
vfdajph,14,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:52
vfdajph,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
vfdajph,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
vfdajph,17,tutor,What do you notice about these two numbers?,00:02:16
vfdajph,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
vfdajph,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
vfdajph,20,student,Maybe I should compare them as decimals first.,00:02:40
vfdajph,21,tutor,Uh-huh. And what would you do next?,00:02:48
vfdajph,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
vfdajph,23,tutor,Uh-huh. And what would you do next?,00:03:04
vfdajph,24,student,Maybe I should compare them as decimals first.,00:03:12
vfdajph,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
vfdajph,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
vfdajph,27,tutor,Can you talk me through how you got that answer?,00:03:36
vfdajph,28,student,"I would divide it by 100, so the answer is 3.45.",00:03:44
vfdajph,29,tutor,Let's try a similar one. What is 30 times 4?,00:03:52
vfdajph,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
vfdajph,31,tutor,Can you talk me through how you got that answer?,00:04:08
vfdajph,32,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:16
vfdajph,33,tutor,Can you talk me through how you got that answer?,00:04:24
vfdajph,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
vfdajph,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
vfdajph,36,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:48
vfdajph,37,tutor,What do you notice about these two numbers?,00:04:56
vfdajph,38,student,75.,00:05:04
vfdajph,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
vfdajph,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
vfdajph,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
vfdajph,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
vfdajph,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
vfdajph,44,student,Yes,00:05:52
vfdajph,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
vfdajph,46,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:08
vfdajph,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
vfdajph,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
vfdajph,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
vfdajph,50,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:40
vfdajph,51,tutor,What do you notice about these two numbers?,00:06:48
vfdajph,52,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:56
vfdajph,53,tutor,Can you talk me through how you got that answer?,00:07:04
vfdajph,54,student,Is it 4?,00:07:12
vfdajph,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
vfdajph,56,student,"I would divide it by 100, so the answer is 3.45.",00:07:28
vfdajph,57,tutor,Uh-huh. And what would you do next?,00:07:36
vfdajph,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
vfdajph,59,tutor,Can you talk me through how you got that answer?,00:07:52
vfdajph,60,student,"I would divide it by 100, so the answer is 3.45.",00:08:00
vfdajph,61,tutor,Uh-huh. And what would you do next?,00:08:08
vfdajph,62,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:16
vfdajph,63,tutor,"Good thinking. Now, is that answer reasonable?",00:08:24
vfdajph,64,student,I'm not sure. Is it because 10 has one zero?,00:08:32
vfdajph,65,tutor,What do you notice about these two numbers?,00:08:40
vfdajph,66,student,I think we need to make the bottom numbers the same before we add.,00:08:48
vfdajph,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
vfdajph,68,student,I think we need to make the bottom numbers the same before we add.,00:09:04
vfdajph,69,tutor,Let's try a similar one. What is 30 times 4?,00:09:12
vfdajph,70,student,I think we need to make the bottom numbers the same before we add.,00:09:20
vfdajph,71,tutor,Can you talk me through how you got that answer?,00:09:28
vfdajph,72,student,Okay,00:09:36
vfdajph,73,tutor,"Good thinking. Now, is that answer reasonable?",00:09:44
vfdajph,74,student,I'm not sure. Is it because 10 has one zero?,00:09:52
vfdajph,75,tutor,What do you notice about these two numbers?,00:10:00
vfdajph,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
vfdajph,77,tutor,Remember what we said about the denominator. What happens here?,00:10:16
vfdajph,78,student,I think we need to make the bottom numbers the same before we add.,00:10:24
vfdajph,79,tutor,"Good thinking. Now, is that answer reasonable?",00:10:32
vfdajph,80,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:40
vfdajph,81,tutor,Let's try a similar one. What is 30 times 4?,00:10:48
vfdajph,82,student,"I would divide it by 100, so the answer is 3.45.",00:10:56
vfdajph,83,tutor,Remember what we said about the denominator. What happens here?,00:11:04
vfdajph,84,student,I'm not sure. Is it because 10 has one zero?,00:11:12
vfdajph,85,tutor,Uh-huh. And what would you do next?,00:11:20
vfdajph,86,student,I think we need to make the bottom numbers the same before we add.,00:11:28
vfdajph,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
vfdajph,88,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:44
vfdajph,89,tutor,So let me ask you first. Do you know what a fact family is?,00:11:52
vfdajph,90,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:00
vfdajph,91,tutor,"Good thinking. Now, is that answer reasonable?",00:12:08
vfdajph,92,student,300?,00:12:16
vfdajph,93,tutor,Uh-huh. And what would you do next?,00:12:24
vfdajph,94,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:32
vfdajph,95,tutor,What do you notice about these two numbers?,00:12:40
vfdajph,96,student,12.,00:12:48
vfdajph,97,tutor,"Good thinking. Now, is that answer reasonable?",00:12:56
vfdajph,98,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:13:04
vfdajph,99,tutor,Uh-huh. And what would you do next?,00:13:12
vfdajph,100,student,"I would divide it by 100, so the answer is 3.45.",00:13:20
vfdajph,101,tutor,Remember what we said about the denominator. What happens here?,00:13:28
vfdajph,102,student,6?,00:13:36
vfdajph,103,tutor,So let me ask you first. Do you know what a fact family is?,00:13:44
vfdajph,104,student,I'm not sure. Is it because 10 has one zero?,00:13:52
vfdajph,105,tutor,What do you notice about these two numbers?,00:14:00
vfdajph,106,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:08
vfdajph,107,tutor,Uh-huh. And what would you do next?,00:14:16
vfdajph,108,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:24
vfdajph,109,tutor,What do you notice about these two numbers?,00:14:32
vfdajph,110,student,300?,00:14:40
vfdajph,111,tutor,What do you notice about these two numbers?,00:14:48
vfdajph,112,student,I'm not sure. Is it because 10 has one zero?,00:14:56
vfdajph,113,tutor,Can you talk me through how you got that answer?,00:15:04
vfdajph,114,student,No,00:15:12
vfdajph,115,tutor,Can you talk me through how you got that answer?,00:15:20
vfdajph,116,student,"I would divide it by 100, so the answer is 3.45.",00:15:28
vfdajph,117,tutor,Let's try a similar one. What is 30 times 4?,00:15:36
vfdajph,118,student,300?,00:15:44
vfdajph,119,tutor,Uh-huh. And what would you do next?,00:15:52
vfdajph,120,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:16:00
vfdajph,121,tutor,"Good thinking. Now, is that answer reasonable?",00:16:08
vfdajph,122,student,Maybe I should compare them as decimals first.,00:16:16
vfdajph,123,tutor,"Good thinking. Now, is that answer reasonable?",00:16:24
vfdajph,124,student,I think we need to make the bottom numbers the same before we add.,00:16:32
vfdajph,125,tutor,What do you notice about these two numbers?,00:16:40
vfdajph,126,student,300?,00:16:48
vfdajph,127,tutor,Remember what we said about the denominator. What happens here?,00:16:56
vfdajph,128,student,I'm not sure. Is it because 10 has one zero?,00:17:04
vfdajph,129,tutor,What do you notice about these two numbers?,00:17:12
vfdajph,130,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:20
vfdajph,131,tutor,Can you talk me through how you got that answer?,00:17:28
vfdajph,132,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:36
vfdajph,133,tutor,Remember what we said about the denominator. What happens here?,00:17:44
vfdajph,134,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:52
vfdajph,135,tutor,Remember what we said about the denominator. What happens here?,00:18:00
vfdajph,136,student,I think we need to make the bottom numbers the same before we add.,00:18:08
vfdajph,137,tutor,"Good thinking. Now, is that answer reasonable?",00:18:16
vfdajph,138,student,I think we need to make the bottom numbers the same before we add.,00:18:24
vfdajph,139,tutor,"Good thinking. Now, is that answer reasonable?",00:18:32
vfdajph,140,student,I think we need to make the bottom numbers the same before we add.,00:18:40
vfdajph,141,tutor,Remember what we said about the denominator. What happens here?,00:18:48
vfdajph,142,student,Maybe I should compare them as decimals first.,00:18:56
vfdajph,143,tutor,Can you talk me through how you got that answer?,00:19:04
vfdajph,144,student,I think we need to make the bottom numbers the same before we add.,00:19:12
vfdajph,145,tutor,"Good thinking. Now, is that answer reasonable?",00:19:20
vfdajph,146,student,75.,00:19:28
vfdajph,147,tutor,"Good thinking. Now, is that answer reasonable?",00:19:36
vfdajph,148,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:19:44
vfdajph,149,tutor,"Good thinking. Now, is that answer reasonable?",00:19:52
