session_id,utterance_id,role,content,timestamp
ifloerz,0,background,[unclear],00:00:00
ifloerz,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
ifloerz,2,student,"Yes, I think so.",00:00:16
ifloerz,3,tutor,Remember what we said about the denominator. What happens here?,00:00:24
ifloerz,4,student,Maybe I should compare them as decimals first.,00:00:32
ifloerz,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
ifloerz,6,student,Half?,00:00:48
ifloerz,7,tutor,Uh-huh. And what would you do next?,00:00:56
ifloerz,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
ifloerz,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
ifloerz,10,student,I think we need to make the bottom numbers the same before we add.,00:01:20
ifloerz,11,tutor,What do you notice about these two numbers?,00:01:28
ifloerz,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
ifloerz,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
ifloerz,14,student,Maybe I should compare them as decimals first.,00:01:52
ifloerz,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
ifloerz,16,student,Is it 4?,00:02:08
ifloerz,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
ifloerz,18,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:24
ifloerz,19,tutor,So let me ask you first. Do you know what a fact family is?,00:02:32
ifloerz,20,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:40
ifloerz,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
ifloerz,22,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:56
ifloerz,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
ifloerz,24,student,Maybe I should compare them as decimals first.,00:03:12
ifloerz,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
ifloerz,26,student,Yes,00:03:28
ifloerz,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
ifloerz,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
ifloerz,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
ifloerz,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
ifloerz,31,tutor,Uh-huh. And what would you do next?,00:04:08
ifloerz,32,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:16
ifloerz,33,tutor,Can you talk me through how you got that answer?,00:04:24
ifloerz,34,student,Maybe I should compare them as decimals first.,00:04:32
ifloerz,35,tutor,What do you notice about these two numbers?,00:04:40
ifloerz,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
ifloerz,37,tutor,Can you talk me through how you got that answer?,00:04:56
ifloerz,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
ifloerz,39,tutor,Remember what we said about the denominator. What happens here?,00:05:12
ifloerz,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
ifloerz,41,tutor,Remember what we said about the denominator. What happens here?,00:05:28
ifloerz,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
ifloerz,43,tutor,What do you notice about these two numbers?,00:05:44
ifloerz,44,student,I think we need to make the bottom numbers the same before we add.,00:05:52
ifloerz,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
ifloerz,46,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:08
ifloerz,47,tutor,Let's try a similar one. What is 30 times 4?,00:06:16
ifloerz,48,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:24
ifloerz,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
ifloerz,50,student,Maybe I should compare them as decimals first.,00:06:40
ifloerz,51,tutor,Can you talk me through how you got that answer?,00:06:48
ifloerz,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
ifloerz,53,tutor,So let me ask you first. Do you know what a fact family is?,00:07:04
ifloerz,54,student,Yes,00:07:12
ifloerz,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
ifloerz,56,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:28
ifloerz,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
ifloerz,58,student,I'm not sure. Is it because 10 has one zero?,00:07:44
ifloerz,59,tutor,Uh-huh. And what would you do next?,00:07:52
ifloerz,60,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:00
ifloerz,61,tutor,Can you talk me through how you got that answer?,00:08:08
ifloerz,62,student,Maybe I should compare them as decimals first.,00:08:16
ifloerz,63,tutor,Can you talk me through how you got that answer?,00:08:24
ifloerz,64,student,"I would divide it by 100, so the answer is 3.45.",00:08:32
ifloerz,65,tutor,Can you talk me through how you got that answer?,00:08:40
ifloerz,66,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:48
ifloerz,67,tutor,"Good thinking. Now, is that answer reasonable?",00:08:56
ifloerz,68,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:04
ifloerz,69,tutor,Let's try a similar one. What is 30 times 4?,00:09:12
ifloerz,70,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:20
ifloerz,71,tutor,So let me ask you first. Do you know what a fact family is?,00:09:28
ifloerz,72,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:36
ifloerz,73,tutor,What do you notice about these two numbers?,00:09:44
ifloerz,74,student,Maybe I should compare them as decimals first.,00:09:52
ifloerz,75,tutor,Let's try a similar one. What is 30 times 4?,00:10:00
ifloerz,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
ifloerz,77,tutor,Can you talk me through how you got that answer?,00:10:16
ifloerz,78,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:24
ifloerz,79,tutor,Let's try a similar one. What is 30 times 4?,00:10:32
ifloerz,80,student,"I would divide it by 100, so the answer is 3.45.",00:10:40
ifloerz,81,tutor,Let's try a similar one. What is 30 times 4?,00:10:48
ifloerz,82,student,Is it 4?,00:10:56
ifloerz,83,tutor,So let me ask you first. Do you know what a fact family is?,00:11:04
ifloerz,84,student,Maybe I should compare them as decimals first.,00:11:12
ifloerz,85,tutor,What do you notice about these two numbers?,00:11:20
ifloerz,86,student,Maybe I should compare them as decimals first.,00:11:28
ifloerz,87,tutor,So let me ask you first. Do you know what a fact family is?,00:11:36
ifloerz,88,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:44
ifloerz,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
ifloerz,90,student,I'm not sure. Is it because 10 has one zero?,00:12:00
ifloerz,91,tutor,What do you notice about these two numbers?,00:12:08
ifloerz,92,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:16
ifloerz,93,tutor,Uh-huh. And what would you do next?,00:12:24
ifloerz,94,student,Yes,00:12:32
ifloerz,95,tutor,"Good thinking. Now, is that answer reasonable?",00:12:40
ifloerz,96,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:48
ifloerz,97,tutor,Can you talk me through how you got that answer?,00:12:56
ifloerz,98,student,I'm not sure. Is it because 10 has one zero?,00:13:04
ifloerz,99,tutor,Remember what we said about the denominator. What happens here?,00:13:12
ifloerz,100,student,I'm not sure. Is it because 10 has one zero?,00:13:20
ifloerz,101,tutor,Remember what we said about the denominator. What happens here?,00:13:28
ifloerz,102,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:36
ifloerz,103,tutor,Can you talk me through how you got that answer?,00:13:44
ifloerz,104,student,I'm not sure. Is it because 10 has one zero?,00:13:52
ifloerz,105,tutor,What do you notice about these two numbers?,00:14:00
ifloerz,106,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:08
ifloerz,107,tutor,"Good thinking. Now, is that answer reasonable?",00:14:16
ifloerz,108,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:24
ifloerz,109,tutor,Can you talk me through how you got that answer?,00:14:32
ifloerz,110,student,I'm not sure. Is it because 10 has one zero?,00:14:40
ifloerz,111,tutor,Remember what we said about the denominator. What happens here?,00:14:48
ifloerz,112,student,6?,00:14:56
ifloerz,113,tutor,Uh-huh. And what would you do next?,00:15:04
ifloerz,114,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:15:12
ifloerz,115,tutor,So let me ask you first. Do you know what a fact family is?,00:15:20
ifloerz,116,student,75.,00:15:28
ifloerz,117,tutor,Let's try a similar one. What is 30 times 4?,00:15:36
ifloerz,118,student,I'm not sure. Is it because 10 has one zero?,00:15:44
ifloerz,119,tutor,What do you notice about these two numbers?,00:15:52
ifloerz,120,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:00
ifloerz,121,tutor,So let me ask you first. Do you know what a fact family is?,00:16:08
ifloerz,122,student,Maybe I should compare them as decimals first.,00:16:16
ifloerz,123,tutor,"Good thinking. Now, is that answer reasonable?",00:16:24
ifloerz,124,student,"I would divide it by 100, so the answer is 3.45.",00:16:32
ifloerz,125,tutor,What do you notice about these two numbers?,00:16:40
ifloerz,126,student,Maybe I should compare them as decimals first.,00:16:48
ifloerz,127,tutor,Let's try a similar one. What is 30 times 4?,00:16:56
ifloerz,128,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:04
ifloerz,129,tutor,Uh-huh. And what would you do next?,00:17:12
ifloerz,130,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:20
ifloerz,131,tutor,Can you talk me through how you got that answer?,00:17:28
ifloerz,132,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:36
ifloerz,133,tutor,Uh-huh. And what would you do next?,00:17:44
ifloerz,134,student,I'm not sure. Is it because 10 has one zero?,00:17:52
ifloerz,135,tutor,Can you talk me through how you got that answer?,00:18:00
ifloerz,136,student,Maybe I should compare them as decimals first.,00:18:08
ifloerz,137,tutor,Can you talk me through how you got that answer?,00:18:16
ifloerz,138,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:18:24
ifloerz,139,tutor,Uh-huh. And what would you do next?,00:18:32
ifloerz,140,student,Half?,00:18:40
ifloerz,141,tutor,So let me ask you first. Do you know what a fact family is?,00:18:48
ifloerz,142,student,I'm not sure. Is it because 10 has one zero?,00:18:56
ifloerz,143,tutor,Remember what we said about the denominator. What happens here?,00:19:04
ifloerz,144,student,"I would divide it by 100, so the answer is 3.45.",00:19:12
ifloerz,145,tutor,Remember what we said about the denominator. What happens here?,00:19:20
ifloerz,146,student,Half?,00:19:28
ifloerz,147,tutor,What do you notice about these two numbers?,00:19:36
ifloerz,148,student,"I would divide it by 100, so the answer is 3.45.",00:19:44
ifloerz,149,tutor,So let me ask you first. Do you know what a fact family is?,00:19:52
ifloerz,150,student,Half?,00:20:00
ifloerz,151,tutor,"Good thinking. Now, is that answer reasonable?",00:20:08
ifloerz,152,student,Is it 4?,00:20:16
ifloerz,153,tutor,Let's try a similar one. What is 30 times 4?,00:20:24
ifloerz,154,student,Maybe I should compare them as decimals first.,00:20:32
ifloerz,155,tutor,"Good thinking. Now, is that answer reasonable?",00:20:40
ifloerz,156,student,I think we need to make the bottom numbers the same before we add.,00:20:48
ifloerz,157,tutor,So let me ask you first. Do you know what a fact family is?,00:20:56
ifloerz,158,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:21:04
ifloerz,159,tutor,So let me ask you first. Do you know what a fact family is?,00:21:12
ifloerz,160,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:21:20
ifloerz,161,tutor,So let me ask you first. Do you know what a fact family is?,00:21:28
ifloerz,162,student,Okay,00:21:36
ifloerz,163,tutor,Remember what we said about the denominator. What happens here?,00:21:44
ifloerz,164,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:21:52
ifloerz,165,tutor,"Good thinking. Now, is that answer reasonable?",00:22:00
ifloerz,166,student,75.,00:22:08
ifloerz,167,tutor,Remember what we said about the denominator. What happens here?,00:22:16
ifloerz,168,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:22:24
