session_id,utterance_id,role,content,timestamp
xqdribe,0,background,[unclear],00:00:00
xqdribe,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
xqdribe,2,student,"Yes, I think so.",00:00:16
xqdribe,3,tutor,Uh-huh. And what would you do next?,00:00:24
xqdribe,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
xqdribe,5,tutor,"Good thinking. Now, is that answer reasonable?",00:00:40
xqdribe,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
xqdribe,7,tutor,What do you notice about these two numbers?,00:00:56
xqdribe,8,student,"I would divide it by 100, so the answer is 3.45.",00:01:04
xqdribe,9,tutor,Let's try a similar one. What is 30 times 4?,00:01:12
xqdribe,10,student,Maybe I should compare them as decimals first.,00:01:20
xqdribe,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
xqdribe,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
xqdribe,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
xqdribe,14,student,Okay,00:01:52
xqdribe,15,tutor,Remember what we said about the denominator. What happens here?,00:02:00
xqdribe,16,student,Yes,00:02:08
xqdribe,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
xqdribe,18,student,6?,00:02:24
xqdribe,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
xqdribe,20,student,I'm not sure. Is it because 10 has one zero?,00:02:40
xqdribe,21,tutor,"Good thinking. Now, is that answer reasonable?",00:02:48
xqdribe,22,student,Maybe I should compare them as decimals first.,00:02:56
xqdribe,23,tutor,Uh-huh. And what would you do next?,00:03:04
xqdribe,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
xqdribe,25,tutor,Can you talk me through how you got that answer?,00:03:20
xqdribe,26,student,Is it 4?,00:03:28
xqdribe,27,tutor,Remember what we said about the denominator. What happens here?,00:03:36
xqdribe,28,student,12.,00:03:44
xqdribe,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
xqdribe,30,student,Maybe I should compare them as decimals first.,00:04:00
xqdribe,31,tutor,What do you notice about these two numbers?,00:04:08
xqdribe,32,student,No,00:04:16
xqdribe,33,tutor,Remember what we said about the denominator. What happens here?,00:04:24
xqdribe,34,student,I'm not sure. Is it because 10 has one zero?,00:04:32
xqdribe,35,tutor,"Good thinking. Now, is that answer reasonable?",00:04:40
xqdribe,36,student,I think we need to make the bottom numbers the same before we add.,00:04:48
xqdribe,37,tutor,Uh-huh. And what would you do next?,00:04:56
xqdribe,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
xqdribe,39,tutor,Can you talk me through how you got that answer?,00:05:12
xqdribe,40,student,Yes,00:05:20
xqdribe,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
xqdribe,42,student,I'm not sure. Is it because 10 has one zero?,00:05:36
xqdribe,43,tutor,"Good thinking. Now, is that answer reasonable?",00:05:44
xqdribe,44,student,12.,00:05:52
xqdribe,45,tutor,Can you talk me through how you got that answer?,00:06:00
xqdribe,46,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:08
xqdribe,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
xqdribe,48,student,Is it 4?,00:06:24
xqdribe,49,tutor,Can you talk me through how you got that answer?,00:06:32
xqdribe,50,student,I'm not sure. Is it because 10 has one zero?,00:06:40
xqdribe,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
xqdribe,52,student,"I would divide it by 100, so the answer is 3.45.",00:06:56
xqdribe,53,tutor,Remember what we said about the denominator. What happens here?,00:07:04
xqdribe,54,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:12
xqdribe,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
xqdribe,56,student,Maybe I should compare them as decimals first.,00:07:28
xqdribe,57,tutor,"Good thinking. Now, is that answer reasonable?",00:07:36
xqdribe,58,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:44
xqdribe,59,tutor,Can you talk me through how you got that answer?,00:07:52
xqdribe,60,student,Maybe I should compare them as decimals first.,00:08:00
xqdribe,61,tutor,Uh-huh. And what would you do next?,00:08:08
xqdribe,62,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:16
xqdribe,63,tutor,Remember what we said about the denominator. What happens here?,00:08:24
xqdribe,64,student,"I would divide it by 100, so the answer is 3.45.",00:08:32
xqdribe,65,tutor,"Good thinking. Now, is that answer reasonable?",00:08:40
xqdribe,66,student,"I would divide it by 100, so the answer is 3.45.",00:08:48
xqdribe,67,tutor,What do you notice about these two numbers?,00:08:56
xqdribe,68,student,"I would divide it by 100, so the answer is 3.45.",00:09:04
xqdribe,69,tutor,Let's try a similar one. What is 30 times 4?,00:09:12
xqdribe,70,student,I think we need to make the bottom numbers the same before we add.,00:09:20
xqdribe,71,tutor,Let's try a similar one. What is 30 times 4?,00:09:28
xqdribe,72,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:36
xqdribe,73,tutor,Remember what we said about the denominator. What happens here?,00:09:44
xqdribe,74,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:52
xqdribe,75,tutor,Let's try a similar one. What is 30 times 4?,00:10:00
xqdribe,76,student,I'm not sure. Is it because 10 has one zero?,00:10:08
xqdribe,77,tutor,"Good thinking. Now, is that answer reasonable?",00:10:16
xqdribe,78,student,"I would divide it by 100, so the answer is 3.45.",00:10:24
xqdribe,79,tutor,Can you talk me through how you got that answer?,00:10:32
xqdribe,80,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:40
xqdribe,81,tutor,Uh-huh. And what would you do next?,00:10:48
xqdribe,82,student,"I would divide it by 100, so the answer is 3.45.",00:10:56
xqdribe,83,tutor,"Good thinking. Now, is that answer reasonable?",00:11:04
xqdribe,84,student,I'm not sure. Is it because 10 has one zero?,00:11:12
xqdribe,85,tutor,Let's try a similar one. What is 30 times 4?,00:11:20
xqdribe,86,student,12.,00:11:28
xqdribe,87,tutor,Can you talk me through how you got that answer?,00:11:36
xqdribe,88,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:44
xqdribe,89,tutor,What do you notice about these two numbers?,00:11:52
xqdribe,90,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:12:00
xqdribe,91,tutor,What do you notice about these two numbers?,00:12:08
xqdribe,92,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:12:16
xqdribe,93,tutor,Remember what we said about the denominator. What happens here?,00:12:24
xqdribe,94,student,Maybe I should compare them as decimals first.,00:12:32
xqdribe,95,tutor,So let me ask you first. Do you know what a fact family is?,00:12:40
xqdribe,96,student,"I would divide it by 100, so the answer is 3.45.",00:12:48
xqdribe,97,tutor,What do you notice about these two numbers?,00:12:56
xqdribe,98,student,Maybe I should compare them as decimals first.,00:13:04
xqdribe,99,tutor,So let me ask you first. Do you know what a fact family is?,00:13:12
xqdribe,100,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:20
xqdribe,101,tutor,So let me ask you first. Do you know what a fact family is?,00:13:28
xqdribe,102,student,"I would divide it by 100, so the answer is 3.45.",00:13:36
xqdribe,103,tutor,So let me ask you first. Do you know what a fact family is?,00:13:44
xqdribe,104,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:13:52
xqdribe,105,tutor,What do you notice about these two numbers?,00:14:00
xqdribe,106,student,I think we need to make the bottom numbers the same before we add.,00:14:08
xqdribe,107,tutor,So let me ask you first. Do you know what a fact family is?,00:14:16
xqdribe,108,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:14:24
xqdribe,109,tutor,Remember what we said about the denominator. What happens here?,00:14:32
xqdribe,110,student,"I would divide it by 100, so the answer is 3.45.",00:14:40
xqdribe,111,tutor,Let's try a similar one. What is 30 times 4?,00:14:48
xqdribe,112,student,"I would divide it by 100, so the answer is 3.45.",00:14:56
xqdribe,113,tutor,So let me ask you first. Do you know what a fact family is?,00:15:04
xqdribe,114,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:15:12
xqdribe,115,tutor,So let me ask you first. Do you know what a fact family is?,00:15:20
xqdribe,116,student,"I would divide it by 100, so the answer is 3.45.",00:15:28
xqdribe,117,tutor,Let's try a similar one. What is 30 times 4?,00:15:36
xqdribe,118,student,Maybe I should compare them as decimals first.,00:15:44
xqdribe,119,tutor,"Good thinking. Now, is that answer reasonable?",00:15:52
xqdribe,120,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:16:00
xqdribe,121,tutor,Can you talk me through how you got that answer?,00:16:08
xqdribe,122,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:16
xqdribe,123,tutor,Remember what we said about the denominator. What happens here?,00:16:24
xqdribe,124,student,Maybe I should compare them as decimals first.,00:16:32
xqdribe,125,tutor,What do you notice about these two numbers?,00:16:40
xqdribe,126,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:16:48
xqdribe,127,tutor,So let me ask you first. Do you know what a fact family is?,00:16:56
xqdribe,128,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:17:04
xqdribe,129,tutor,Can you talk me through how you got that answer?,00:17:12
xqdribe,130,student,Maybe I should compare them as decimals first.,00:17:20
xqdribe,131,tutor,"Good thinking. Now, is that answer reasonable?",00:17:28
xqdribe,132,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:36
xqdribe,133,tutor,Let's try a similar one. What is 30 times 4?,00:17:44
xqdribe,134,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:17:52
xqdribe,135,tutor,Can you talk me through how you got that answer?,00:18:00
xqdribe,136,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:18:08
xqdribe,137,tutor,What do you notice about these two numbers?,00:18:16
