session_id,utterance_id,role,content,timestamp
cbkiind,0,background,[unclear],00:00:00
cbkiind,1,tutor,Good afternoon! Today we are going to look at a new topic.,00:00:08
cbkiind,2,student,"Yes, I think so.",00:00:16
cbkiind,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
cbkiind,4,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:00:32
cbkiind,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
cbkiind,6,student,Maybe I should compare them as decimals first.,00:00:48
cbkiind,7,tutor,Can you talk me through how you got that answer?,00:00:56
cbkiind,8,student,I think we need to make the bottom numbers the same before we add.,00:01:04
cbkiind,9,tutor,Can you talk me through how you got that answer?,00:01:12
cbkiind,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
cbkiind,11,tutor,Remember what we said about the denominator. What happens here?,00:01:28
cbkiind,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
cbkiind,13,tutor,What do you notice about these two numbers?,00:01:44
cbkiind,14,student,Is it 4?,00:01:52
cbkiind,15,tutor,"Good thinking. Now, is that answer reasonable?",00:02:00
cbkiind,16,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:08
cbkiind,17,tutor,Can you talk me through how you got that answer?,00:02:16
cbkiind,18,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:02:24
cbkiind,19,tutor,Uh-huh. And what would you do next?,00:02:32
cbkiind,20,student,Half?,00:02:40
cbkiind,21,tutor,Uh-huh. And what would you do next?,00:02:48
cbkiind,22,student,Maybe I should compare them as decimals first.,00:02:56
cbkiind,23,tutor,Let's try a similar one. What is 30 times 4?,00:03:04
cbkiind,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
cbkiind,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
cbkiind,26,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:28
cbkiind,27,tutor,Let's try a similar one. What is 30 times 4?,00:03:36
cbkiind,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
cbkiind,29,tutor,Uh-huh. And what would you do next?,00:03:52
cbkiind,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
cbkiind,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
cbkiind,32,student,75.,00:04:16
cbkiind,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
cbkiind,34,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:32
cbkiind,35,tutor,Uh-huh. And what would you do next?,00:04:40
cbkiind,36,student,"I would divide it by 100, so the answer is 3.45.",00:04:48
cbkiind,37,tutor,Can you talk me through how you got that answer?,00:04:56
cbkiind,38,student,I think we need to make the bottom numbers the same before we add.,00:05:04
cbkiind,39,tutor,Can you talk me through how you got that answer?,00:05:12
cbkiind,40,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:05:20
cbkiind,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
cbkiind,42,student,I'm not sure. Is it because 10 has one zero?,00:05:36
cbkiind,43,tutor,What do you notice about these two numbers?,00:05:44
cbkiind,44,student,Maybe I should compare them as decimals first.,00:05:52
cbkiind,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
cbkiind,46,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:08
cbkiind,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
cbkiind,48,student,"I would divide it by 100, so the answer is 3.45.",00:06:24
cbkiind,49,tutor,Let's try a similar one. What is 30 times 4?,00:06:32
cbkiind,50,student,Half?,00:06:40
cbkiind,51,tutor,Remember what we said about the denominator. What happens here?,00:06:48
cbkiind,52,student,I think we need to make the bottom numbers the same before we add.,00:06:56
cbkiind,53,tutor,Uh-huh. And what would you do next?,00:07:04
cbkiind,54,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:07:12
cbkiind,55,tutor,What do you notice about these two numbers?,00:07:20
cbkiind,56,student,"I would divide it by 100, so the answer is 3.45.",00:07:28
cbkiind,57,tutor,Remember what we said about the denominator. What happens here?,00:07:36
cbkiind,58,student,"I would divide it by 100, so the answer is 3.45.",00:07:44
cbkiind,59,tutor,Can you talk me through how you got that answer?,00:07:52
cbkiind,60,student,Maybe I should compare them as decimals first.,00:08:00
cbkiind,61,tutor,What do you notice about these two numbers?,00:08:08
cbkiind,62,student,I think we need to make the bottom numbers the same before we add.,00:08:16
cbkiind,63,tutor,Can you talk me through how you got that answer?,00:08:24
cbkiind,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
cbkiind,65,tutor,What do you notice about these two numbers?,00:08:40
cbkiind,66,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:48
cbkiind,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
cbkiind,68,student,I'm not sure. Is it because 10 has one zero?,00:09:04
cbkiind,69,tutor,Uh-huh. And what would you do next?,00:09:12
cbkiind,70,student,I think we need to make the bottom numbers the same before we add.,00:09:20
cbkiind,71,tutor,Remember what we said about the denominator. What happens here?,00:09:28
cbkiind,72,student,300?,00:09:36
cbkiind,73,tutor,Can you talk me through how you got that answer?,00:09:44
cbkiind,74,student,Maybe I should compare them as decimals first.,00:09:52
cbkiind,75,tutor,"Good thinking. Now, is that answer reasonable?",00:10:00
cbkiind,76,student,"I would divide it by 100, so the answer is 3.45.",00:10:08
