session_id,utterance_id,role,content,timestamp
mthnzfg,0,background,[unclear],00:00:00
mthnzfg,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
mthnzfg,2,student,"Yes, I think so.",00:00:16
mthnzfg,3,tutor,So let me ask you first. Do you know what a fact family is?,00:00:24
mthnzfg,4,student,I think we need to make the bottom numbers the same before we add.,00:00:32
mthnzfg,5,tutor,So let me ask you first. Do you know what a fact family is?,00:00:40
mthnzfg,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
mthnzfg,7,tutor,Remember what we said about the denominator. What happens here?,00:00:56
mthnzfg,8,student,12.,00:01:04
mthnzfg,9,tutor,What do you notice about these two numbers?,00:01:12
mthnzfg,10,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:20
mthnzfg,11,tutor,"Good thinking. Now, is that answer reasonable?",00:01:28
mthnzfg,12,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:36
mthnzfg,13,tutor,So let me ask you first. Do you know what a fact family is?,00:01:44
mthnzfg,14,student,75.,00:01:52
mthnzfg,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
mthnzfg,16,student,6?,00:02:08
mthnzfg,17,tutor,So let me ask you first. Do you know what a fact family is?,00:02:16
mthnzfg,18,student,I think we need to make the bottom numbers the same before we add.,00:02:24
mthnzfg,19,tutor,Can you talk me through how you got that answer?,00:02:32
mthnzfg,20,student,I think we need to make the bottom numbers the same before we add.,00:02:40
mthnzfg,21,tutor,What do you notice about these two numbers?,00:02:48
mthnzfg,22,student,Maybe I should compare them as decimals first.,00:02:56
mthnzfg,23,tutor,What do you notice about these two numbers?,00:03:04
mthnzfg,24,student,I'm not sure. Is it because 10 has one zero?,00:03:12
mthnzfg,25,tutor,Uh-huh. And what would you do next?,00:03:20
mthnzfg,26,student,Is it 4?,00:03:28
mthnzfg,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
mthnzfg,28,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:03:44
mthnzfg,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
mthnzfg,30,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:00
mthnzfg,31,tutor,Uh-huh. And what would you do next?,00:04:08
mthnzfg,32,student,300?,00:04:16
mthnzfg,33,tutor,"Good thinking. Now, is that answer reasonable?",00:04:24
mthnzfg,34,student,75.,00:04:32
mthnzfg,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
mthnzfg,36,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:48
mthnzfg,37,tutor,Let's try a similar one. What is 30 times 4?,00:04:56
mthnzfg,38,student,No,00:05:04
mthnzfg,39,tutor,What do you notice about these two numbers?,00:05:12
mthnzfg,40,student,Maybe I should compare them as decimals first.,00:05:20
mthnzfg,41,tutor,"Good thinking. Now, is that answer reasonable?",00:05:28
mthnzfg,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
mthnzfg,43,tutor,What do you notice about these two numbers?,00:05:44
