session_id,utterance_id,role,content,timestamp
aefzkbp,0,background,[unclear],00:00:00
aefzkbp,1,tutor,Hi! Great to see you again. Shall we begin?,00:00:08
aefzkbp,2,student,"Yes, I think so.",00:00:16
aefzkbp,3,tutor,Uh-huh. And what would you do next?,00:00:24
aefzkbp,4,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:00:32
aefzkbp,5,tutor,What do you notice about these two numbers?,00:00:40
aefzkbp,6,student,Maybe I should compare them as decimals first.,00:00:48
aefzkbp,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
aefzkbp,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
aefzkbp,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
aefzkbp,10,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:20
aefzkbp,11,tutor,Uh-huh. And what would you do next?,00:01:28
aefzkbp,12,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:01:36
aefzkbp,13,tutor,Remember what we said about the denominator. What happens here?,00:01:44
aefzkbp,14,student,I'm not sure. Is it because 10 has one zero?,00:01:52
aefzkbp,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
aefzkbp,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
aefzkbp,17,tutor,Remember what we said about the denominator. What happens here?,00:02:16
aefzkbp,18,student,Maybe I should compare them as decimals first.,00:02:24
aefzkbp,19,tutor,Remember what we said about the denominator. What happens here?,00:02:32
aefzkbp,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
aefzkbp,21,tutor,Remember what we said about the denominator. What happens here?,00:02:48
aefzkbp,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
aefzkbp,23,tutor,What do you notice about these two numbers?,00:03:04
aefzkbp,24,student,I think we need to make the bottom numbers the same before we add.,00:03:12
aefzkbp,25,tutor,Let's try a similar one. What is 30 times 4?,00:03:20
aefzkbp,26,student,I think we need to make the bottom numbers the same before we add.,00:03:28
aefzkbp,27,tutor,"Good thinking. Now, is that answer reasonable?",00:03:36
aefzkbp,28,student,Maybe I should compare them as decimals first.,00:03:44
aefzkbp,29,tutor,So let me ask you first. Do you know what a fact family is?,00:03:52
aefzkbp,30,student,I'm not sure. Is it because 10 has one zero?,00:04:00
aefzkbp,31,tutor,What do you notice about these two numbers?,00:04:08
aefzkbp,32,student,No,00:04:16
aefzkbp,33,tutor,Can you talk me through how you got that answer?,00:04:24
aefzkbp,34,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:04:32
aefzkbp,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
aefzkbp,36,student,12.,00:04:48
aefzkbp,37,tutor,"Good thinking. Now, is that answer reasonable?",00:04:56
aefzkbp,38,student,I'm not sure. Is it because 10 has one zero?,00:05:04
aefzkbp,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
aefzkbp,40,student,Okay,00:05:20
aefzkbp,41,tutor,Uh-huh. And what would you do next?,00:05:28
aefzkbp,42,student,I think we need to make the bottom numbers the same before we add.,00:05:36
aefzkbp,43,tutor,So let me ask you first. Do you know what a fact family is?,00:05:44
aefzkbp,44,student,Maybe I should compare them as decimals first.,00:05:52
aefzkbp,45,tutor,Remember what we said about the denominator. What happens here?,00:06:00
aefzkbp,46,student,6?,00:06:08
aefzkbp,47,tutor,"Good thinking. Now, is that answer reasonable?",00:06:16
aefzkbp,48,student,I think we need to make the bottom numbers the same before we add.,00:06:24
aefzkbp,49,tutor,Uh-huh. And what would you do next?,00:06:32
aefzkbp,50,student,I'm not sure. Is it because 10 has one zero?,00:06:40
aefzkbp,51,tutor,What do you notice about these two numbers?,00:06:48
aefzkbp,52,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:06:56
aefzkbp,53,tutor,Uh-huh. And what would you do next?,00:07:04
aefzkbp,54,student,Half?,00:07:12
aefzkbp,55,tutor,Let's try a similar one. What is 30 times 4?,00:07:20
aefzkbp,56,student,Yes,00:07:28
aefzkbp,57,tutor,What do you notice about these two numbers?,00:07:36
aefzkbp,58,student,I think we need to make the bottom numbers the same before we add.,00:07:44
aefzkbp,59,tutor,What do you notice about these two numbers?,00:07:52
aefzkbp,60,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:08:00
aefzkbp,61,tutor,Can you talk me through how you got that answer?,00:08:08
aefzkbp,62,student,Yes,00:08:16
aefzkbp,63,tutor,Uh-huh. And what would you do next?,00:08:24
aefzkbp,64,student,Is it 4?,00:08:32
aefzkbp,65,tutor,Remember what we said about the denominator. What happens here?,00:08:40
aefzkbp,66,student,"I would divide it by 100, so the answer is 3.45.",00:08:48
aefzkbp,67,tutor,Remember what we said about the denominator. What happens here?,00:08:56
aefzkbp,68,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:04
aefzkbp,69,tutor,What do you notice about these two numbers?,00:09:12
aefzkbp,70,student,I'm not sure. Is it because 10 has one zero?,00:09:20
aefzkbp,71,tutor,Remember what we said about the denominator. What happens here?,00:09:28
aefzkbp,72,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:09:36
aefzkbp,73,tutor,What do you notice about these two numbers?,00:09:44
aefzkbp,74,student,I think we need to make the bottom numbers the same before we add.,00:09:52
aefzkbp,75,tutor,"Good thinking. Now, is that answer reasonable?",00:10:00
aefzkbp,76,student,"I would divide it by 100, so the answer is 3.45.",00:10:08
aefzkbp,77,tutor,Remember what we said about the denominator. What happens here?,00:10:16
aefzkbp,78,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:24
aefzkbp,79,tutor,"Good thinking. Now, is that answer reasonable?",00:10:32
aefzkbp,80,student,6?,00:10:40
aefzkbp,81,tutor,Can you talk me through how you got that answer?,00:10:48
aefzkbp,82,student,Is it 4?,00:10:56
aefzkbp,83,tutor,Uh-huh. And what would you do next?,00:11:04
aefzkbp,84,student,Yes,00:11:12
aefzkbp,85,tutor,Let's try a similar one. What is 30 times 4?,00:11:20
aefzkbp,86,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:11:28
aefzkbp,87,tutor,Let's try a similar one. What is 30 times 4?,00:11:36
aefzkbp,88,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:11:44
aefzkbp,89,tutor,Can you talk me through how you got that answer?,00:11:52
aefzkbp,90,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:00
aefzkbp,91,tutor,Let's try a similar one. What is 30 times 4?,00:12:08
aefzkbp,92,student,"I would divide it by 100, so the answer is 3.45.",00:12:16
aefzkbp,93,tutor,Uh-huh. And what would you do next?,00:12:24
aefzkbp,94,student,"I would divide it by 100, so the answer is 3.45.",00:12:32
aefzkbp,95,tutor,What do you notice about these two numbers?,00:12:40
aefzkbp,96,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:12:48
aefzkbp,97,tutor,What do you notice about these two numbers?,00:12:56
aefzkbp,98,student,I'm not sure. Is it because 10 has one zero?,00:13:04
aefzkbp,99,tutor,What do you notice about these two numbers?,00:13:12
aefzkbp,100,student,"I would divide it by 100, so the answer is 3.45.",00:13:20
aefzkbp,101,tutor,Remember what we said about the denominator. What happens here?,00:13:28
aefzkbp,102,student,Is it 4?,00:13:36
aefzkbp,103,tutor,What do you notice about these two numbers?,00:13:44
aefzkbp,104,student,"I would divide it by 100, so the answer is 3.45.",00:13:52
aefzkbp,105,tutor,"Good thinking. Now, is that answer reasonable?",00:14:00
aefzkbp,106,student,Maybe I should compare them as decimals first.,00:14:08
aefzkbp,107,tutor,What do you notice about these two numbers?,00:14:16
aefzkbp,108,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:14:24
aefzkbp,109,tutor,Can you talk me through how you got that answer?,00:14:32
aefzkbp,110,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:14:40
aefzkbp,111,tutor,"Good thinking. Now, is that answer reasonable?",00:14:48
aefzkbp,112,student,"I would divide it by 100, so the answer is 3.45.",00:14:56
aefzkbp,113,tutor,"Good thinking. Now, is that answer reasonable?",00:15:04
aefzkbp,114,student,"I would divide it by 100, so the answer is 3.45.",00:15:12
aefzkbp,115,tutor,"Good thinking. Now, is that answer reasonable?",00:15:20
aefzkbp,116,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:15:28
aefzkbp,117,tutor,Remember what we said about the denominator. What happens here?,00:15:36
aefzkbp,118,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:15:44
aefzkbp,119,tutor,Can you talk me through how you got that answer?,00:15:52
aefzkbp,120,student,I think we need to make the bottom numbers the same before we add.,00:16:00
aefzkbp,121,tutor,"Good thinking. Now, is that answer reasonable?",00:16:08
aefzkbp,122,student,Okay,00:16:16
aefzkbp,123,tutor,Can you talk me through how you got that answer?,00:16:24
aefzkbp,124,student,Half?,00:16:32
aefzkbp,125,tutor,Remember what we said about the denominator. What happens here?,00:16:40
aefzkbp,126,student,I think we need to make the bottom numbers the same before we add.,00:16:48
aefzkbp,127,tutor,Can you talk me through how you got that answer?,00:16:56
aefzkbp,128,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:04
aefzkbp,129,tutor,Let's try a similar one. What is 30 times 4?,00:17:12
aefzkbp,130,student,I'm not sure. Is it because 10 has one zero?,00:17:20
aefzkbp,131,tutor,"Good thinking. Now, is that answer reasonable?",00:17:28
aefzkbp,132,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:17:36
aefzkbp,133,tutor,What do you notice about these two numbers?,00:17:44
aefzkbp,134,student,Is it 4?,00:17:52
aefzkbp,135,tutor,Uh-huh. And what would you do next?,00:18:00
aefzkbp,136,student,"I would divide it by 100, so the answer is 3.45.",00:18:08
aefzkbp,137,tutor,So let me ask you first. Do you know what a fact family is?,00:18:16
aefzkbp,138,student,I think we need to make the bottom numbers the same before we add.,00:18:24
aefzkbp,139,tutor,Remember what we said about the denominator. What happens here?,00:18:32
aefzkbp,140,student,Maybe I should compare them as decimals first.,00:18:40
aefzkbp,141,tutor,Can you talk me through how you got that answer?,00:18:48
aefzkbp,142,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:18:56
aefzkbp,143,tutor,So let me ask you first. Do you know what a fact family is?,00:19:04
aefzkbp,144,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:19:12
aefzkbp,145,tutor,Let's try a similar one. What is 30 times 4?,00:19:20
aefzkbp,146,student,No,00:19:28
aefzkbp,147,tutor,Can you talk me through how you got that answer?,00:19:36
aefzkbp,148,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:19:44
aefzkbp,149,tutor,Let's try a similar one. What is 30 times 4?,00:19:52
aefzkbp,150,student,I'm not sure. Is it because 10 has one zero?,00:20:00
aefzkbp,151,tutor,Remember what we said about the denominator. What happens here?,00:20:08
