session_id,utterance_id,role,content,timestamp
aehybek,0,background,[unclear],00:00:00
aehybek,1,tutor,"Hello, are you ready to get started today?",00:00:08
aehybek,2,student,"Yes, I think so.",00:00:16
aehybek,3,tutor,Let's try a similar one. What is 30 times 4?,00:00:24
aehybek,4,student,"I would divide it by 100, so the answer is 3.45.",00:00:32
aehybek,5,tutor,Let's try a similar one. What is 30 times 4?,00:00:40
aehybek,6,student,I think we need to make the bottom numbers the same before we add.,00:00:48
aehybek,7,tutor,"Good thinking. Now, is that answer reasonable?",00:00:56
aehybek,8,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:04
aehybek,9,tutor,So let me ask you first. Do you know what a fact family is?,00:01:12
aehybek,10,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:20
aehybek,11,tutor,Can you talk me through how you got that answer?,00:01:28
aehybek,12,student,I'm not sure. Is it because 10 has one zero?,00:01:36
aehybek,13,tutor,"Good thinking. Now, is that answer reasonable?",00:01:44
aehybek,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
aehybek,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
aehybek,16,student,6?,00:02:08
aehybek,17,tutor,Uh-huh. And what would you do next?,00:02:16
aehybek,18,student,"I would divide it by 100, so the answer is 3.45.",00:02:24
aehybek,19,tutor,"Good thinking. Now, is that answer reasonable?",00:02:32
aehybek,20,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:40
aehybek,21,tutor,So let me ask you first. Do you know what a fact family is?,00:02:48
aehybek,22,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:02:56
aehybek,23,tutor,Uh-huh. And what would you do next?,00:03:04
aehybek,24,student,"I would divide it by 100, so the answer is 3.45.",00:03:12
aehybek,25,tutor,Can you talk me through how you got that answer?,00:03:20
aehybek,26,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:03:28
aehybek,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
aehybek,28,student,300?,00:03:44
aehybek,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
aehybek,30,student,Maybe I should compare them as decimals first.,00:04:00
aehybek,31,tutor,Remember what we said about the denominator. What happens here?,00:04:08
aehybek,32,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:16
aehybek,33,tutor,So let me ask you first. Do you know what a fact family is?,00:04:24
aehybek,34,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:32
aehybek,35,tutor,Remember what we said about the denominator. What happens here?,00:04:40
aehybek,36,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:04:48
aehybek,37,tutor,Can you talk me through how you got that answer?,00:04:56
aehybek,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
aehybek,39,tutor,So let me ask you first. Do you know what a fact family is?,00:05:12
aehybek,40,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:20
aehybek,41,tutor,So let me ask you first. Do you know what a fact family is?,00:05:28
aehybek,42,student,I'm not sure. Is it because 10 has one zero?,00:05:36
aehybek,43,tutor,What do you notice about these two numbers?,00:05:44
aehybek,44,student,"I would divide it by 100, so the answer is 3.45.",00:05:52
aehybek,45,tutor,"Good thinking. Now, is that answer reasonable?",00:06:00
aehybek,46,student,I'm not sure. Is it because 10 has one zero?,00:06:08
aehybek,47,tutor,Remember what we said about the denominator. What happens here?,00:06:16
aehybek,48,student,I'm not sure. Is it because 10 has one zero?,00:06:24
aehybek,49,tutor,What do you notice about these two numbers?,00:06:32
aehybek,50,student,6?,00:06:40
aehybek,51,tutor,So let me ask you first. Do you know what a fact family is?,00:06:48
aehybek,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
aehybek,53,tutor,Uh-huh. And what would you do next?,00:07:04
aehybek,54,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:07:12
aehybek,55,tutor,"Good thinking. Now, is that answer reasonable?",00:07:20
aehybek,56,student,I'm not sure. Is it because 10 has one zero?,00:07:28
aehybek,57,tutor,Remember what we said about the denominator. What happens here?,00:07:36
aehybek,58,student,300?,00:07:44
aehybek,59,tutor,So let me ask you first. Do you know what a fact family is?,00:07:52
aehybek,60,student,No,00:08:00
aehybek,61,tutor,So let me ask you first. Do you know what a fact family is?,00:08:08
aehybek,62,student,I think we need to make the bottom numbers the same before we add.,00:08:16
aehybek,63,tutor,Uh-huh. And what would you do next?,00:08:24
aehybek,64,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:08:32
aehybek,65,tutor,So let me ask you first. Do you know what a fact family is?,00:08:40
aehybek,66,student,Maybe I should compare them as decimals first.,00:08:48
aehybek,67,tutor,So let me ask you first. Do you know what a fact family is?,00:08:56
aehybek,68,student,Okay,00:09:04
aehybek,69,tutor,Can you talk me through how you got that answer?,00:09:12
aehybek,70,student,No,00:09:20
aehybek,71,tutor,So let me ask you first. Do you know what a fact family is?,00:09:28
aehybek,72,student,I'm not sure. Is it because 10 has one zero?,00:09:36
aehybek,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
aehybek,74,student,Maybe I should compare them as decimals first.,00:09:52
aehybek,75,tutor,"Good thinking. Now, is that answer reasonable?",00:10:00
aehybek,76,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:08
aehybek,77,tutor,Let's try a similar one. What is 30 times 4?,00:10:16
aehybek,78,student,I'm not sure. Is it because 10 has one zero?,00:10:24
aehybek,79,tutor,So let me ask you first. Do you know what a fact family is?,00:10:32
aehybek,80,student,12.,00:10:40
aehybek,81,tutor,So let me ask you first. Do you know what a fact family is?,00:10:48
aehybek,82,student,Maybe I should compare them as decimals first.,00:10:56
aehybek,83,tutor,So let me ask you first. Do you know what a fact family is?,00:11:04
aehybek,84,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:11:12
aehybek,85,tutor,So let me ask you first. Do you know what a fact family is?,00:11:20
aehybek,86,student,Maybe I should compare them as decimals first.,00:11:28
aehybek,87,tutor,"Good thinking. Now, is that answer reasonable?",00:11:36
aehybek,88,student,Maybe I should compare them as decimals first.,00:11:44
aehybek,89,tutor,Let's try a similar one. What is 30 times 4?,00:11:52
aehybek,90,student,Half?,00:12:00
