session_id,utterance_id,role,content,timestamp
bkmgjnb,0,background,[unclear],00:00:00
bkmgjnb,1,tutor,"Hello, are you ready to get started today?",00:00:08
bkmgjnb,2,student,"Yes, I think so.",00:00:16
bkmgjnb,3,tutor,"Good thinking. Now, is that answer reasonable?",00:00:24
bkmgjnb,4,student,75.,00:00:32
bkmgjnb,5,tutor,Can you talk me through how you got that answer?,00:00:40
bkmgjnb,6,student,"I would divide it by 100, so the answer is 3.45.",00:00:48
bkmgjnb,7,tutor,Uh-huh. And what would you do next?,00:00:56
bkmgjnb,8,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:01:04
bkmgjnb,9,tutor,What do you notice about these two numbers?,00:01:12
bkmgjnb,10,student,I'm not sure. Is it because 10 has one zero?,00:01:20
bkmgjnb,11,tutor,Can you talk me through how you got that answer?,00:01:28
bkmgjnb,12,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:36
bkmgjnb,13,tutor,Uh-huh. And what would you do next?,00:01:44
bkmgjnb,14,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:01:52
bkmgjnb,15,tutor,So let me ask you first. Do you know what a fact family is?,00:02:00
bkmgjnb,16,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:08
bkmgjnb,17,tutor,Can you talk me through how you got that answer?,00:02:16
bkmgjnb,18,student,12.,00:02:24
bkmgjnb,19,tutor,What do you notice about these two numbers?,00:02:32
bkmgjnb,20,student,"I would divide it by 100, so the answer is 3.45.",00:02:40
bkmgjnb,21,tutor,What do you notice about these two numbers?,00:02:48
bkmgjnb,22,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:02:56
bkmgjnb,23,tutor,Uh-huh. And what would you do next?,00:03:04
bkmgjnb,24,student,Is it 4?,00:03:12
bkmgjnb,25,tutor,"Good thinking. Now, is that answer reasonable?",00:03:20
bkmgjnb,26,student,I'm not sure. Is it because 10 has one zero?,00:03:28
bkmgjnb,27,tutor,So let me ask you first. Do you know what a fact family is?,00:03:36
bkmgjnb,28,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:03:44
bkmgjnb,29,tutor,"Good thinking. Now, is that answer reasonable?",00:03:52
bkmgjnb,30,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:00
bkmgjnb,31,tutor,So let me ask you first. Do you know what a fact family is?,00:04:08
bkmgjnb,32,student,"I would divide it by 100, so the answer is 3.45.",00:04:16
bkmgjnb,33,tutor,Uh-huh. And what would you do next?,00:04:24
bkmgjnb,34,student,300?,00:04:32
bkmgjnb,35,tutor,What do you notice about these two numbers?,00:04:40
bkmgjnb,36,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:04:48
bkmgjnb,37,tutor,Remember what we said about the denominator. What happens here?,00:04:56
bkmgjnb,38,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:04
bkmgjnb,39,tutor,"Good thinking. Now, is that answer reasonable?",00:05:12
bkmgjnb,40,student,Okay,00:05:20
bkmgjnb,41,tutor,Let's try a similar one. What is 30 times 4?,00:05:28
bkmgjnb,42,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:05:36
bkmgjnb,43,tutor,Let's try a similar one. What is 30 times 4?,00:05:44
bkmgjnb,44,student,Half?,00:05:52
bkmgjnb,45,tutor,So let me ask you first. Do you know what a fact family is?,00:06:00
bkmgjnb,46,student,300?,00:06:08
bkmgjnb,47,tutor,So let me ask you first. Do you know what a fact family is?,00:06:16
bkmgjnb,48,student,Maybe I should compare them as decimals first.,00:06:24
bkmgjnb,49,tutor,Can you talk me through how you got that answer?,00:06:32
bkmgjnb,50,student,"Hmm, the 4 is in the tens column so it means 40 really.",00:06:40
bkmgjnb,51,tutor,Can you talk me through how you got that answer?,00:06:48
bkmgjnb,52,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:06:56
bkmgjnb,53,tutor,What do you notice about these two numbers?,00:07:04
bkmgjnb,54,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:12
bkmgjnb,55,tutor,So let me ask you first. Do you know what a fact family is?,00:07:20
bkmgjnb,56,student,12.,00:07:28
bkmgjnb,57,tutor,Can you talk me through how you got that answer?,00:07:36
bkmgjnb,58,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:07:44
bkmgjnb,59,tutor,Uh-huh. And what would you do next?,00:07:52
bkmgjnb,60,student,I think we need to make the bottom numbers the same before we add.,00:08:00
bkmgjnb,61,tutor,Let's try a similar one. What is 30 times 4?,00:08:08
bkmgjnb,62,student,I'm not sure. Is it because 10 has one zero?,00:08:16
bkmgjnb,63,tutor,So let me ask you first. Do you know what a fact family is?,00:08:24
bkmgjnb,64,student,I think we need to make the bottom numbers the same before we add.,00:08:32
bkmgjnb,65,tutor,Remember what we said about the denominator. What happens here?,00:08:40
bkmgjnb,66,student,Is it 4?,00:08:48
bkmgjnb,67,tutor,Remember what we said about the denominator. What happens here?,00:08:56
bkmgjnb,68,student,I think we need to make the bottom numbers the same before we add.,00:09:04
bkmgjnb,69,tutor,Let's try a similar one. What is 30 times 4?,00:09:12
bkmgjnb,70,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:20
bkmgjnb,71,tutor,Remember what we said about the denominator. What happens here?,00:09:28
bkmgjnb,72,student,I think we need to make the bottom numbers the same before we add.,00:09:36
bkmgjnb,73,tutor,Let's try a similar one. What is 30 times 4?,00:09:44
bkmgjnb,74,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:09:52
bkmgjnb,75,tutor,So let me ask you first. Do you know what a fact family is?,00:10:00
bkmgjnb,76,student,"Wait, wait. So if I'm adding 25 onto it, then it becomes 95?",00:10:08
bkmgjnb,77,tutor,"Good thinking. Now, is that answer reasonable?",00:10:16
bkmgjnb,78,student,I'm not sure. Is it because 10 has one zero?,00:10:24
bkmgjnb,79,tutor,What do you notice about these two numbers?,00:10:32
bkmgjnb,80,student,"So 2000 plus 725 would be 2725, and then I take away 25 to get 2700.",00:10:40
bkmgjnb,81,tutor,"Good thinking. Now, is that answer reasonable?",00:10:48
bkmgjnb,82,student,"I would divide it by 100, so the answer is 3.45.",00:10:56
bkmgjnb,83,tutor,Remember what we said about the denominator. What happens here?,00:11:04
bkmgjnb,84,student,Yes,00:11:12
bkmgjnb,85,tutor,What do you notice about these two numbers?,00:11:20
bkmgjnb,86,student,I think we need to make the bottom numbers the same before we add.,00:11:28
bkmgjnb,87,tutor,"Good thinking. Now, is that answer reasonable?",00:11:36
